iter	Logloss
0	0.6892206464
1	0.6835238865
2	0.6785149711
3	0.6739428929
4	0.6693509783
5	0.6646031516
6	0.6595312936
7	0.6548209054
8	0.6502684457
9	0.6457926069
10	0.6407083239
11	0.6361429487
12	0.6318154471
13	0.6282185146
14	0.62402965
15	0.6209007263
16	0.6169504438
17	0.6130537851
18	0.6086511339
19	0.605424554
20	0.6020193917
21	0.5978123801
22	0.5939212799
23	0.5895960672
24	0.5863719395
25	0.5820652553
26	0.5775150299
27	0.5730461121
28	0.5690986088
29	0.5653881073
30	0.5611371722
31	0.5572732108
32	0.5534927368
33	0.5500298636
34	0.5460279192
35	0.5421278817
36	0.5383849008
37	0.5355101994
38	0.532037844
39	0.527771868
40	0.5239660536
41	0.5204296112
42	0.5170633589
43	0.5138560704
44	0.5104793549
45	0.5072513035
46	0.504524122
47	0.5023466928
48	0.4991674696
49	0.4960029602
50	0.4928090777
51	0.4892093113
52	0.486579786
53	0.4835956029
54	0.4804823739
55	0.4773962293
56	0.4740504674
57	0.4716794695
58	0.468881716
59	0.466520037
60	0.4636859894
61	0.4604437692
62	0.4572191511
63	0.4543349402
64	0.4520280566
65	0.4489547729
66	0.4463123049
67	0.4442341396
68	0.4416122709
69	0.438879667
70	0.4360355377
71	0.4336159297
72	0.4313419887
73	0.4284808295
74	0.4257616861
75	0.4237863813
76	0.4216819218
77	0.4195937565
78	0.4169236592
79	0.4145176751
80	0.411894771
81	0.4090570722
82	0.4065090179
83	0.4043117251
84	0.4022703443
85	0.3997488567
86	0.3977572577
87	0.3955559049
88	0.393690191
89	0.3915849141
90	0.3895709446
91	0.3871413095
92	0.3849934169
93	0.3825551714
94	0.3802632468
95	0.3780679975
96	0.376190567
97	0.3743221283
98	0.3721448353
99	0.3700780051
100	0.3678950718
101	0.3657843454
102	0.3637160437
103	0.3621542249
104	0.36009358
105	0.3585560662
106	0.3564595904
107	0.3546163831
108	0.3527044024
109	0.3507848467
110	0.348793602
111	0.3466276441
112	0.3448834555
113	0.3429280962
114	0.3411081042
115	0.3397239958
116	0.3378562655
117	0.3359773363
118	0.3345378331
119	0.3329746791
120	0.3311403002
121	0.3298405784
122	0.3283937182
123	0.3265987941
124	0.3251040867
125	0.3235722133
126	0.3218031747
127	0.3200728008
128	0.3184487479
129	0.3171082088
130	0.3154632023
131	0.3138458252
132	0.3122922625
133	0.3106086731
134	0.3092133113
135	0.3079826083
136	0.3067404066
137	0.3056232997
138	0.3041015353
139	0.3029093061
140	0.3013823918
141	0.2996388572
142	0.2980352947
143	0.2966438838
144	0.2949825287
145	0.2936340332
146	0.2922451564
147	0.2911805562
148	0.2897819519
149	0.2883287157
150	0.2868376051
151	0.2853336334
152	0.2839122227
153	0.2828523363
154	0.2815327236
155	0.2803673335
156	0.2793099267
157	0.2778537478
158	0.276256643
159	0.2749191012
160	0.2736189706
161	0.2725663321
162	0.2714135579
163	0.270198931
164	0.2689259393
165	0.2678961073
166	0.2668388639
167	0.2656846728
168	0.264471708
169	0.2631699698
170	0.2620352881
171	0.2608458928
172	0.2597082955
173	0.2584351131
174	0.2572907584
175	0.2563058036
176	0.2550434113
177	0.2537825721
178	0.2528229577
179	0.251966204
180	0.2508498601
181	0.2496423994
182	0.2483212607
183	0.2470272609
184	0.2459557397
185	0.2447766168
186	0.2438362122
187	0.2428219387
188	0.2416607993
189	0.2406806673
190	0.2394422804
191	0.2385797773
192	0.23768613
193	0.236690058
194	0.23567276
195	0.2349006108
196	0.2339584896
197	0.2328624998
198	0.2318513053
199	0.2311516898
200	0.230213574
201	0.2294276101
202	0.228635025
203	0.2277589934
204	0.2267402921
205	0.2256836755
206	0.2247523172
207	0.2240337917
208	0.223392868
209	0.2223150253
210	0.2215369225
211	0.2207690375
212	0.2199106216
213	0.2190494674
214	0.2180682319
215	0.2171443939
216	0.2161334583
217	0.215363557
218	0.2144347055
219	0.2135946274
220	0.212641934
221	0.2118217196
222	0.2111021042
223	0.2104291098
224	0.2098611014
225	0.2090513502
226	0.2083464486
227	0.2076637132
228	0.2070104327
229	0.2061961446
230	0.2052538463
231	0.2045434134
232	0.2039924077
233	0.2034055982
234	0.2024739402
235	0.2016865867
236	0.200797517
237	0.1999533517
238	0.199200385
239	0.1984827859
240	0.197914832
241	0.1971059254
242	0.1963215964
243	0.1954839979
244	0.1948336056
245	0.1941894531
246	0.1933580262
247	0.1926614353
248	0.1920853751
249	0.1914213998
250	0.1907426562
251	0.190111242
252	0.1892059599
253	0.1885047913
254	0.1878184046
255	0.1870862007
256	0.1863491195
257	0.185768468
258	0.1850219727
259	0.1843887329
260	0.1837379047
261	0.1831622532
262	0.1824440139
263	0.1817574365
264	0.1809591021
265	0.1803515434
266	0.1797833034
267	0.1790872846
268	0.1784047263
269	0.177902971
270	0.1772699356
271	0.176719938
272	0.1762268339
273	0.1754919733
274	0.1748935155
275	0.1744127819
276	0.1737476758
277	0.1731506756
278	0.1725238391
279	0.1719542503
280	0.1714369638
281	0.170705877
282	0.1701234273
283	0.1695229939
284	0.1689854486
285	0.1684698786
286	0.1678932462
287	0.1671848842
288	0.1667530605
289	0.1660611425
290	0.1654806137
291	0.1650150027
292	0.1645477567
293	0.1640003341
294	0.1634300777
295	0.1628040995
296	0.1621783938
297	0.1615516935
298	0.1610144888
299	0.1604422297
300	0.1599722726
301	0.1594172478
302	0.1588491167
303	0.1583597047
304	0.1578238351
305	0.1572765214
306	0.1567413875
307	0.1563428061
308	0.1558765548
309	0.1554545539
310	0.1549561092
311	0.1544841494
312	0.1539316314
313	0.1534226009
314	0.153005273
315	0.1524333136
316	0.151962253
317	0.1515139988
318	0.1511502811
319	0.1506871087
320	0.1501738412
321	0.1497858184
322	0.149304063
323	0.1487035615
324	0.1482866968
325	0.1478355408
326	0.1474191666
327	0.1470280647
328	0.1466008868
329	0.1463356018
330	0.1459663119
331	0.1455163956
332	0.1449345452
333	0.1445500374
334	0.1439741407
335	0.1435549327
336	0.1431728499
337	0.1426643644
338	0.1422590392
339	0.1417934554
340	0.1413577625
341	0.1409470422
342	0.1404704503
343	0.1400038855
344	0.13961386
345	0.1392178808
346	0.1387867383
347	0.1384975978
348	0.1381265776
349	0.1377050808
350	0.1372949328
351	0.1369061061
352	0.1365060398
353	0.1361249787
354	0.1358591625
355	0.13552054
356	0.1352319172
357	0.1347957339
358	0.1344349725
359	0.1340372903
360	0.1336570604
361	0.1333235059
362	0.1329948698
363	0.1325847626
364	0.1321897779
365	0.1318384443
366	0.131489563
367	0.13118327
368	0.1308744703
369	0.1304450035
370	0.1301568576
371	0.1298228128
372	0.129502133
373	0.1291176251
374	0.128745406
375	0.128395462
376	0.1279796328
377	0.1276471274
378	0.1273688725
379	0.1270741326
380	0.1267203603
381	0.126379994
382	0.1260090964
383	0.1257178443
384	0.1253453936
385	0.1249694279
386	0.124685342
387	0.1243640627
388	0.1240176065
389	0.1237093653
390	0.123330525
391	0.1230144501
392	0.1226842335
393	0.1223485947
394	0.1220494815
395	0.121708325
396	0.1213796616
397	0.1211358752
398	0.1208861623
399	0.1204502514
400	0.1201519285
401	0.1197684016
402	0.1195078441
