iter	Passed	Remaining
0	49	48972
1	53	26641
2	54	18113
3	55	13853
4	56	11277
5	57	9578
6	58	8365
7	60	7447
8	61	6719
9	62	6140
10	63	5670
11	64	5332
12	65	4999
13	67	4751
14	68	4502
15	69	4286
16	70	4094
17	71	3920
18	73	3769
19	74	3637
20	75	3513
21	76	3397
22	77	3293
23	78	3198
24	79	3111
25	80	3029
26	82	2955
27	82	2880
28	83	2810
29	85	2751
30	86	2697
31	87	2642
32	88	2590
33	89	2544
34	90	2502
35	91	2458
36	92	2416
37	93	2374
38	94	2335
39	95	2297
40	96	2260
41	97	2225
42	98	2191
43	99	2162
44	100	2132
45	101	2101
46	102	2076
47	103	2048
48	104	2021
49	105	1996
50	106	1973
51	107	1950
52	108	1929
53	108	1908
54	109	1887
55	110	1866
56	111	1848
57	112	1830
58	113	1813
59	114	1797
60	115	1780
61	116	1764
62	117	1747
63	118	1730
64	119	1716
65	120	1701
66	121	1688
67	122	1674
68	122	1659
69	123	1645
70	124	1632
71	125	1619
72	126	1607
73	127	1594
74	128	1582
75	129	1569
76	130	1558
77	131	1550
78	132	1540
79	132	1529
80	133	1518
81	134	1507
82	135	1496
83	136	1487
84	137	1477
85	138	1466
86	138	1457
87	139	1449
88	140	1440
89	141	1431
90	142	1422
91	143	1413
92	143	1404
93	144	1395
94	145	1387
95	146	1379
96	147	1371
97	148	1363
98	148	1355
99	149	1348
100	150	1340
101	151	1334
102	152	1327
103	152	1317
104	153	1310
105	154	1303
106	155	1295
107	156	1289
108	156	1282
109	157	1275
110	158	1268
111	159	1262
112	159	1255
113	160	1249
114	161	1243
115	162	1237
116	163	1231
117	164	1226
118	164	1220
119	165	1214
120	166	1209
121	167	1203
122	168	1198
123	168	1193
124	169	1188
125	171	1191
126	172	1185
127	173	1179
128	174	1175
129	174	1169
130	175	1164
131	176	1158
132	176	1153
133	177	1148
134	178	1143
135	179	1138
136	180	1133
137	180	1129
138	181	1124
139	182	1120
140	183	1115
141	183	1111
142	184	1107
143	185	1102
144	186	1102
145	187	1098
146	188	1093
147	189	1088
148	189	1084
149	190	1080
150	191	1076
151	192	1072
152	193	1069
153	193	1065
154	194	1061
155	195	1057
156	196	1053
157	196	1048
158	197	1044
159	198	1040
160	199	1037
161	199	1033
162	200	1029
163	201	1025
164	201	1021
165	202	1017
166	203	1014
167	204	1010
168	204	1007
169	205	1003
