participant,class1,class2,running_time,test_acc,train_acc,test_size,train_size,train_block,test_block,test_acc_vote
3,Hand,Rest,176.5812587738037,0.8211009174311926,0.9311926605504588,"(218, 64, 1000)","(436, 64, 1000)",1234,67,0.8211009174311926
3,Feet,Rest,159.70790648460388,0.6284403669724771,0.9174311926605504,"(218, 64, 1000)","(436, 64, 1000)",1234,67,0.6559633027522935
3,Tongue,Rest,162.73566484451294,0.7110091743119266,0.9311926605504588,"(218, 64, 1000)","(436, 64, 1000)",1234,67,0.6926605504587156
3,Mis,Rest,182.84534811973572,0.8027522935779816,0.9357798165137616,"(218, 64, 1000)","(436, 64, 1000)",1234,67,0.8027522935779816
4,Hand,Rest,171.53113198280334,0.8715596330275229,0.9724770642201837,"(218, 64, 1000)","(436, 64, 1000)",1234,67,0.8669724770642202
4,Feet,Rest,184.06905245780945,0.7477064220183486,0.9151376146788992,"(218, 64, 1000)","(436, 64, 1000)",1234,67,0.7339449541284404
4,Tongue,Rest,169.34088444709778,0.7110091743119266,0.9472477064220184,"(218, 64, 1000)","(436, 64, 1000)",1234,67,0.7110091743119267
4,Mis,Rest,165.39250087738037,0.7018348623853211,0.9541284403669724,"(218, 64, 1000)","(436, 64, 1000)",1234,67,0.6926605504587156
5,Hand,Rest,175.0029492378235,0.7385321100917431,0.926605504587156,"(218, 64, 1000)","(436, 64, 1000)",1234,67,0.7477064220183487
5,Feet,Rest,107.8216700553894,0.6513761467889908,0.926605504587156,"(218, 64, 1000)","(436, 64, 1000)",1234,67,0.6605504587155964
5,Tongue,Rest,106.54093194007874,0.7935779816513762,0.9403669724770642,"(218, 64, 1000)","(436, 64, 1000)",1234,67,0.7981651376146789
5,Mis,Rest,107.83806300163268,0.8394495412844036,0.963302752293578,"(218, 64, 1000)","(436, 64, 1000)",1234,67,0.8669724770642202
6,Hand,Rest,109.886971950531,0.6651376146788991,0.9472477064220184,"(218, 64, 1000)","(436, 64, 1000)",1234,67,0.6651376146788991
6,Feet,Rest,103.34432649612428,0.6192660550458715,0.9036697247706422,"(218, 64, 1000)","(436, 64, 1000)",1234,67,0.6146788990825688
6,Tongue,Rest,105.15287637710573,0.7522935779816514,0.9311926605504588,"(218, 64, 1000)","(436, 64, 1000)",1234,67,0.7752293577981652
6,Mis,Rest,103.59249424934389,0.6330275229357798,0.944954128440367,"(218, 64, 1000)","(436, 64, 1000)",1234,67,0.6467889908256881
7,Hand,Rest,100.60652327537537,0.8027522935779816,0.9564220183486238,"(218, 64, 1000)","(436, 64, 1000)",1234,67,0.8073394495412844
7,Feet,Rest,114.27877497673036,0.8256880733944955,0.9564220183486238,"(218, 64, 1000)","(436, 64, 1000)",1234,67,0.8302752293577982
7,Tongue,Rest,105.6888177394867,0.6880733944954128,0.9564220183486238,"(218, 64, 1000)","(436, 64, 1000)",1234,67,0.7018348623853211
7,Mis,Rest,103.169007062912,0.7339449541284404,0.93348623853211,"(218, 64, 1000)","(436, 64, 1000)",1234,67,0.7385321100917431
9,Hand,Rest,103.85764670372008,0.9174311926605504,0.9311926605504588,"(218, 64, 1000)","(436, 64, 1000)",1234,67,0.9220183486238532
9,Feet,Rest,102.52923774719238,0.8944954128440367,0.944954128440367,"(218, 64, 1000)","(436, 64, 1000)",1234,67,0.8990825688073394
9,Tongue,Rest,102.83886909484865,0.7247706422018348,0.9105504587155964,"(218, 64, 1000)","(436, 64, 1000)",1234,67,0.7201834862385321
9,Mis,Rest,104.82288479804993,0.7064220183486238,0.93348623853211,"(218, 64, 1000)","(436, 64, 1000)",1234,67,0.6926605504587156
10,Hand,Rest,107.92315673828124,0.6880733944954128,0.963302752293578,"(218, 64, 1000)","(436, 64, 1000)",1234,67,0.6880733944954128
10,Feet,Rest,139.2252492904663,0.5825688073394495,0.9197247706422018,"(218, 64, 1000)","(436, 64, 1000)",1234,67,0.5688073394495412
10,Tongue,Rest,163.6742730140686,0.6697247706422018,0.9495412844036696,"(218, 64, 1000)","(436, 64, 1000)",1234,67,0.6788990825688073
10,Mis,Rest,155.62720847129822,0.8027522935779816,0.9220183486238532,"(218, 64, 1000)","(436, 64, 1000)",1234,67,0.8119266055045872
11,Hand,Rest,173.17441487312317,0.9128440366972476,0.93348623853211,"(218, 64, 1000)","(436, 64, 1000)",1234,67,0.9220183486238532
11,Feet,Rest,156.20675015449524,0.8853211009174312,0.9495412844036696,"(218, 64, 1000)","(436, 64, 1000)",1234,67,0.8853211009174312
11,Tongue,Rest,148.93937849998474,0.6743119266055045,0.9495412844036696,"(218, 64, 1000)","(436, 64, 1000)",1234,67,0.6743119266055047
11,Mis,Rest,140.93222379684448,0.6605504587155964,0.9495412844036696,"(218, 64, 1000)","(436, 64, 1000)",1234,67,0.6697247706422018
13,Hand,Rest,143.5721263885498,0.6284403669724771,0.8577981651376146,"(218, 64, 1000)","(436, 64, 1000)",1234,67,0.6146788990825688
