participant,class1,class2,running_time,test_acc,train_acc,test_size,train_size,train_block,test_block,test_acc_vote
3,Hand,Rest,30.767105102539062,0.6071428571428571,1.0,"(56, 64, 1000)","(56, 64, 1000)",12,67,0.625
3,Feet,Rest,30.65652298927307,0.625,0.9821428571428572,"(56, 64, 1000)","(56, 64, 1000)",12,67,0.5535714285714286
3,Tongue,Rest,31.671464443206787,0.625,0.9821428571428572,"(56, 64, 1000)","(56, 64, 1000)",12,67,0.6071428571428572
3,Mis,Rest,31.891854524612427,0.6964285714285714,1.0,"(56, 64, 1000)","(56, 64, 1000)",12,67,0.6428571428571428
4,Hand,Rest,30.995848655700684,0.7857142857142857,1.0,"(56, 64, 1000)","(56, 64, 1000)",12,67,0.7678571428571428
4,Feet,Rest,31.000529527664185,0.7857142857142857,1.0,"(56, 64, 1000)","(56, 64, 1000)",12,67,0.7142857142857143
4,Tongue,Rest,31.131558656692505,0.8035714285714286,1.0,"(56, 64, 1000)","(56, 64, 1000)",12,67,0.75
4,Mis,Rest,31.355334281921387,0.7142857142857143,0.9821428571428572,"(56, 64, 1000)","(56, 64, 1000)",12,67,0.6964285714285714
5,Hand,Rest,31.136563062667847,0.5,1.0,"(56, 64, 1000)","(56, 64, 1000)",12,67,0.4821428571428571
5,Feet,Rest,30.973862171173096,0.8392857142857143,1.0,"(56, 64, 1000)","(56, 64, 1000)",12,67,0.8035714285714286
5,Tongue,Rest,31.860219717025757,0.8571428571428571,1.0,"(56, 64, 1000)","(56, 64, 1000)",12,67,0.8571428571428572
5,Mis,Rest,32.12711024284363,0.6428571428571429,1.0,"(56, 64, 1000)","(56, 64, 1000)",12,67,0.625
6,Hand,Rest,31.70026469230652,0.6964285714285714,1.0,"(56, 64, 1000)","(56, 64, 1000)",12,67,0.6607142857142857
6,Feet,Rest,31.95842719078064,0.6607142857142857,1.0,"(56, 64, 1000)","(56, 64, 1000)",12,67,0.6428571428571428
6,Tongue,Rest,32.317054271698,0.625,0.9642857142857144,"(56, 64, 1000)","(56, 64, 1000)",12,67,0.5714285714285714
6,Mis,Rest,31.71519565582275,0.6964285714285714,0.9642857142857144,"(56, 64, 1000)","(56, 64, 1000)",12,67,0.7321428571428572
7,Hand,Rest,31.38639116287231,0.7321428571428571,1.0,"(56, 64, 1000)","(56, 64, 1000)",12,67,0.6964285714285714
7,Feet,Rest,31.07173466682434,0.6964285714285714,1.0,"(56, 64, 1000)","(56, 64, 1000)",12,67,0.6964285714285714
