participant,class1,class2,running_time,test_acc,train_acc,test_size,train_size,train_block,test_block,test_acc_vote
3,Hand,Rest,101.41182351112366,0.8198198198198198,0.945945945945946,"(222, 64, 500)","(555, 64, 500)",12345,67,0.8468468468468469
3,Feet,Rest,100.27146935462952,0.6216216216216216,0.927927927927928,"(222, 64, 500)","(555, 64, 500)",12345,67,0.6441441441441442
3,Tongue,Rest,101.11146640777588,0.7252252252252253,0.9315315315315316,"(222, 64, 500)","(555, 64, 500)",12345,67,0.7252252252252251
3,Mis,Rest,100.3533787727356,0.7072072072072072,0.9405405405405406,"(222, 64, 500)","(555, 64, 500)",12345,67,0.6846846846846847
4,Hand,Rest,100.35174703598022,0.8243243243243243,0.9243243243243244,"(222, 64, 500)","(555, 64, 500)",12345,67,0.8423423423423424
4,Feet,Rest,99.8374526500702,0.7252252252252253,0.9477477477477476,"(222, 64, 500)","(555, 64, 500)",12345,67,0.7297297297297297
4,Tongue,Rest,100.60789918899536,0.7387387387387387,0.9387387387387388,"(222, 64, 500)","(555, 64, 500)",12345,67,0.7477477477477478
4,Mis,Rest,101.868549823761,0.6531531531531531,0.9567567567567568,"(222, 64, 500)","(555, 64, 500)",12345,67,0.6351351351351351
5,Hand,Rest,100.45481419563292,0.6666666666666666,0.981981981981982,"(222, 64, 500)","(555, 64, 500)",12345,67,0.6711711711711712
5,Feet,Rest,100.52995109558104,0.8063063063063063,0.981981981981982,"(222, 64, 500)","(555, 64, 500)",12345,67,0.8243243243243243
5,Tongue,Rest,101.0688772201538,0.7837837837837838,0.9801801801801802,"(222, 64, 500)","(555, 64, 500)",12345,67,0.8063063063063063
5,Mis,Rest,101.7528784275055,0.8513513513513513,0.9945945945945946,"(222, 64, 500)","(555, 64, 500)",12345,67,0.8738738738738738
6,Hand,Rest,100.5218117237091,0.7207207207207207,0.9747747747747748,"(222, 64, 500)","(555, 64, 500)",12345,67,0.7297297297297297
6,Feet,Rest,101.91419386863708,0.6216216216216216,0.9855855855855856,"(222, 64, 500)","(555, 64, 500)",12345,67,0.6306306306306306
6,Tongue,Rest,100.50821661949158,0.6261261261261262,0.9747747747747748,"(222, 64, 500)","(555, 64, 500)",12345,67,0.6171171171171171
6,Mis,Rest,102.61841535568236,0.7207207207207207,0.972972972972973,"(222, 64, 500)","(555, 64, 500)",12345,67,0.7252252252252251
7,Hand,Rest,100.8163604736328,0.7882882882882883,0.9801801801801802,"(222, 64, 500)","(555, 64, 500)",12345,67,0.7972972972972973
7,Feet,Rest,102.73623609542848,0.8063063063063063,0.9873873873873874,"(222, 64, 500)","(555, 64, 500)",12345,67,0.8288288288288288
7,Tongue,Rest,100.6502788066864,0.6081081081081081,0.9747747747747748,"(222, 64, 500)","(555, 64, 500)",12345,67,0.6531531531531531
7,Mis,Rest,100.92331266403198,0.7162162162162162,0.9513513513513514,"(222, 64, 500)","(555, 64, 500)",12345,67,0.7252252252252251
9,Hand,Rest,101.96456336975098,0.8693693693693694,0.9225225225225224,"(222, 64, 500)","(555, 64, 500)",12345,67,0.8828828828828829
9,Feet,Rest,100.58265590667725,0.8558558558558559,0.9693693693693692,"(222, 64, 500)","(555, 64, 500)",12345,67,0.8648648648648649
9,Tongue,Rest,101.71470642089844,0.7342342342342343,0.9081081081081082,"(222, 64, 500)","(555, 64, 500)",12345,67,0.7477477477477478
9,Mis,Rest,101.62300395965576,0.7117117117117117,0.9153153153153152,"(222, 64, 500)","(555, 64, 500)",12345,67,0.7297297297297297
10,Hand,Rest,101.33542776107788,0.6531531531531531,0.9711711711711712,"(222, 64, 500)","(555, 64, 500)",12345,67,0.6666666666666667
10,Feet,Rest,102.23990154266356,0.6531531531531531,0.9891891891891892,"(222, 64, 500)","(555, 64, 500)",12345,67,0.6396396396396397
10,Tongue,Rest,100.95133924484252,0.6261261261261262,0.9567567567567568,"(222, 64, 500)","(555, 64, 500)",12345,67,0.6171171171171171
