participant,class1,class2,running_time,test_acc,train_acc,test_size,train_size,train_block,test_block,test_acc_vote
3,Hand,Rest,37.75071597099304,0.5495495495495496,1.0,"(222, 64, 500)","(111, 64, 500)",1,67,0.527027027027027
3,Feet,Rest,38.15298652648926,0.5405405405405406,1.0,"(222, 64, 500)","(111, 64, 500)",1,67,0.5495495495495495
3,Tongue,Rest,38.00804591178894,0.5540540540540541,1.0,"(222, 64, 500)","(111, 64, 500)",1,67,0.5765765765765766
3,Mis,Rest,37.38992142677307,0.5990990990990991,1.0,"(222, 64, 500)","(111, 64, 500)",1,67,0.6081081081081081
4,Hand,Rest,38.01660799980163,0.6621621621621622,1.0,"(222, 64, 500)","(111, 64, 500)",1,67,0.6891891891891893
4,Feet,Rest,37.50730347633362,0.4549549549549549,1.0,"(222, 64, 500)","(111, 64, 500)",1,67,0.4459459459459459
4,Tongue,Rest,38.206139087677,0.527027027027027,1.0,"(222, 64, 500)","(111, 64, 500)",1,67,0.545045045045045
4,Mis,Rest,37.894258975982666,0.5405405405405406,1.0,"(222, 64, 500)","(111, 64, 500)",1,67,0.545045045045045
5,Hand,Rest,37.243499755859375,0.545045045045045,1.0,"(222, 64, 500)","(111, 64, 500)",1,67,0.5405405405405406
5,Feet,Rest,37.16930556297302,0.5315315315315315,1.0,"(222, 64, 500)","(111, 64, 500)",1,67,0.5180180180180181
5,Tongue,Rest,37.34117412567139,0.4954954954954955,1.0,"(222, 64, 500)","(111, 64, 500)",1,67,0.5
5,Mis,Rest,37.88433241844177,0.5315315315315315,1.0,"(222, 64, 500)","(111, 64, 500)",1,67,0.5225225225225225
6,Hand,Rest,38.0969717502594,0.545045045045045,1.0,"(222, 64, 500)","(111, 64, 500)",1,67,0.5675675675675675
6,Feet,Rest,37.92988586425781,0.6036036036036037,1.0,"(222, 64, 500)","(111, 64, 500)",1,67,0.6216216216216216
6,Tongue,Rest,36.92466950416565,0.536036036036036,1.0,"(222, 64, 500)","(111, 64, 500)",1,67,0.527027027027027
6,Mis,Rest,36.86342692375183,0.5945945945945946,1.0,"(222, 64, 500)","(111, 64, 500)",1,67,0.5990990990990991
7,Hand,Rest,37.38849496841431,0.5405405405405406,1.0,"(222, 64, 500)","(111, 64, 500)",1,67,0.5225225225225225
7,Feet,Rest,37.50519490242005,0.6216216216216216,1.0,"(222, 64, 500)","(111, 64, 500)",1,67,0.6666666666666667
