participant,class1,class2,running_time,test_acc,train_acc,test_size,train_size,train_block,test_block,test_acc_vote
3,Hand,Rest,44.80438280105591,0.8482142857142857,1.0,"(112, 64, 500)","(168, 64, 500)",123,67,0.9107142857142856
3,Feet,Rest,45.994579553604126,0.5625,1.0,"(112, 64, 500)","(168, 64, 500)",123,67,0.5625
3,Tongue,Rest,45.96388387680054,0.6517857142857143,1.0,"(112, 64, 500)","(168, 64, 500)",123,67,0.6607142857142857
3,Mis,Rest,45.408063888549805,0.8035714285714286,1.0,"(112, 64, 500)","(168, 64, 500)",123,67,0.8214285714285714
4,Hand,Rest,45.8387553691864,0.8571428571428571,1.0,"(112, 64, 500)","(168, 64, 500)",123,67,0.8839285714285714
4,Feet,Rest,46.2483274936676,0.7767857142857143,1.0,"(112, 64, 500)","(168, 64, 500)",123,67,0.7767857142857143
4,Tongue,Rest,45.86597919464111,0.8125,1.0,"(112, 64, 500)","(168, 64, 500)",123,67,0.8125
4,Mis,Rest,46.528621196746826,0.7142857142857143,1.0,"(112, 64, 500)","(168, 64, 500)",123,67,0.6696428571428572
5,Hand,Rest,45.508020877838135,0.5535714285714286,1.0,"(112, 64, 500)","(168, 64, 500)",123,67,0.5446428571428572
5,Feet,Rest,46.41645908355713,0.6517857142857143,1.0,"(112, 64, 500)","(168, 64, 500)",123,67,0.625
5,Tongue,Rest,46.24225425720215,0.6607142857142857,1.0,"(112, 64, 500)","(168, 64, 500)",123,67,0.625
5,Mis,Rest,46.13965153694153,0.6339285714285714,1.0,"(112, 64, 500)","(168, 64, 500)",123,67,0.625
6,Hand,Rest,45.77886724472046,0.6607142857142857,1.0,"(112, 64, 500)","(168, 64, 500)",123,67,0.6339285714285714
6,Feet,Rest,45.41080474853515,0.6964285714285714,1.0,"(112, 64, 500)","(168, 64, 500)",123,67,0.7410714285714286
6,Tongue,Rest,45.99973678588867,0.6428571428571429,1.0,"(112, 64, 500)","(168, 64, 500)",123,67,0.6875
6,Mis,Rest,45.81169629096985,0.6339285714285714,1.0,"(112, 64, 500)","(168, 64, 500)",123,67,0.6607142857142857
7,Hand,Rest,46.735063791275024,0.6964285714285714,1.0,"(112, 64, 500)","(168, 64, 500)",123,67,0.6875
7,Feet,Rest,46.492122173309326,0.7232142857142857,1.0,"(112, 64, 500)","(168, 64, 500)",123,67,0.7767857142857143
7,Tongue,Rest,45.69457960128784,0.5714285714285714,1.0,"(112, 64, 500)","(168, 64, 500)",123,67,0.5535714285714286
7,Mis,Rest,45.32773423194885,0.625,1.0,"(112, 64, 500)","(168, 64, 500)",123,67,0.625
9,Hand,Rest,45.30503177642822,0.7857142857142857,1.0,"(112, 64, 500)","(168, 64, 500)",123,67,0.8125
9,Feet,Rest,45.271244525909424,0.8125,1.0,"(112, 64, 500)","(168, 64, 500)",123,67,0.8392857142857143
9,Tongue,Rest,45.24407434463501,0.7142857142857143,1.0,"(112, 64, 500)","(168, 64, 500)",123,67,0.7857142857142857
9,Mis,Rest,46.439831256866455,0.7321428571428571,1.0,"(112, 64, 500)","(168, 64, 500)",123,67,0.7321428571428572
10,Hand,Rest,45.27156472206116,0.6696428571428571,1.0,"(112, 64, 500)","(168, 64, 500)",123,67,0.6875
10,Feet,Rest,45.99153113365173,0.5625,1.0,"(112, 64, 500)","(168, 64, 500)",123,67,0.5803571428571428
10,Tongue,Rest,45.42297053337097,0.6160714285714286,1.0,"(112, 64, 500)","(168, 64, 500)",123,67,0.6339285714285714
10,Mis,Rest,45.001157999038696,0.625,1.0,"(112, 64, 500)","(168, 64, 500)",123,67,0.6071428571428572
11,Hand,Rest,46.671231508255005,0.8660714285714286,1.0,"(112, 64, 500)","(168, 64, 500)",123,67,0.8392857142857143
11,Feet,Rest,46.24042844772339,0.9464285714285714,1.0,"(112, 64, 500)","(168, 64, 500)",123,67,0.9464285714285714
11,Tongue,Rest,46.70045828819275,0.5625,1.0,"(112, 64, 500)","(168, 64, 500)",123,67,0.5357142857142857
11,Mis,Rest,46.47404432296753,0.625,1.0,"(112, 64, 500)","(168, 64, 500)",123,67,0.6339285714285714
13,Hand,Rest,46.29254221916199,0.5803571428571429,1.0,"(112, 64, 500)","(168, 64, 500)",123,67,0.5892857142857143
13,Feet,Rest,45.19806480407715,0.7678571428571429,1.0,"(112, 64, 500)","(168, 64, 500)",123,67,0.8125
13,Tongue,Rest,45.57506799697876,0.6696428571428571,1.0,"(112, 64, 500)","(168, 64, 500)",123,67,0.6696428571428572
13,Mis,Rest,45.24337029457092,0.7053571428571429,1.0,"(112, 64, 500)","(168, 64, 500)",123,67,0.6964285714285714
14,Hand,Rest,46.41024088859558,0.8303571428571429,1.0,"(112, 64, 500)","(168, 64, 500)",123,67,0.8214285714285714
14,Feet,Rest,45.80483865737915,0.6607142857142857,1.0,"(112, 64, 500)","(168, 64, 500)",123,67,0.6517857142857143
14,Tongue,Rest,45.740705251693726,0.6339285714285714,1.0,"(112, 64, 500)","(168, 64, 500)",123,67,0.5714285714285714
14,Mis,Rest,46.267826318740845,0.6160714285714286,1.0,"(112, 64, 500)","(168, 64, 500)",123,67,0.6964285714285714
15,Hand,Rest,45.72507357597351,0.875,1.0,"(112, 64, 500)","(168, 64, 500)",123,67,0.9375
15,Feet,Rest,45.57856726646423,0.6875,1.0,"(112, 64, 500)","(168, 64, 500)",123,67,0.7321428571428572
15,Tongue,Rest,45.50262951850891,0.7767857142857143,1.0,"(112, 64, 500)","(168, 64, 500)",123,67,0.8035714285714286
15,Mis,Rest,45.17437696456909,0.7142857142857143,1.0,"(112, 64, 500)","(168, 64, 500)",123,67,0.7589285714285714
16,Hand,Rest,44.95393896102905,0.5892857142857143,1.0,"(112, 64, 500)","(168, 64, 500)",123,67,0.5714285714285714
16,Feet,Rest,45.29415988922119,0.5803571428571429,1.0,"(112, 64, 500)","(168, 64, 500)",123,67,0.5357142857142857
16,Tongue,Rest,45.29063963890076,0.7321428571428571,1.0,"(112, 64, 500)","(168, 64, 500)",123,67,0.7678571428571428
16,Mis,Rest,45.08751916885376,0.7142857142857143,1.0,"(112, 64, 500)","(168, 64, 500)",123,67,0.7767857142857143
17,Hand,Rest,46.02218842506409,0.7232142857142857,1.0,"(112, 64, 500)","(168, 64, 500)",123,67,0.7589285714285714
