participant,class1,class2,running_time,test_acc,train_acc,test_size,train_size,train_block,test_block,test_acc_vote
3,Hand,Rest,52.634636640548706,0.7857142857142857,0.9642857142857144,"(112, 64, 1000)","(84, 64, 1000)",123,67,0.7678571428571428
3,Feet,Rest,52.54636573791504,0.5892857142857143,0.9642857142857144,"(112, 64, 1000)","(84, 64, 1000)",123,67,0.6160714285714286
3,Tongue,Rest,52.48389458656311,0.7767857142857143,1.0,"(112, 64, 1000)","(84, 64, 1000)",123,67,0.7321428571428572
3,Mis,Rest,52.87398195266723,0.8214285714285714,1.0,"(112, 64, 1000)","(84, 64, 1000)",123,67,0.8035714285714286
4,Hand,Rest,52.77240180969238,0.8928571428571429,1.0,"(112, 64, 1000)","(84, 64, 1000)",123,67,0.8839285714285714
4,Feet,Rest,52.0341522693634,0.7232142857142857,1.0,"(112, 64, 1000)","(84, 64, 1000)",123,67,0.6428571428571428
4,Tongue,Rest,52.55752420425415,0.8214285714285714,1.0,"(112, 64, 1000)","(84, 64, 1000)",123,67,0.7767857142857143
4,Mis,Rest,52.40674161911011,0.7142857142857143,0.9761904761904762,"(112, 64, 1000)","(84, 64, 1000)",123,67,0.6964285714285714
5,Hand,Rest,52.70109224319458,0.5803571428571429,0.988095238095238,"(112, 64, 1000)","(84, 64, 1000)",123,67,0.5714285714285714
5,Feet,Rest,52.18060803413391,0.8482142857142857,0.988095238095238,"(112, 64, 1000)","(84, 64, 1000)",123,67,0.8125
5,Tongue,Rest,53.35032343864441,0.7946428571428571,1.0,"(112, 64, 1000)","(84, 64, 1000)",123,67,0.7857142857142857
5,Mis,Rest,53.288182497024536,0.5267857142857143,1.0,"(112, 64, 1000)","(84, 64, 1000)",123,67,0.5267857142857143
6,Hand,Rest,52.32891893386841,0.6696428571428571,0.988095238095238,"(112, 64, 1000)","(84, 64, 1000)",123,67,0.6428571428571428
6,Feet,Rest,52.41771054267883,0.7857142857142857,1.0,"(112, 64, 1000)","(84, 64, 1000)",123,67,0.7857142857142857
6,Tongue,Rest,53.1605224609375,0.7589285714285714,0.988095238095238,"(112, 64, 1000)","(84, 64, 1000)",123,67,0.7232142857142857
6,Mis,Rest,53.202858686447144,0.6517857142857143,0.9642857142857144,"(112, 64, 1000)","(84, 64, 1000)",123,67,0.5892857142857143
7,Hand,Rest,51.75036263465881,0.8660714285714286,0.988095238095238,"(112, 64, 1000)","(84, 64, 1000)",123,67,0.8928571428571429
7,Feet,Rest,53.26293659210205,0.8482142857142857,1.0,"(112, 64, 1000)","(84, 64, 1000)",123,67,0.8392857142857143
7,Tongue,Rest,52.036582469940186,0.7767857142857143,0.988095238095238,"(112, 64, 1000)","(84, 64, 1000)",123,67,0.7410714285714286
7,Mis,Rest,52.30875253677368,0.6696428571428571,1.0,"(112, 64, 1000)","(84, 64, 1000)",123,67,0.6517857142857143
9,Hand,Rest,52.12574934959411,0.8839285714285714,0.9642857142857144,"(112, 64, 1000)","(84, 64, 1000)",123,67,0.8571428571428572
9,Feet,Rest,52.31938791275024,0.9553571428571428,1.0,"(112, 64, 1000)","(84, 64, 1000)",123,67,0.9375
9,Tongue,Rest,52.253294706344604,0.7678571428571429,0.9761904761904762,"(112, 64, 1000)","(84, 64, 1000)",123,67,0.75
9,Mis,Rest,52.11206078529358,0.75,0.988095238095238,"(112, 64, 1000)","(84, 64, 1000)",123,67,0.7678571428571428
10,Hand,Rest,52.27447295188904,0.6607142857142857,0.9642857142857144,"(112, 64, 1000)","(84, 64, 1000)",123,67,0.6339285714285714
10,Feet,Rest,51.90357971191406,0.7321428571428571,1.0,"(112, 64, 1000)","(84, 64, 1000)",123,67,0.6875
10,Tongue,Rest,52.53008484840393,0.6785714285714286,0.9523809523809524,"(112, 64, 1000)","(84, 64, 1000)",123,67,0.6160714285714286
10,Mis,Rest,52.22755575180054,0.8035714285714286,0.988095238095238,"(112, 64, 1000)","(84, 64, 1000)",123,67,0.7678571428571428
11,Hand,Rest,52.357614517211914,0.8660714285714286,1.0,"(112, 64, 1000)","(84, 64, 1000)",123,67,0.8482142857142857
11,Feet,Rest,52.162288188934326,0.9464285714285714,1.0,"(112, 64, 1000)","(84, 64, 1000)",123,67,0.9553571428571428
11,Tongue,Rest,52.38353943824768,0.6339285714285714,0.988095238095238,"(112, 64, 1000)","(84, 64, 1000)",123,67,0.6339285714285714
11,Mis,Rest,52.44237399101257,0.7410714285714286,1.0,"(112, 64, 1000)","(84, 64, 1000)",123,67,0.7053571428571428
13,Hand,Rest,52.29795694351196,0.7321428571428571,0.9285714285714286,"(112, 64, 1000)","(84, 64, 1000)",123,67,0.6964285714285714
13,Feet,Rest,52.4041600227356,0.7946428571428571,1.0,"(112, 64, 1000)","(84, 64, 1000)",123,67,0.7857142857142857
13,Tongue,Rest,53.07967281341553,0.8303571428571429,1.0,"(112, 64, 1000)","(84, 64, 1000)",123,67,0.8035714285714286
13,Mis,Rest,52.58982682228088,0.8303571428571429,0.9761904761904762,"(112, 64, 1000)","(84, 64, 1000)",123,67,0.7857142857142857
14,Hand,Rest,52.51091027259827,0.9285714285714286,1.0,"(112, 64, 1000)","(84, 64, 1000)",123,67,0.8928571428571429
14,Feet,Rest,52.07936906814575,0.5803571428571429,1.0,"(112, 64, 1000)","(84, 64, 1000)",123,67,0.5535714285714286
14,Tongue,Rest,52.40294551849365,0.6071428571428571,1.0,"(112, 64, 1000)","(84, 64, 1000)",123,67,0.6071428571428572
14,Mis,Rest,52.30344486236572,0.6517857142857143,1.0,"(112, 64, 1000)","(84, 64, 1000)",123,67,0.6964285714285714
15,Hand,Rest,51.8136944770813,0.9223300970873788,1.0,"(103, 64, 1000)","(84, 64, 1000)",123,67,0.9029126213592232
15,Feet,Rest,53.081990003585815,0.6607142857142857,1.0,"(112, 64, 1000)","(84, 64, 1000)",123,67,0.6339285714285714
15,Tongue,Rest,52.480489015579224,0.625,0.988095238095238,"(112, 64, 1000)","(84, 64, 1000)",123,67,0.5892857142857143
15,Mis,Rest,53.25900149345398,0.7857142857142857,0.9761904761904762,"(112, 64, 1000)","(84, 64, 1000)",123,67,0.7321428571428572
16,Hand,Rest,52.09110140800476,0.5982142857142857,1.0,"(112, 64, 1000)","(84, 64, 1000)",123,67,0.6071428571428572
16,Feet,Rest,52.11366057395935,0.6517857142857143,0.9761904761904762,"(112, 64, 1000)","(84, 64, 1000)",123,67,0.6517857142857143
16,Tongue,Rest,52.49447560310364,0.7946428571428571,1.0,"(112, 64, 1000)","(84, 64, 1000)",123,67,0.75
16,Mis,Rest,52.36667084693909,0.6875,0.988095238095238,"(112, 64, 1000)","(84, 64, 1000)",123,67,0.6696428571428572
17,Hand,Rest,52.112587690353394,0.8392857142857143,0.9761904761904762,"(112, 64, 1000)","(84, 64, 1000)",123,67,0.8125
17,Feet,Rest,52.36475944519043,0.7589285714285714,0.9285714285714286,"(112, 64, 1000)","(84, 64, 1000)",123,67,0.7321428571428572
17,Tongue,Rest,52.6006281375885,0.8839285714285714,0.9166666666666666,"(112, 64, 1000)","(84, 64, 1000)",123,67,0.8482142857142857
17,Mis,Rest,52.56078290939331,0.8392857142857143,1.0,"(112, 64, 1000)","(84, 64, 1000)",123,67,0.8035714285714286
18,Hand,Rest,52.55731701850891,0.7589285714285714,0.988095238095238,"(112, 64, 1000)","(84, 64, 1000)",123,67,0.7321428571428572
18,Feet,Rest,52.66914105415344,0.6339285714285714,0.988095238095238,"(112, 64, 1000)","(84, 64, 1000)",123,67,0.5982142857142857
18,Tongue,Rest,52.59555339813232,0.75,0.9761904761904762,"(112, 64, 1000)","(84, 64, 1000)",123,67,0.75
18,Mis,Rest,52.237632036209106,0.7410714285714286,1.0,"(112, 64, 1000)","(84, 64, 1000)",123,67,0.7232142857142857
19,Hand,Rest,52.27237272262573,0.875,0.9761904761904762,"(112, 64, 1000)","(84, 64, 1000)",123,67,0.8392857142857143
19,Feet,Rest,52.32251715660095,0.7232142857142857,1.0,"(112, 64, 1000)","(84, 64, 1000)",123,67,0.7232142857142857
19,Tongue,Rest,53.2455849647522,0.7321428571428571,0.988095238095238,"(112, 64, 1000)","(84, 64, 1000)",123,67,0.6785714285714286
19,Mis,Rest,53.330434799194336,0.8303571428571429,0.988095238095238,"(112, 64, 1000)","(84, 64, 1000)",123,67,0.8035714285714286
