participant,class1,class2,running_time,test_acc,train_acc,test_size,train_size,train_block,test_block,test_acc_vote
3,Hand,Rest,95.5508451461792,0.7857142857142857,0.9761904761904762,"(112, 64, 1000)","(84, 64, 1000)",123,67,0.7232142857142857
3,Feet,Rest,98.4551751613617,0.5446428571428571,1.0,"(112, 64, 1000)","(84, 64, 1000)",123,67,0.5178571428571428
3,Tongue,Rest,97.28363180160522,0.8482142857142857,0.988095238095238,"(112, 64, 1000)","(84, 64, 1000)",123,67,0.8035714285714286
3,Mis,Rest,101.54358911514282,0.8214285714285714,1.0,"(112, 64, 1000)","(84, 64, 1000)",123,67,0.7410714285714286
4,Hand,Rest,98.4591145515442,0.8392857142857143,1.0,"(112, 64, 1000)","(84, 64, 1000)",123,67,0.8392857142857143
4,Feet,Rest,101.0427589416504,0.7678571428571429,1.0,"(112, 64, 1000)","(84, 64, 1000)",123,67,0.7053571428571428
4,Tongue,Rest,96.24695038795473,0.8660714285714286,1.0,"(112, 64, 1000)","(84, 64, 1000)",123,67,0.8214285714285714
4,Mis,Rest,94.00736594200134,0.7678571428571429,0.988095238095238,"(112, 64, 1000)","(84, 64, 1000)",123,67,0.7410714285714286
5,Hand,Rest,99.14643096923828,0.5982142857142857,0.988095238095238,"(112, 64, 1000)","(84, 64, 1000)",123,67,0.5535714285714286
5,Feet,Rest,95.16859984397888,0.7142857142857143,1.0,"(112, 64, 1000)","(84, 64, 1000)",123,67,0.6339285714285714
5,Tongue,Rest,94.83729600906372,0.7142857142857143,1.0,"(112, 64, 1000)","(84, 64, 1000)",123,67,0.6428571428571428
5,Mis,Rest,99.4385576248169,0.5178571428571429,1.0,"(112, 64, 1000)","(84, 64, 1000)",123,67,0.5089285714285714
6,Hand,Rest,95.14183831214903,0.6517857142857143,1.0,"(112, 64, 1000)","(84, 64, 1000)",123,67,0.6607142857142857
6,Feet,Rest,90.86188101768494,0.7589285714285714,1.0,"(112, 64, 1000)","(84, 64, 1000)",123,67,0.7321428571428572
6,Tongue,Rest,98.20178318023682,0.75,0.9761904761904762,"(112, 64, 1000)","(84, 64, 1000)",123,67,0.6964285714285714
6,Mis,Rest,96.63302445411682,0.6428571428571429,0.9523809523809524,"(112, 64, 1000)","(84, 64, 1000)",123,67,0.5892857142857143
7,Hand,Rest,91.88702154159546,0.8660714285714286,0.988095238095238,"(112, 64, 1000)","(84, 64, 1000)",123,67,0.8839285714285714
7,Feet,Rest,90.6341905593872,0.9107142857142856,1.0,"(112, 64, 1000)","(84, 64, 1000)",123,67,0.9107142857142856
7,Tongue,Rest,88.46756267547607,0.7767857142857143,0.988095238095238,"(112, 64, 1000)","(84, 64, 1000)",123,67,0.7321428571428572
7,Mis,Rest,84.68635487556458,0.6696428571428571,1.0,"(112, 64, 1000)","(84, 64, 1000)",123,67,0.625
9,Hand,Rest,93.87689709663393,0.875,0.9642857142857144,"(112, 64, 1000)","(84, 64, 1000)",123,67,0.8482142857142857
9,Feet,Rest,94.81205654144289,0.9553571428571428,1.0,"(112, 64, 1000)","(84, 64, 1000)",123,67,0.9375
9,Tongue,Rest,96.2952024936676,0.7321428571428571,1.0,"(112, 64, 1000)","(84, 64, 1000)",123,67,0.7232142857142857
9,Mis,Rest,97.62669038772584,0.7589285714285714,1.0,"(112, 64, 1000)","(84, 64, 1000)",123,67,0.7232142857142857
10,Hand,Rest,99.65130352973938,0.6696428571428571,0.988095238095238,"(112, 64, 1000)","(84, 64, 1000)",123,67,0.6339285714285714
10,Feet,Rest,99.85467171669006,0.6875,1.0,"(112, 64, 1000)","(84, 64, 1000)",123,67,0.6696428571428572
10,Tongue,Rest,70.78543138504028,0.6785714285714286,0.9523809523809524,"(112, 64, 1000)","(84, 64, 1000)",123,67,0.6160714285714286
10,Mis,Rest,68.62893033027649,0.8125,1.0,"(112, 64, 1000)","(84, 64, 1000)",123,67,0.7589285714285714
11,Hand,Rest,68.57367134094238,0.8035714285714286,1.0,"(112, 64, 1000)","(84, 64, 1000)",123,67,0.7767857142857143
11,Feet,Rest,67.19530892372131,0.9464285714285714,1.0,"(112, 64, 1000)","(84, 64, 1000)",123,67,0.9464285714285714
11,Tongue,Rest,67.15977883338928,0.6696428571428571,0.988095238095238,"(112, 64, 1000)","(84, 64, 1000)",123,67,0.6517857142857143
11,Mis,Rest,69.14014768600464,0.7232142857142857,1.0,"(112, 64, 1000)","(84, 64, 1000)",123,67,0.6607142857142857
13,Hand,Rest,68.42968535423279,0.6785714285714286,0.9404761904761904,"(112, 64, 1000)","(84, 64, 1000)",123,67,0.6517857142857143
13,Feet,Rest,67.69583678245544,0.7857142857142857,1.0,"(112, 64, 1000)","(84, 64, 1000)",123,67,0.7767857142857143
13,Tongue,Rest,67.66254758834839,0.8303571428571429,1.0,"(112, 64, 1000)","(84, 64, 1000)",123,67,0.8035714285714286
13,Mis,Rest,67.5822160243988,0.8482142857142857,0.9761904761904762,"(112, 64, 1000)","(84, 64, 1000)",123,67,0.7857142857142857
14,Hand,Rest,68.8458743095398,0.8035714285714286,1.0,"(112, 64, 1000)","(84, 64, 1000)",123,67,0.75
14,Feet,Rest,67.69694709777832,0.5803571428571429,1.0,"(112, 64, 1000)","(84, 64, 1000)",123,67,0.5535714285714286
14,Tongue,Rest,67.62197065353394,0.5535714285714286,1.0,"(112, 64, 1000)","(84, 64, 1000)",123,67,0.5267857142857143
14,Mis,Rest,68.60930180549622,0.6071428571428571,1.0,"(112, 64, 1000)","(84, 64, 1000)",123,67,0.5714285714285714
15,Hand,Rest,67.5043957233429,0.9029126213592232,1.0,"(103, 64, 1000)","(84, 64, 1000)",123,67,0.8737864077669903
15,Feet,Rest,68.78505539894104,0.6875,1.0,"(112, 64, 1000)","(84, 64, 1000)",123,67,0.625
15,Tongue,Rest,69.26092553138733,0.6696428571428571,0.988095238095238,"(112, 64, 1000)","(84, 64, 1000)",123,67,0.6339285714285714
15,Mis,Rest,69.89866709709167,0.7767857142857143,1.0,"(112, 64, 1000)","(84, 64, 1000)",123,67,0.7589285714285714
16,Hand,Rest,69.0376365184784,0.6607142857142857,1.0,"(112, 64, 1000)","(84, 64, 1000)",123,67,0.5803571428571428
16,Feet,Rest,69.192622423172,0.6964285714285714,1.0,"(112, 64, 1000)","(84, 64, 1000)",123,67,0.6607142857142857
16,Tongue,Rest,71.54733777046204,0.7946428571428571,1.0,"(112, 64, 1000)","(84, 64, 1000)",123,67,0.7589285714285714
16,Mis,Rest,71.06348133087158,0.7410714285714286,0.988095238095238,"(112, 64, 1000)","(84, 64, 1000)",123,67,0.7321428571428572
17,Hand,Rest,71.87580871582031,0.8125,0.9761904761904762,"(112, 64, 1000)","(84, 64, 1000)",123,67,0.7857142857142857
17,Feet,Rest,70.27587389945984,0.7678571428571429,0.9523809523809524,"(112, 64, 1000)","(84, 64, 1000)",123,67,0.7589285714285714
17,Tongue,Rest,68.78208804130554,0.6964285714285714,0.9642857142857144,"(112, 64, 1000)","(84, 64, 1000)",123,67,0.6607142857142857
17,Mis,Rest,69.42752456665039,0.8125,1.0,"(112, 64, 1000)","(84, 64, 1000)",123,67,0.7767857142857143
18,Hand,Rest,69.97630214691162,0.7678571428571429,1.0,"(112, 64, 1000)","(84, 64, 1000)",123,67,0.7410714285714286
18,Feet,Rest,69.40661931037903,0.6428571428571429,1.0,"(112, 64, 1000)","(84, 64, 1000)",123,67,0.6517857142857143
18,Tongue,Rest,70.85935068130493,0.7589285714285714,1.0,"(112, 64, 1000)","(84, 64, 1000)",123,67,0.7232142857142857
18,Mis,Rest,78.53078007698059,0.7142857142857143,1.0,"(112, 64, 1000)","(84, 64, 1000)",123,67,0.6964285714285714
19,Hand,Rest,87.96079134941101,0.8928571428571429,0.9761904761904762,"(112, 64, 1000)","(84, 64, 1000)",123,67,0.8839285714285714
