participant,class1,class2,running_time,test_acc,train_acc,test_size,train_size,train_block,test_block,test_acc_vote
2,Hand,Rest,8.329746961593628,0.9642857142857144,1.0,"(28, 64, 1000)","(28, 64, 1000)",1,28 randomly chosen!,1.0
2,Feet,Rest,7.623588800430298,0.8571428571428571,1.0,"(28, 64, 1000)","(28, 64, 1000)",1,28 randomly chosen!,0.9642857142857144
2,Tongue,Rest,7.867170333862305,0.8214285714285714,1.0,"(28, 64, 1000)","(28, 64, 1000)",1,28 randomly chosen!,0.8571428571428572
2,Mis,Rest,8.356009244918823,0.6071428571428571,1.0,"(28, 64, 1000)","(28, 64, 1000)",1,28 randomly chosen!,0.5714285714285714
3,Hand,Rest,8.230768203735352,0.6785714285714286,1.0,"(28, 64, 1000)","(28, 64, 1000)",1,28 randomly chosen!,0.6785714285714286
3,Feet,Rest,8.462569236755371,0.75,1.0,"(28, 64, 1000)","(28, 64, 1000)",1,28 randomly chosen!,0.75
3,Tongue,Rest,7.740965127944946,0.6428571428571429,1.0,"(28, 64, 1000)","(28, 64, 1000)",1,28 randomly chosen!,0.6071428571428572
3,Mis,Rest,8.034538745880127,0.75,1.0,"(28, 64, 1000)","(28, 64, 1000)",1,28 randomly chosen!,0.7857142857142857
4,Hand,Rest,7.946240663528442,0.5357142857142857,1.0,"(28, 64, 1000)","(28, 64, 1000)",1,28 randomly chosen!,0.5357142857142857
4,Feet,Rest,8.01539134979248,0.5714285714285714,1.0,"(28, 64, 1000)","(28, 64, 1000)",1,28 randomly chosen!,0.6071428571428572
4,Tongue,Rest,7.815097093582153,0.5357142857142857,1.0,"(28, 64, 1000)","(28, 64, 1000)",1,28 randomly chosen!,0.5357142857142857
4,Mis,Rest,8.082415580749512,0.6071428571428571,1.0,"(28, 64, 1000)","(28, 64, 1000)",1,28 randomly chosen!,0.6428571428571428
5,Hand,Rest,8.12134861946106,0.5357142857142857,1.0,"(28, 64, 1000)","(28, 64, 1000)",1,28 randomly chosen!,0.5357142857142857
5,Feet,Rest,7.99340558052063,0.5714285714285714,1.0,"(28, 64, 1000)","(28, 64, 1000)",1,28 randomly chosen!,0.6071428571428572
5,Tongue,Rest,7.980813264846802,0.6071428571428571,1.0,"(28, 64, 1000)","(28, 64, 1000)",1,28 randomly chosen!,0.6428571428571428
5,Mis,Rest,8.006770133972168,0.75,1.0,"(28, 64, 1000)","(28, 64, 1000)",1,28 randomly chosen!,0.7857142857142857
6,Hand,Rest,7.943982839584351,0.6428571428571429,1.0,"(28, 64, 1000)","(28, 64, 1000)",1,28 randomly chosen!,0.6785714285714286
6,Feet,Rest,8.241262435913086,0.6785714285714286,1.0,"(28, 64, 1000)","(28, 64, 1000)",1,28 randomly chosen!,0.5714285714285714
6,Tongue,Rest,7.627048254013061,0.6071428571428571,1.0,"(28, 64, 1000)","(28, 64, 1000)",1,28 randomly chosen!,0.5714285714285714
6,Mis,Rest,7.549496173858643,0.7142857142857143,1.0,"(28, 64, 1000)","(28, 64, 1000)",1,28 randomly chosen!,0.8214285714285714
7,Hand,Rest,7.955002784729004,0.7857142857142857,1.0,"(28, 64, 1000)","(28, 64, 1000)",1,28 randomly chosen!,0.7142857142857143
7,Feet,Rest,8.031904458999634,0.75,1.0,"(28, 64, 1000)","(28, 64, 1000)",1,28 randomly chosen!,0.75
7,Tongue,Rest,8.119894742965698,0.7142857142857143,1.0,"(28, 64, 1000)","(28, 64, 1000)",1,28 randomly chosen!,0.6785714285714286
7,Mis,Rest,7.884896755218506,0.7857142857142857,1.0,"(28, 64, 1000)","(28, 64, 1000)",1,28 randomly chosen!,0.7857142857142857
8,Hand,Rest,8.053663969039917,0.5714285714285714,1.0,"(28, 64, 1000)","(28, 64, 1000)",1,28 randomly chosen!,0.5714285714285714
8,Feet,Rest,7.692136287689209,0.7857142857142857,1.0,"(28, 64, 1000)","(28, 64, 1000)",1,28 randomly chosen!,0.8928571428571429
8,Tongue,Rest,8.041659593582153,0.6785714285714286,1.0,"(28, 64, 1000)","(28, 64, 1000)",1,28 randomly chosen!,0.6785714285714286
8,Mis,Rest,7.512190818786621,0.8571428571428571,1.0,"(28, 64, 1000)","(28, 64, 1000)",1,28 randomly chosen!,0.8571428571428572
10,Hand,Rest,8.23150086402893,0.4642857142857143,1.0,"(28, 64, 1000)","(28, 64, 1000)",1,28 randomly chosen!,0.3928571428571429
10,Feet,Rest,8.056809425354004,0.4642857142857143,1.0,"(28, 64, 1000)","(28, 64, 1000)",1,28 randomly chosen!,0.5
10,Tongue,Rest,8.04673433303833,0.5,1.0,"(28, 64, 1000)","(28, 64, 1000)",1,28 randomly chosen!,0.5357142857142857
10,Mis,Rest,8.098960638046265,0.6071428571428571,1.0,"(28, 64, 1000)","(28, 64, 1000)",1,28 randomly chosen!,0.6071428571428572
11,Hand,Rest,8.177448272705078,0.5357142857142857,1.0,"(28, 64, 1000)","(28, 64, 1000)",1,28 randomly chosen!,0.5
11,Feet,Rest,8.161112546920776,0.6428571428571429,1.0,"(28, 64, 1000)","(28, 64, 1000)",1,28 randomly chosen!,0.7142857142857143
11,Tongue,Rest,7.880832672119141,0.5714285714285714,1.0,"(28, 64, 1000)","(28, 64, 1000)",1,28 randomly chosen!,0.4642857142857143
11,Mis,Rest,7.975750207901001,0.4285714285714285,1.0,"(28, 64, 1000)","(28, 64, 1000)",1,28 randomly chosen!,0.4285714285714286
12,Hand,Rest,7.919317722320557,0.5714285714285714,1.0,"(28, 64, 1000)","(28, 64, 1000)",1,28 randomly chosen!,0.5
12,Feet,Rest,7.995495080947876,0.7142857142857143,1.0,"(28, 64, 1000)","(28, 64, 1000)",1,28 randomly chosen!,0.8928571428571429
12,Tongue,Rest,7.956598520278931,0.6071428571428571,1.0,"(28, 64, 1000)","(28, 64, 1000)",1,28 randomly chosen!,0.6071428571428572
12,Mis,Rest,8.362579107284546,0.7142857142857143,1.0,"(28, 64, 1000)","(28, 64, 1000)",1,28 randomly chosen!,0.75
13,Hand,Rest,8.06121301651001,0.8571428571428571,1.0,"(28, 64, 1000)","(28, 64, 1000)",1,28 randomly chosen!,0.8928571428571429
13,Feet,Rest,8.183701992034912,0.8214285714285714,1.0,"(28, 64, 1000)","(28, 64, 1000)",1,28 randomly chosen!,0.8928571428571429
13,Tongue,Rest,7.997942924499512,0.8571428571428571,1.0,"(28, 64, 1000)","(28, 64, 1000)",1,28 randomly chosen!,0.8928571428571429
