participant,class1,class2,running_time,test_acc,train_acc,test_size,train_size,train_block,test_block,test_acc_vote
2,Hand,Rest,39.91654658317566,0.9375,1.0,"(112, 64, 1000)","(28, 64, 1000)",1,112 randomly chosen!,0.9821428571428572
2,Feet,Rest,39.25007772445679,0.8660714285714286,1.0,"(112, 64, 1000)","(28, 64, 1000)",1,112 randomly chosen!,0.9464285714285714
2,Tongue,Rest,39.66937971115112,0.8571428571428571,1.0,"(112, 64, 1000)","(28, 64, 1000)",1,112 randomly chosen!,0.9107142857142856
2,Mis,Rest,39.45719766616821,0.5892857142857143,1.0,"(112, 64, 1000)","(28, 64, 1000)",1,112 randomly chosen!,0.5982142857142857
3,Hand,Rest,40.83182311058045,0.6607142857142857,1.0,"(112, 64, 1000)","(28, 64, 1000)",1,112 randomly chosen!,0.6428571428571428
3,Feet,Rest,39.33159923553467,0.7297297297297297,1.0,"(111, 64, 1000)","(28, 64, 1000)",1,111 randomly chosen!,0.6846846846846847
3,Tongue,Rest,38.39115333557129,0.6071428571428571,1.0,"(112, 64, 1000)","(28, 64, 1000)",1,112 randomly chosen!,0.5625
3,Mis,Rest,39.51163148880005,0.75,1.0,"(112, 64, 1000)","(28, 64, 1000)",1,112 randomly chosen!,0.7857142857142857
4,Hand,Rest,38.87489581108093,0.5178571428571429,1.0,"(112, 64, 1000)","(28, 64, 1000)",1,112 randomly chosen!,0.4910714285714286
4,Feet,Rest,39.88237285614014,0.6071428571428571,1.0,"(112, 64, 1000)","(28, 64, 1000)",1,112 randomly chosen!,0.6339285714285714
4,Tongue,Rest,39.68689775466919,0.5625,1.0,"(112, 64, 1000)","(28, 64, 1000)",1,112 randomly chosen!,0.5267857142857143
4,Mis,Rest,39.79966402053833,0.5982142857142857,1.0,"(112, 64, 1000)","(28, 64, 1000)",1,112 randomly chosen!,0.625
5,Hand,Rest,39.8330557346344,0.5982142857142857,1.0,"(112, 64, 1000)","(28, 64, 1000)",1,112 randomly chosen!,0.6071428571428572
5,Feet,Rest,39.082942485809326,0.5625,1.0,"(112, 64, 1000)","(28, 64, 1000)",1,112 randomly chosen!,0.5446428571428572
5,Tongue,Rest,40.18781113624573,0.6160714285714286,1.0,"(112, 64, 1000)","(28, 64, 1000)",1,112 randomly chosen!,0.6160714285714286
5,Mis,Rest,40.507948875427246,0.7767857142857143,1.0,"(112, 64, 1000)","(28, 64, 1000)",1,112 randomly chosen!,0.9017857142857144
6,Hand,Rest,39.25307941436768,0.6875,1.0,"(112, 64, 1000)","(28, 64, 1000)",1,112 randomly chosen!,0.7142857142857143
6,Feet,Rest,39.588844299316406,0.6964285714285714,1.0,"(112, 64, 1000)","(28, 64, 1000)",1,112 randomly chosen!,0.7410714285714286
6,Tongue,Rest,39.94353675842285,0.5357142857142857,1.0,"(112, 64, 1000)","(28, 64, 1000)",1,112 randomly chosen!,0.5625
