participant,class1,class2,running_time,test_acc,train_acc,test_size,train_size,train_block,test_block,test_acc_vote
2,Hand,Rest,20.83733034133911,0.9464285714285714,1.0,"(112, 64, 1000)","(28, 64, 1000)",1,112,0.9821428571428572
2,Feet,Rest,17.390973329544067,0.8928571428571429,1.0,"(112, 64, 1000)","(28, 64, 1000)",1,112,0.9732142857142856
2,Tongue,Rest,17.762946605682373,0.8303571428571429,1.0,"(112, 64, 1000)","(28, 64, 1000)",1,112,0.8660714285714286
2,Mis,Rest,18.121429920196533,0.6339285714285714,1.0,"(112, 64, 1000)","(28, 64, 1000)",1,112,0.6875
3,Hand,Rest,16.62423276901245,0.75,1.0,"(112, 64, 1000)","(28, 64, 1000)",1,112,0.7410714285714286
3,Feet,Rest,17.117708683013916,0.7117117117117117,1.0,"(111, 64, 1000)","(28, 64, 1000)",1,111,0.7387387387387387
3,Tongue,Rest,17.432806968688965,0.6071428571428571,1.0,"(112, 64, 1000)","(28, 64, 1000)",1,112,0.5803571428571428
3,Mis,Rest,16.924387216567993,0.75,1.0,"(112, 64, 1000)","(28, 64, 1000)",1,112,0.75
4,Hand,Rest,17.676215171813965,0.5446428571428571,1.0,"(112, 64, 1000)","(28, 64, 1000)",1,112,0.5357142857142857
4,Feet,Rest,16.934303760528564,0.6339285714285714,1.0,"(112, 64, 1000)","(28, 64, 1000)",1,112,0.6071428571428572
4,Tongue,Rest,16.781383991241455,0.5714285714285714,1.0,"(112, 64, 1000)","(28, 64, 1000)",1,112,0.5357142857142857
4,Mis,Rest,17.31025266647339,0.625,1.0,"(112, 64, 1000)","(28, 64, 1000)",1,112,0.6160714285714286
5,Hand,Rest,16.483819723129272,0.7053571428571429,1.0,"(112, 64, 1000)","(28, 64, 1000)",1,112,0.7142857142857143
5,Feet,Rest,17.314443826675415,0.6160714285714286,1.0,"(112, 64, 1000)","(28, 64, 1000)",1,112,0.5892857142857143
5,Tongue,Rest,17.38544273376465,0.6428571428571429,1.0,"(112, 64, 1000)","(28, 64, 1000)",1,112,0.6071428571428572
5,Mis,Rest,17.919930696487427,0.7053571428571429,1.0,"(112, 64, 1000)","(28, 64, 1000)",1,112,0.7232142857142857
