participant,class1,class2,running_time,test_acc,train_acc,test_size,train_size,train_block,test_block,test_acc_vote
2,Hand,Rest,21.125449895858765,1.0,0.9821428571428572,"(28, 64, 1000)","(112, 64, 1000)",1234,28 randomly chosen!,1.0
2,Feet,Rest,20.008703470230103,0.9285714285714286,1.0,"(28, 64, 1000)","(112, 64, 1000)",1234,28 randomly chosen!,1.0
2,Tongue,Rest,19.49725461006165,0.9642857142857144,1.0,"(28, 64, 1000)","(112, 64, 1000)",1234,28 randomly chosen!,1.0
2,Mis,Rest,20.015937328338623,0.8928571428571429,0.9642857142857144,"(28, 64, 1000)","(112, 64, 1000)",1234,28 randomly chosen!,0.9642857142857144
3,Hand,Rest,19.55781126022339,0.9285714285714286,0.9821428571428572,"(28, 64, 1000)","(112, 64, 1000)",1234,28 randomly chosen!,0.9285714285714286
3,Feet,Rest,19.511518001556396,0.8518518518518519,0.9910714285714286,"(27, 64, 1000)","(112, 64, 1000)",1234,27 randomly chosen!,0.8518518518518519
3,Tongue,Rest,19.360209941864017,0.8571428571428571,1.0,"(28, 64, 1000)","(112, 64, 1000)",1234,28 randomly chosen!,1.0
3,Mis,Rest,19.79440188407898,0.8571428571428571,0.9642857142857144,"(28, 64, 1000)","(112, 64, 1000)",1234,28 randomly chosen!,1.0
4,Hand,Rest,20.127768754959103,0.6428571428571429,1.0,"(28, 64, 1000)","(112, 64, 1000)",1234,28 randomly chosen!,0.75
4,Feet,Rest,19.796687126159668,0.6785714285714286,0.9821428571428572,"(28, 64, 1000)","(112, 64, 1000)",1234,28 randomly chosen!,0.8214285714285714
4,Tongue,Rest,19.344300746917725,0.7142857142857143,0.9642857142857144,"(28, 64, 1000)","(112, 64, 1000)",1234,28 randomly chosen!,0.7857142857142857
4,Mis,Rest,19.70196413993835,0.7142857142857143,1.0,"(28, 64, 1000)","(112, 64, 1000)",1234,28 randomly chosen!,0.7857142857142857
5,Hand,Rest,19.71840739250183,0.75,1.0,"(28, 64, 1000)","(112, 64, 1000)",1234,28 randomly chosen!,0.7857142857142857
5,Feet,Rest,19.86017274856567,1.0,0.9910714285714286,"(28, 64, 1000)","(112, 64, 1000)",1234,28 randomly chosen!,1.0
5,Tongue,Rest,19.310352325439453,0.7857142857142857,1.0,"(28, 64, 1000)","(112, 64, 1000)",1234,28 randomly chosen!,0.8214285714285714
