participant,class1,class2,running_time,test_acc,train_acc,test_size,train_size,train_block,test_block,test_acc_vote
2,Hand,Rest,17.445343732833862,1.0,1.0,"(28, 64, 1123)","(84, 64, 1123)",123,28 randomly chosen!,1.0
2,Feet,Rest,16.883446216583252,0.7857142857142857,1.0,"(28, 64, 1123)","(84, 64, 1123)",123,28 randomly chosen!,0.8571428571428572
2,Tongue,Rest,17.422370672225952,0.8928571428571429,1.0,"(28, 64, 1123)","(84, 64, 1123)",123,28 randomly chosen!,0.9285714285714286
2,Mis,Rest,17.329682111740112,0.8571428571428571,1.0,"(28, 64, 1123)","(84, 64, 1123)",123,28 randomly chosen!,0.8928571428571429
3,Hand,Rest,17.586060047149658,1.0,0.988095238095238,"(28, 64, 1123)","(84, 64, 1123)",123,28 randomly chosen!,1.0
3,Feet,Rest,17.682207822799683,0.7857142857142857,1.0,"(28, 64, 1123)","(84, 64, 1123)",123,28 randomly chosen!,0.8928571428571429
3,Tongue,Rest,17.593164682388306,0.6785714285714286,0.9761904761904762,"(28, 64, 1123)","(84, 64, 1123)",123,28 randomly chosen!,0.5714285714285714
3,Mis,Rest,17.155052423477173,0.7142857142857143,0.9642857142857144,"(28, 64, 1123)","(84, 64, 1123)",123,28 randomly chosen!,0.7142857142857143
4,Hand,Rest,18.000316619873047,0.7142857142857143,1.0,"(28, 64, 1123)","(84, 64, 1123)",123,28 randomly chosen!,0.8571428571428572
4,Feet,Rest,17.59723663330078,0.6785714285714286,1.0,"(28, 64, 1123)","(84, 64, 1123)",123,28 randomly chosen!,0.7142857142857143
4,Tongue,Rest,18.185497999191284,0.6785714285714286,1.0,"(28, 64, 1123)","(84, 64, 1123)",123,28 randomly chosen!,0.6428571428571428
4,Mis,Rest,17.243924856185913,0.7857142857142857,1.0,"(28, 64, 1123)","(84, 64, 1123)",123,28 randomly chosen!,0.8571428571428572
5,Hand,Rest,17.908144235610962,0.6785714285714286,1.0,"(28, 64, 1123)","(84, 64, 1123)",123,28 randomly chosen!,0.6785714285714286
5,Feet,Rest,17.744258880615234,0.8928571428571429,0.988095238095238,"(28, 64, 1123)","(84, 64, 1123)",123,28 randomly chosen!,0.9285714285714286
5,Tongue,Rest,17.406646013259888,0.7857142857142857,1.0,"(28, 64, 1123)","(84, 64, 1123)",123,28 randomly chosen!,0.8928571428571429
5,Mis,Rest,17.606477737426758,0.8571428571428571,1.0,"(28, 64, 1123)","(84, 64, 1123)",123,28 randomly chosen!,0.8571428571428572
6,Hand,Rest,17.39569902420044,0.8571428571428571,0.988095238095238,"(28, 64, 1123)","(84, 64, 1123)",123,28 randomly chosen!,0.8928571428571429
6,Feet,Rest,17.494096517562866,0.9285714285714286,1.0,"(28, 64, 1123)","(84, 64, 1123)",123,28 randomly chosen!,1.0
6,Tongue,Rest,17.23561716079712,0.7857142857142857,0.9404761904761904,"(28, 64, 1123)","(84, 64, 1123)",123,28 randomly chosen!,0.8214285714285714
6,Mis,Rest,17.53808879852295,0.8928571428571429,0.9761904761904762,"(28, 64, 1123)","(84, 64, 1123)",123,28 randomly chosen!,0.8928571428571429
7,Hand,Rest,17.59460163116455,0.8571428571428571,1.0,"(28, 64, 1123)","(84, 64, 1123)",123,28 randomly chosen!,0.8571428571428572
7,Feet,Rest,19.16005778312683,1.0,1.0,"(28, 64, 1123)","(84, 64, 1123)",123,28 randomly chosen!,1.0
7,Tongue,Rest,17.274953365325928,0.9285714285714286,1.0,"(28, 64, 1123)","(84, 64, 1123)",123,28 randomly chosen!,1.0
7,Mis,Rest,17.32114028930664,1.0,1.0,"(28, 64, 1123)","(84, 64, 1123)",123,28 randomly chosen!,1.0
8,Hand,Rest,18.434064388275143,0.8214285714285714,0.9642857142857144,"(28, 64, 1123)","(84, 64, 1123)",123,28 randomly chosen!,0.8214285714285714
8,Feet,Rest,18.28059434890747,0.6785714285714286,0.9523809523809524,"(28, 64, 1123)","(84, 64, 1123)",123,28 randomly chosen!,0.7142857142857143
8,Tongue,Rest,18.66981339454651,0.5,0.9523809523809524,"(28, 64, 1123)","(84, 64, 1123)",123,28 randomly chosen!,0.4642857142857143
