participant,class1,class2,running_time,test_acc,train_acc,test_size,train_size,train_block,test_block,test_acc_vote
3,Hand,Rest,70.33199620246887,0.5214285714285715,1.0,"(280, 64, 500)","(112, 64, 500)",12,34567,0.4964285714285714
3,Feet,Rest,67.15414524078369,0.5178571428571429,1.0,"(280, 64, 500)","(112, 64, 500)",12,34567,0.5035714285714286
3,Tongue,Rest,72.99460291862488,0.5178571428571429,1.0,"(280, 64, 500)","(112, 64, 500)",12,34567,0.525
3,Mis,Rest,80.60562443733215,0.6678571428571428,1.0,"(280, 64, 500)","(112, 64, 500)",12,34567,0.675
4,Hand,Rest,74.55937337875366,0.675,1.0,"(280, 64, 500)","(112, 64, 500)",12,34567,0.6714285714285715
4,Feet,Rest,74.2045259475708,0.6678571428571428,1.0,"(280, 64, 500)","(112, 64, 500)",12,34567,0.6214285714285714
4,Tongue,Rest,74.85671329498291,0.6035714285714285,1.0,"(280, 64, 500)","(112, 64, 500)",12,34567,0.6035714285714286
4,Mis,Rest,70.59425592422485,0.5107142857142857,1.0,"(280, 64, 500)","(112, 64, 500)",12,34567,0.5107142857142857
5,Hand,Rest,72.75662803649902,0.5071428571428571,1.0,"(280, 64, 500)","(112, 64, 500)",12,34567,0.4964285714285714
5,Feet,Rest,70.43280339241028,0.5785714285714286,1.0,"(280, 64, 500)","(112, 64, 500)",12,34567,0.6
5,Tongue,Rest,74.70863556861877,0.5178571428571429,1.0,"(280, 64, 500)","(112, 64, 500)",12,34567,0.5142857142857142
5,Mis,Rest,75.38721489906311,0.5142857142857142,1.0,"(280, 64, 500)","(112, 64, 500)",12,34567,0.5107142857142857
6,Hand,Rest,69.94467401504517,0.625,1.0,"(280, 64, 500)","(112, 64, 500)",12,34567,0.5964285714285714
6,Feet,Rest,72.98847913742065,0.5321428571428571,1.0,"(280, 64, 500)","(112, 64, 500)",12,34567,0.5142857142857142
6,Tongue,Rest,75.20932841300964,0.5035714285714286,1.0,"(280, 64, 500)","(112, 64, 500)",12,34567,0.5107142857142857
6,Mis,Rest,74.12014698982239,0.5178571428571429,1.0,"(280, 64, 500)","(112, 64, 500)",12,34567,0.5357142857142857
7,Hand,Rest,72.66519808769226,0.5678571428571428,1.0,"(280, 64, 500)","(112, 64, 500)",12,34567,0.55
7,Feet,Rest,91.8390610218048,0.5464285714285714,1.0,"(280, 64, 500)","(112, 64, 500)",12,34567,0.5464285714285715
7,Tongue,Rest,95.47107195854188,0.525,1.0,"(280, 64, 500)","(112, 64, 500)",12,34567,0.5285714285714286
7,Mis,Rest,94.12246775627136,0.5071428571428571,1.0,"(280, 64, 500)","(112, 64, 500)",12,34567,0.5071428571428571
9,Hand,Rest,92.8221881389618,0.5214285714285715,1.0,"(280, 64, 500)","(112, 64, 500)",12,34567,0.5107142857142857
9,Feet,Rest,92.24411034584044,0.5142857142857142,1.0,"(280, 64, 500)","(112, 64, 500)",12,34567,0.4928571428571429
9,Tongue,Rest,94.03922724723816,0.4964285714285714,1.0,"(280, 64, 500)","(112, 64, 500)",12,34567,0.4928571428571429
9,Mis,Rest,94.04436445236206,0.5214285714285715,1.0,"(280, 64, 500)","(112, 64, 500)",12,34567,0.5107142857142857
10,Hand,Rest,93.25559520721436,0.5214285714285715,1.0,"(280, 64, 500)","(112, 64, 500)",12,34567,0.5392857142857144
10,Feet,Rest,92.09834957122804,0.5035714285714286,1.0,"(280, 64, 500)","(112, 64, 500)",12,34567,0.5142857142857142
10,Tongue,Rest,87.81488084793091,0.5035714285714286,1.0,"(280, 64, 500)","(112, 64, 500)",12,34567,0.5071428571428571
10,Mis,Rest,71.71633529663086,0.5285714285714286,1.0,"(280, 64, 500)","(112, 64, 500)",12,34567,0.5214285714285714
11,Hand,Rest,72.59468960762024,0.5785714285714286,1.0,"(280, 64, 500)","(112, 64, 500)",12,34567,0.5428571428571429
11,Feet,Rest,80.7687520980835,0.5285714285714286,1.0,"(280, 64, 500)","(112, 64, 500)",12,34567,0.525
11,Tongue,Rest,77.0561797618866,0.5392857142857143,1.0,"(280, 64, 500)","(112, 64, 500)",12,34567,0.5321428571428571
11,Mis,Rest,70.63827252388,0.5,1.0,"(280, 64, 500)","(112, 64, 500)",12,34567,0.4928571428571429
13,Hand,Rest,69.91581106185913,0.5678571428571428,1.0,"(280, 64, 500)","(112, 64, 500)",12,34567,0.5607142857142857
13,Feet,Rest,69.93698930740356,0.6071428571428571,1.0,"(280, 64, 500)","(112, 64, 500)",12,34567,0.5642857142857143
13,Tongue,Rest,80.90941643714905,0.525,1.0,"(280, 64, 500)","(112, 64, 500)",12,34567,0.5214285714285714
13,Mis,Rest,86.92937326431274,0.5142857142857142,1.0,"(280, 64, 500)","(112, 64, 500)",12,34567,0.4964285714285714
14,Hand,Rest,75.28642344474792,0.6071428571428571,1.0,"(280, 64, 500)","(112, 64, 500)",12,34567,0.5964285714285714
14,Feet,Rest,76.10337257385254,0.5464285714285714,1.0,"(280, 64, 500)","(112, 64, 500)",12,34567,0.5392857142857144
14,Tongue,Rest,72.67793703079224,0.5714285714285714,1.0,"(280, 64, 500)","(112, 64, 500)",12,34567,0.5392857142857144
14,Mis,Rest,80.41438865661621,0.4642857142857143,1.0,"(280, 64, 500)","(112, 64, 500)",12,34567,0.4642857142857143
