participant,class1,class2,running_time,test_acc,train_acc,test_size,train_size,train_block,test_block,test_acc_vote
3,Hand,Rest,75.53961253166199,0.8482142857142857,1.0,"(112, 64, 500)","(280, 64, 500)",12345,67,0.8660714285714286
3,Feet,Rest,73.87304210662842,0.625,1.0,"(112, 64, 500)","(280, 64, 500)",12345,67,0.5803571428571428
3,Tongue,Rest,80.04573392868042,0.7053571428571429,1.0,"(112, 64, 500)","(280, 64, 500)",12345,67,0.6964285714285714
3,Mis,Rest,76.39724159240723,0.8035714285714286,1.0,"(112, 64, 500)","(280, 64, 500)",12345,67,0.8125
4,Hand,Rest,72.82313966751099,0.8928571428571429,1.0,"(112, 64, 500)","(280, 64, 500)",12345,67,0.9017857142857144
4,Feet,Rest,76.34035134315491,0.7321428571428571,1.0,"(112, 64, 500)","(280, 64, 500)",12345,67,0.7232142857142857
4,Tongue,Rest,73.6786253452301,0.7767857142857143,1.0,"(112, 64, 500)","(280, 64, 500)",12345,67,0.7946428571428572
4,Mis,Rest,80.69299244880676,0.6428571428571429,1.0,"(112, 64, 500)","(280, 64, 500)",12345,67,0.6339285714285714
5,Hand,Rest,77.40230226516724,0.7678571428571429,1.0,"(112, 64, 500)","(280, 64, 500)",12345,67,0.7946428571428572
5,Feet,Rest,76.70571160316467,0.8125,1.0,"(112, 64, 500)","(280, 64, 500)",12345,67,0.7946428571428572
5,Tongue,Rest,73.08464741706848,0.7767857142857143,1.0,"(112, 64, 500)","(280, 64, 500)",12345,67,0.8660714285714286
5,Mis,Rest,75.54917407035828,0.7857142857142857,1.0,"(112, 64, 500)","(280, 64, 500)",12345,67,0.8125
6,Hand,Rest,71.98547554016113,0.7410714285714286,1.0,"(112, 64, 500)","(280, 64, 500)",12345,67,0.8303571428571428
6,Feet,Rest,77.62946915626526,0.7053571428571429,1.0,"(112, 64, 500)","(280, 64, 500)",12345,67,0.6964285714285714
6,Tongue,Rest,77.64096164703369,0.7410714285714286,1.0,"(112, 64, 500)","(280, 64, 500)",12345,67,0.7321428571428572
6,Mis,Rest,73.78978657722473,0.6964285714285714,1.0,"(112, 64, 500)","(280, 64, 500)",12345,67,0.6875
7,Hand,Rest,72.853755235672,0.7410714285714286,1.0,"(112, 64, 500)","(280, 64, 500)",12345,67,0.7589285714285714
7,Feet,Rest,76.17435669898987,0.8392857142857143,1.0,"(112, 64, 500)","(280, 64, 500)",12345,67,0.875
7,Tongue,Rest,77.78703927993774,0.6428571428571429,1.0,"(112, 64, 500)","(280, 64, 500)",12345,67,0.6339285714285714
7,Mis,Rest,76.18843674659729,0.7767857142857143,1.0,"(112, 64, 500)","(280, 64, 500)",12345,67,0.7857142857142857
9,Hand,Rest,78.51544404029846,0.8482142857142857,1.0,"(112, 64, 500)","(280, 64, 500)",12345,67,0.8660714285714286
9,Feet,Rest,82.65669226646423,0.8303571428571429,1.0,"(112, 64, 500)","(280, 64, 500)",12345,67,0.8392857142857143
9,Tongue,Rest,78.92986869812012,0.7857142857142857,1.0,"(112, 64, 500)","(280, 64, 500)",12345,67,0.7946428571428572
9,Mis,Rest,74.72580552101135,0.7321428571428571,1.0,"(112, 64, 500)","(280, 64, 500)",12345,67,0.7767857142857143
10,Hand,Rest,74.23979806900024,0.7053571428571429,1.0,"(112, 64, 500)","(280, 64, 500)",12345,67,0.6785714285714286
10,Feet,Rest,77.57993459701538,0.6785714285714286,1.0,"(112, 64, 500)","(280, 64, 500)",12345,67,0.6517857142857143
10,Tongue,Rest,79.74255537986755,0.6339285714285714,1.0,"(112, 64, 500)","(280, 64, 500)",12345,67,0.5982142857142857
10,Mis,Rest,74.36394929885864,0.7321428571428571,1.0,"(112, 64, 500)","(280, 64, 500)",12345,67,0.7232142857142857
11,Hand,Rest,74.15086889266968,0.8839285714285714,1.0,"(112, 64, 500)","(280, 64, 500)",12345,67,0.875
11,Feet,Rest,80.07762145996094,0.8928571428571429,1.0,"(112, 64, 500)","(280, 64, 500)",12345,67,0.9017857142857144
11,Tongue,Rest,81.62779784202576,0.6696428571428571,1.0,"(112, 64, 500)","(280, 64, 500)",12345,67,0.6428571428571428
11,Mis,Rest,81.4646430015564,0.7053571428571429,1.0,"(112, 64, 500)","(280, 64, 500)",12345,67,0.7321428571428572
13,Hand,Rest,76.92629027366638,0.7232142857142857,1.0,"(112, 64, 500)","(280, 64, 500)",12345,67,0.6607142857142857
13,Feet,Rest,79.60664582252502,0.7589285714285714,1.0,"(112, 64, 500)","(280, 64, 500)",12345,67,0.7589285714285714
13,Tongue,Rest,86.85902547836304,0.75,1.0,"(112, 64, 500)","(280, 64, 500)",12345,67,0.7142857142857143
13,Mis,Rest,80.1750898361206,0.6875,1.0,"(112, 64, 500)","(280, 64, 500)",12345,67,0.7142857142857143
14,Hand,Rest,80.58817052841187,0.8660714285714286,1.0,"(112, 64, 500)","(280, 64, 500)",12345,67,0.8303571428571428
14,Feet,Rest,73.2557487487793,0.7142857142857143,1.0,"(112, 64, 500)","(280, 64, 500)",12345,67,0.7589285714285714
14,Tongue,Rest,86.31273126602173,0.6696428571428571,1.0,"(112, 64, 500)","(280, 64, 500)",12345,67,0.6339285714285714
14,Mis,Rest,82.55958771705627,0.6964285714285714,1.0,"(112, 64, 500)","(280, 64, 500)",12345,67,0.7053571428571428
