participant,class1,class2,running_time,test_acc,train_acc,test_size,train_size,train_block,test_block,test_acc_vote
3,Hand,Rest,52.33643651008606,0.7142857142857143,1.0,"(112, 64, 1000)","(84, 64, 1000)",123,4567,0.6428571428571428
3,Feet,Rest,52.29384636878967,0.5535714285714286,1.0,"(112, 64, 1000)","(84, 64, 1000)",123,4567,0.5178571428571428
3,Tongue,Rest,54.4321711063385,0.6428571428571429,1.0,"(112, 64, 1000)","(84, 64, 1000)",123,4567,0.5178571428571428
3,Mis,Rest,54.222203493118286,0.6071428571428571,1.0,"(112, 64, 1000)","(84, 64, 1000)",123,4567,0.5892857142857143
4,Hand,Rest,53.76567554473877,0.8214285714285714,1.0,"(112, 64, 1000)","(84, 64, 1000)",123,4567,0.7678571428571428
4,Feet,Rest,56.4145770072937,0.7857142857142857,1.0,"(112, 64, 1000)","(84, 64, 1000)",123,4567,0.7410714285714286
4,Tongue,Rest,55.20199632644653,0.75,1.0,"(112, 64, 1000)","(84, 64, 1000)",123,4567,0.6607142857142857
4,Mis,Rest,54.65279412269592,0.7053571428571429,1.0,"(112, 64, 1000)","(84, 64, 1000)",123,4567,0.6696428571428572
5,Hand,Rest,54.300957679748535,0.5089285714285714,1.0,"(112, 64, 1000)","(84, 64, 1000)",123,4567,0.5178571428571428
5,Feet,Rest,53.857258796691895,0.4821428571428571,1.0,"(112, 64, 1000)","(84, 64, 1000)",123,4567,0.4910714285714286
5,Tongue,Rest,53.78417229652405,0.6964285714285714,1.0,"(112, 64, 1000)","(84, 64, 1000)",123,4567,0.625
5,Mis,Rest,55.193299293518066,0.5535714285714286,1.0,"(112, 64, 1000)","(84, 64, 1000)",123,4567,0.5
6,Hand,Rest,53.01079797744751,0.625,1.0,"(112, 64, 1000)","(84, 64, 1000)",123,4567,0.6607142857142857
6,Feet,Rest,52.305419921875,0.6428571428571429,1.0,"(112, 64, 1000)","(84, 64, 1000)",123,4567,0.5982142857142857
6,Tongue,Rest,55.423898458480835,0.6696428571428571,1.0,"(112, 64, 1000)","(84, 64, 1000)",123,4567,0.6517857142857143
6,Mis,Rest,56.01417374610901,0.5982142857142857,1.0,"(112, 64, 1000)","(84, 64, 1000)",123,4567,0.5446428571428572
7,Hand,Rest,54.07845759391785,0.6875,1.0,"(112, 64, 1000)","(84, 64, 1000)",123,4567,0.6160714285714286
7,Feet,Rest,54.56150507926941,0.7232142857142857,1.0,"(112, 64, 1000)","(84, 64, 1000)",123,4567,0.75
7,Tongue,Rest,55.539225816726685,0.5803571428571429,1.0,"(112, 64, 1000)","(84, 64, 1000)",123,4567,0.5625
7,Mis,Rest,55.70400595664978,0.5357142857142857,1.0,"(112, 64, 1000)","(84, 64, 1000)",123,4567,0.5267857142857143
9,Hand,Rest,52.89998745918274,0.9017857142857144,1.0,"(112, 64, 1000)","(84, 64, 1000)",123,4567,0.8482142857142857
9,Feet,Rest,55.03660464286804,0.8303571428571429,1.0,"(112, 64, 1000)","(84, 64, 1000)",123,4567,0.8035714285714286
9,Tongue,Rest,54.955063819885254,0.5892857142857143,1.0,"(112, 64, 1000)","(84, 64, 1000)",123,4567,0.5714285714285714
9,Mis,Rest,53.64181065559387,0.6428571428571429,1.0,"(112, 64, 1000)","(84, 64, 1000)",123,4567,0.5892857142857143
10,Hand,Rest,53.52197980880737,0.6517857142857143,1.0,"(112, 64, 1000)","(84, 64, 1000)",123,4567,0.5535714285714286
10,Feet,Rest,58.02645969390869,0.5357142857142857,1.0,"(112, 64, 1000)","(84, 64, 1000)",123,4567,0.5267857142857143
10,Tongue,Rest,55.94687008857727,0.4910714285714285,1.0,"(112, 64, 1000)","(84, 64, 1000)",123,4567,0.5178571428571428
10,Mis,Rest,55.97467803955078,0.5714285714285714,1.0,"(112, 64, 1000)","(84, 64, 1000)",123,4567,0.5357142857142857
11,Hand,Rest,55.378130197525024,0.7321428571428571,1.0,"(112, 64, 1000)","(84, 64, 1000)",123,4567,0.6428571428571428
11,Feet,Rest,56.60167098045349,0.8482142857142857,1.0,"(112, 64, 1000)","(84, 64, 1000)",123,4567,0.7946428571428572
11,Tongue,Rest,56.3233540058136,0.6875,1.0,"(112, 64, 1000)","(84, 64, 1000)",123,4567,0.6607142857142857
11,Mis,Rest,55.38870906829834,0.6696428571428571,1.0,"(112, 64, 1000)","(84, 64, 1000)",123,4567,0.5892857142857143
13,Hand,Rest,55.526561975479126,0.6160714285714286,1.0,"(112, 64, 1000)","(84, 64, 1000)",123,4567,0.5714285714285714
13,Feet,Rest,52.822208642959595,0.6071428571428571,1.0,"(112, 64, 1000)","(84, 64, 1000)",123,4567,0.5625
13,Tongue,Rest,55.450512647628784,0.6696428571428571,1.0,"(112, 64, 1000)","(84, 64, 1000)",123,4567,0.6160714285714286
13,Mis,Rest,55.7608847618103,0.6428571428571429,1.0,"(112, 64, 1000)","(84, 64, 1000)",123,4567,0.5714285714285714
14,Hand,Rest,54.26966500282288,0.8928571428571429,1.0,"(112, 64, 1000)","(84, 64, 1000)",123,4567,0.8303571428571428
14,Feet,Rest,59.502641916275024,0.5803571428571429,1.0,"(112, 64, 1000)","(84, 64, 1000)",123,4567,0.5357142857142857
14,Tongue,Rest,60.776710748672485,0.5446428571428571,1.0,"(112, 64, 1000)","(84, 64, 1000)",123,4567,0.5446428571428572
14,Mis,Rest,60.41213059425354,0.5178571428571429,1.0,"(112, 64, 1000)","(84, 64, 1000)",123,4567,0.5714285714285714
