participant,class1,class2,running_time,test_acc,train_acc,test_size,train_size,train_block,test_block,test_acc_vote
3,Hand,Rest,55.30597257614136,0.8690476190476191,1.0,"(84, 64, 1000)","(112, 64, 1000)",1234,567,0.8214285714285714
3,Feet,Rest,53.658289194107056,0.5476190476190477,1.0,"(84, 64, 1000)","(112, 64, 1000)",1234,567,0.4761904761904761
3,Tongue,Rest,56.03039288520813,0.7619047619047619,1.0,"(84, 64, 1000)","(112, 64, 1000)",1234,567,0.7023809523809523
3,Mis,Rest,54.941349506378174,0.8214285714285714,1.0,"(84, 64, 1000)","(112, 64, 1000)",1234,567,0.7380952380952381
4,Hand,Rest,54.257530212402344,0.8928571428571429,1.0,"(84, 64, 1000)","(112, 64, 1000)",1234,567,0.8690476190476191
4,Feet,Rest,53.51706290245056,0.8214285714285714,1.0,"(84, 64, 1000)","(112, 64, 1000)",1234,567,0.7619047619047619
4,Tongue,Rest,55.95388126373291,0.7142857142857143,1.0,"(84, 64, 1000)","(112, 64, 1000)",1234,567,0.6309523809523809
4,Mis,Rest,55.26018595695496,0.7261904761904762,1.0,"(84, 64, 1000)","(112, 64, 1000)",1234,567,0.6904761904761905
5,Hand,Rest,55.02389645576477,0.8809523809523809,1.0,"(84, 64, 1000)","(112, 64, 1000)",1234,567,0.8690476190476191
5,Feet,Rest,55.23148536682129,0.75,1.0,"(84, 64, 1000)","(112, 64, 1000)",1234,567,0.7142857142857143
5,Tongue,Rest,55.49051260948181,0.7738095238095238,1.0,"(84, 64, 1000)","(112, 64, 1000)",1234,567,0.7380952380952381
5,Mis,Rest,54.51848268508911,0.7261904761904762,1.0,"(84, 64, 1000)","(112, 64, 1000)",1234,567,0.7023809523809523
6,Hand,Rest,53.75382733345032,0.6547619047619048,1.0,"(84, 64, 1000)","(112, 64, 1000)",1234,567,0.6309523809523809
6,Feet,Rest,54.73558616638184,0.7738095238095238,1.0,"(84, 64, 1000)","(112, 64, 1000)",1234,567,0.6904761904761905
6,Tongue,Rest,55.591961145401,0.7738095238095238,1.0,"(84, 64, 1000)","(112, 64, 1000)",1234,567,0.7023809523809523
6,Mis,Rest,55.00941252708435,0.7142857142857143,1.0,"(84, 64, 1000)","(112, 64, 1000)",1234,567,0.5714285714285714
7,Hand,Rest,53.48516821861267,0.7857142857142857,1.0,"(84, 64, 1000)","(112, 64, 1000)",1234,567,0.7380952380952381
7,Feet,Rest,54.48288059234619,0.8571428571428571,1.0,"(84, 64, 1000)","(112, 64, 1000)",1234,567,0.8333333333333334
7,Tongue,Rest,55.1589515209198,0.7619047619047619,1.0,"(84, 64, 1000)","(112, 64, 1000)",1234,567,0.7023809523809523
7,Mis,Rest,54.4757776260376,0.7738095238095238,1.0,"(84, 64, 1000)","(112, 64, 1000)",1234,567,0.7857142857142857
9,Hand,Rest,54.77176451683045,0.8333333333333334,1.0,"(84, 64, 1000)","(112, 64, 1000)",1234,567,0.7857142857142857
9,Feet,Rest,54.36107516288757,0.9285714285714286,1.0,"(84, 64, 1000)","(112, 64, 1000)",1234,567,0.9285714285714286
9,Tongue,Rest,54.52024817466736,0.7976190476190477,1.0,"(84, 64, 1000)","(112, 64, 1000)",1234,567,0.7261904761904762
9,Mis,Rest,55.62093234062195,0.7380952380952381,1.0,"(84, 64, 1000)","(112, 64, 1000)",1234,567,0.6785714285714286
10,Hand,Rest,57.95022916793823,0.6904761904761905,1.0,"(84, 64, 1000)","(112, 64, 1000)",1234,567,0.5714285714285714
10,Feet,Rest,56.00335645675659,0.6547619047619048,1.0,"(84, 64, 1000)","(112, 64, 1000)",1234,567,0.5952380952380952
10,Tongue,Rest,56.33158087730408,0.5714285714285714,1.0,"(84, 64, 1000)","(112, 64, 1000)",1234,567,0.5357142857142857
10,Mis,Rest,55.71368765830994,0.7261904761904762,1.0,"(84, 64, 1000)","(112, 64, 1000)",1234,567,0.6904761904761905
11,Hand,Rest,55.32104825973511,0.9523809523809524,1.0,"(84, 64, 1000)","(112, 64, 1000)",1234,567,0.9285714285714286
11,Feet,Rest,54.78719472885132,0.9285714285714286,1.0,"(84, 64, 1000)","(112, 64, 1000)",1234,567,0.8928571428571429
11,Tongue,Rest,55.38346982002258,0.6547619047619048,1.0,"(84, 64, 1000)","(112, 64, 1000)",1234,567,0.6309523809523809
11,Mis,Rest,56.791359424591064,0.6309523809523809,1.0,"(84, 64, 1000)","(112, 64, 1000)",1234,567,0.5357142857142857
13,Hand,Rest,54.816704750061035,0.5952380952380952,1.0,"(84, 64, 1000)","(112, 64, 1000)",1234,567,0.5357142857142857
13,Feet,Rest,55.56018114089966,0.8690476190476191,1.0,"(84, 64, 1000)","(112, 64, 1000)",1234,567,0.8571428571428572
13,Tongue,Rest,57.069045066833496,0.8571428571428571,1.0,"(84, 64, 1000)","(112, 64, 1000)",1234,567,0.7738095238095238
13,Mis,Rest,56.77412676811218,0.7857142857142857,1.0,"(84, 64, 1000)","(112, 64, 1000)",1234,567,0.7142857142857143
14,Hand,Rest,54.49804353713989,0.9285714285714286,1.0,"(84, 64, 1000)","(112, 64, 1000)",1234,567,0.8809523809523809
14,Feet,Rest,54.30175876617432,0.8214285714285714,1.0,"(84, 64, 1000)","(112, 64, 1000)",1234,567,0.7857142857142857
14,Tongue,Rest,57.435110092163086,0.5595238095238095,1.0,"(84, 64, 1000)","(112, 64, 1000)",1234,567,0.4880952380952381
14,Mis,Rest,56.34890937805176,0.7261904761904762,1.0,"(84, 64, 1000)","(112, 64, 1000)",1234,567,0.6785714285714286
