participant,class1,class2,running_time,test_acc,train_acc,test_size,train_size,train_block,test_block,test_acc_vote
3,Hand,Rest,42.35325598716736,0.9642857142857144,1.0,"(56, 64, 1000)","(140, 64, 1000)",12345,67,0.9642857142857144
3,Feet,Rest,39.9249382019043,0.625,1.0,"(56, 64, 1000)","(140, 64, 1000)",12345,67,0.5714285714285714
3,Tongue,Rest,41.514087438583374,0.7321428571428571,1.0,"(56, 64, 1000)","(140, 64, 1000)",12345,67,0.6428571428571428
3,Mis,Rest,40.93267369270325,0.9107142857142856,1.0,"(56, 64, 1000)","(140, 64, 1000)",12345,67,0.9107142857142856
3,Hand,Rest,42.97232818603515,0.9464285714285714,0.9571428571428572,"(56, 64, 1000)","(140, 64, 1000)",12345,67,0.9464285714285714
3,Feet,Rest,39.94806504249573,0.6785714285714286,0.9142857142857144,"(56, 64, 1000)","(140, 64, 1000)",12345,67,0.6607142857142857
3,Tongue,Rest,40.5901255607605,0.7321428571428571,0.9357142857142856,"(56, 64, 1000)","(140, 64, 1000)",12345,67,0.6785714285714286
3,Mis,Rest,40.559343576431274,0.8928571428571429,0.9642857142857144,"(56, 64, 1000)","(140, 64, 1000)",12345,67,0.8928571428571429
4,Hand,Rest,40.236724615097046,0.9107142857142856,1.0,"(56, 64, 1000)","(140, 64, 1000)",12345,67,0.8928571428571429
4,Feet,Rest,39.71238470077515,0.9285714285714286,1.0,"(56, 64, 1000)","(140, 64, 1000)",12345,67,0.9285714285714286
4,Tongue,Rest,41.17494869232178,0.7321428571428571,1.0,"(56, 64, 1000)","(140, 64, 1000)",12345,67,0.6428571428571428
4,Mis,Rest,41.08560061454773,0.625,1.0,"(56, 64, 1000)","(140, 64, 1000)",12345,67,0.5714285714285714
4,Hand,Rest,39.81840920448303,0.8928571428571429,0.9785714285714284,"(56, 64, 1000)","(140, 64, 1000)",12345,67,0.8571428571428572
4,Feet,Rest,39.370962142944336,0.9107142857142856,0.9357142857142856,"(56, 64, 1000)","(140, 64, 1000)",12345,67,0.875
4,Tongue,Rest,41.06618642807007,0.8214285714285714,0.9714285714285714,"(56, 64, 1000)","(140, 64, 1000)",12345,67,0.7857142857142857
4,Mis,Rest,41.083502769470215,0.6607142857142857,0.9928571428571428,"(56, 64, 1000)","(140, 64, 1000)",12345,67,0.6071428571428572
5,Hand,Rest,39.777721881866455,0.7857142857142857,1.0,"(56, 64, 1000)","(140, 64, 1000)",12345,67,0.8035714285714286
5,Feet,Rest,39.80888867378235,0.6964285714285714,1.0,"(56, 64, 1000)","(140, 64, 1000)",12345,67,0.625
5,Tongue,Rest,41.08958172798157,0.7678571428571429,1.0,"(56, 64, 1000)","(140, 64, 1000)",12345,67,0.7857142857142857
5,Mis,Rest,41.05729866027832,0.8571428571428571,1.0,"(56, 64, 1000)","(140, 64, 1000)",12345,67,0.8035714285714286
5,Hand,Rest,40.31270813941955,0.8035714285714286,0.9642857142857144,"(56, 64, 1000)","(140, 64, 1000)",12345,67,0.8392857142857143
5,Feet,Rest,39.95347738265991,0.6964285714285714,0.9928571428571428,"(56, 64, 1000)","(140, 64, 1000)",12345,67,0.6785714285714286
5,Tongue,Rest,41.316569566726685,0.8571428571428571,0.95,"(56, 64, 1000)","(140, 64, 1000)",12345,67,0.875
5,Mis,Rest,40.782686710357666,0.7857142857142857,0.9857142857142858,"(56, 64, 1000)","(140, 64, 1000)",12345,67,0.75
6,Hand,Rest,39.919392347335815,0.7321428571428571,1.0,"(56, 64, 1000)","(140, 64, 1000)",12345,67,0.6785714285714286
6,Feet,Rest,40.24632954597473,0.8035714285714286,1.0,"(56, 64, 1000)","(140, 64, 1000)",12345,67,0.8035714285714286
6,Tongue,Rest,41.08046627044678,0.8392857142857143,1.0,"(56, 64, 1000)","(140, 64, 1000)",12345,67,0.875
6,Mis,Rest,41.0085232257843,0.7678571428571429,1.0,"(56, 64, 1000)","(140, 64, 1000)",12345,67,0.7321428571428572
6,Hand,Rest,39.92309546470642,0.8214285714285714,0.9714285714285714,"(56, 64, 1000)","(140, 64, 1000)",12345,67,0.7678571428571428
6,Feet,Rest,39.28845691680908,0.7857142857142857,0.9928571428571428,"(56, 64, 1000)","(140, 64, 1000)",12345,67,0.8035714285714286
