participant,class1,class2,running_time,test_acc,train_acc,test_size,train_size,train_block,test_block,test_acc_vote
3,Hand,Rest,52.92568778991699,0.7857142857142857,1.0,"(168, 64, 1000)","(28, 64, 1000)",1,234567,0.7797619047619048
3,Feet,Rest,51.454792976379395,0.6369047619047619,1.0,"(168, 64, 1000)","(28, 64, 1000)",1,234567,0.5952380952380952
3,Tongue,Rest,54.651556968688965,0.6190476190476191,1.0,"(168, 64, 1000)","(28, 64, 1000)",1,234567,0.6071428571428572
3,Mis,Rest,54.462544202804565,0.6011904761904762,1.0,"(168, 64, 1000)","(28, 64, 1000)",1,234567,0.5952380952380952
4,Hand,Rest,51.3259162902832,0.8273809523809523,1.0,"(168, 64, 1000)","(28, 64, 1000)",1,234567,0.8095238095238095
4,Feet,Rest,51.011133909225464,0.7321428571428571,1.0,"(168, 64, 1000)","(28, 64, 1000)",1,234567,0.7202380952380952
4,Tongue,Rest,53.75848889350891,0.6428571428571429,1.0,"(168, 64, 1000)","(28, 64, 1000)",1,234567,0.6190476190476191
4,Mis,Rest,53.955240964889526,0.7142857142857143,1.0,"(168, 64, 1000)","(28, 64, 1000)",1,234567,0.6904761904761905
5,Hand,Rest,52.91195487976074,0.6666666666666666,1.0,"(168, 64, 1000)","(28, 64, 1000)",1,234567,0.6547619047619048
5,Feet,Rest,51.39764189720154,0.5476190476190477,1.0,"(168, 64, 1000)","(28, 64, 1000)",1,234567,0.5595238095238095
5,Tongue,Rest,52.36939001083374,0.5714285714285714,1.0,"(168, 64, 1000)","(28, 64, 1000)",1,234567,0.5476190476190477
5,Mis,Rest,52.98214793205261,0.494047619047619,1.0,"(168, 64, 1000)","(28, 64, 1000)",1,234567,0.4702380952380952
6,Hand,Rest,50.52492332458496,0.6547619047619048,1.0,"(168, 64, 1000)","(28, 64, 1000)",1,234567,0.6726190476190477
6,Feet,Rest,51.36961221694946,0.6190476190476191,1.0,"(168, 64, 1000)","(28, 64, 1000)",1,234567,0.5654761904761905
6,Tongue,Rest,52.113243103027344,0.5892857142857143,1.0,"(168, 64, 1000)","(28, 64, 1000)",1,234567,0.5952380952380952
6,Mis,Rest,53.96364712715149,0.6190476190476191,1.0,"(168, 64, 1000)","(28, 64, 1000)",1,234567,0.6011904761904762
7,Hand,Rest,50.817790269851685,0.6130952380952381,1.0,"(168, 64, 1000)","(28, 64, 1000)",1,234567,0.5892857142857143
7,Feet,Rest,50.84053301811218,0.5654761904761905,1.0,"(168, 64, 1000)","(28, 64, 1000)",1,234567,0.5178571428571428
7,Tongue,Rest,52.10139226913452,0.5297619047619048,1.0,"(168, 64, 1000)","(28, 64, 1000)",1,234567,0.5416666666666667
7,Mis,Rest,53.37121224403381,0.6130952380952381,1.0,"(168, 64, 1000)","(28, 64, 1000)",1,234567,0.5952380952380952
9,Hand,Rest,52.89680504798889,0.8333333333333334,1.0,"(168, 64, 1000)","(28, 64, 1000)",1,234567,0.8273809523809523
9,Feet,Rest,52.188299894332886,0.5773809523809523,1.0,"(168, 64, 1000)","(28, 64, 1000)",1,234567,0.5833333333333333
9,Tongue,Rest,52.733131408691406,0.5952380952380952,1.0,"(168, 64, 1000)","(28, 64, 1000)",1,234567,0.5892857142857143
9,Mis,Rest,53.184776067733765,0.5595238095238095,1.0,"(168, 64, 1000)","(28, 64, 1000)",1,234567,0.5535714285714286
10,Hand,Rest,51.43686294555664,0.5535714285714286,1.0,"(168, 64, 1000)","(28, 64, 1000)",1,234567,0.5238095238095238
10,Feet,Rest,49.98763060569763,0.6726190476190477,1.0,"(168, 64, 1000)","(28, 64, 1000)",1,234567,0.6369047619047619
10,Tongue,Rest,51.69756007194519,0.5595238095238095,1.0,"(168, 64, 1000)","(28, 64, 1000)",1,234567,0.5238095238095238
10,Mis,Rest,51.5360164642334,0.6428571428571429,1.0,"(168, 64, 1000)","(28, 64, 1000)",1,234567,0.6607142857142857
11,Hand,Rest,51.609864950180054,0.6011904761904762,1.0,"(168, 64, 1000)","(28, 64, 1000)",1,234567,0.5833333333333333
11,Feet,Rest,50.08408045768738,0.9285714285714286,1.0,"(168, 64, 1000)","(28, 64, 1000)",1,234567,0.9107142857142856
11,Tongue,Rest,53.43359160423279,0.5833333333333334,1.0,"(168, 64, 1000)","(28, 64, 1000)",1,234567,0.5178571428571428
11,Mis,Rest,52.28369688987732,0.5178571428571429,1.0,"(168, 64, 1000)","(28, 64, 1000)",1,234567,0.5238095238095238
13,Hand,Rest,51.20136618614197,0.5952380952380952,1.0,"(168, 64, 1000)","(28, 64, 1000)",1,234567,0.5595238095238095
13,Feet,Rest,51.94476556777954,0.7023809523809523,1.0,"(168, 64, 1000)","(28, 64, 1000)",1,234567,0.6785714285714286
13,Tongue,Rest,52.49681568145752,0.6785714285714286,1.0,"(168, 64, 1000)","(28, 64, 1000)",1,234567,0.6845238095238095
13,Mis,Rest,53.246763467788696,0.6309523809523809,1.0,"(168, 64, 1000)","(28, 64, 1000)",1,234567,0.6369047619047619
14,Hand,Rest,50.20265746116638,0.7023809523809523,1.0,"(168, 64, 1000)","(28, 64, 1000)",1,234567,0.6666666666666667
14,Feet,Rest,50.50300455093384,0.6011904761904762,1.0,"(168, 64, 1000)","(28, 64, 1000)",1,234567,0.5654761904761905
14,Tongue,Rest,52.05299472808838,0.5119047619047619,1.0,"(168, 64, 1000)","(28, 64, 1000)",1,234567,0.4880952380952381
14,Mis,Rest,51.8948290348053,0.6369047619047619,1.0,"(168, 64, 1000)","(28, 64, 1000)",1,234567,0.6130952380952381
