participant,class1,class2,running_time,test_acc,train_acc,test_size,train_size,train_block,test_block,test_acc_vote
3,Hand,Rest,51.43372440338135,0.5714285714285714,1.0,"(168, 64, 1000)","(28, 64, 1000)",1,234567,0.5357142857142857
3,Feet,Rest,54.60226559638977,0.4880952380952381,1.0,"(168, 64, 1000)","(28, 64, 1000)",1,234567,0.4583333333333333
3,Tongue,Rest,55.70799207687378,0.4583333333333333,1.0,"(168, 64, 1000)","(28, 64, 1000)",1,234567,0.4583333333333333
3,Mis,Rest,57.09257507324219,0.4880952380952381,1.0,"(168, 64, 1000)","(28, 64, 1000)",1,234567,0.5
4,Hand,Rest,51.82777500152588,0.6428571428571429,1.0,"(168, 64, 1000)","(28, 64, 1000)",1,234567,0.6071428571428572
4,Feet,Rest,53.436798334121704,0.3035714285714285,1.0,"(168, 64, 1000)","(28, 64, 1000)",1,234567,0.2916666666666666
4,Tongue,Rest,53.641891956329346,0.4583333333333333,1.0,"(168, 64, 1000)","(28, 64, 1000)",1,234567,0.4464285714285714
4,Mis,Rest,54.914618492126465,0.5714285714285714,1.0,"(168, 64, 1000)","(28, 64, 1000)",1,234567,0.5119047619047619
5,Hand,Rest,52.5218391418457,0.4345238095238095,1.0,"(168, 64, 1000)","(28, 64, 1000)",1,234567,0.4523809523809523
5,Feet,Rest,53.702303886413574,0.5416666666666666,1.0,"(168, 64, 1000)","(28, 64, 1000)",1,234567,0.5416666666666667
5,Tongue,Rest,52.780399322509766,0.5178571428571429,1.0,"(168, 64, 1000)","(28, 64, 1000)",1,234567,0.5119047619047619
5,Mis,Rest,54.938339948654175,0.4464285714285714,1.0,"(168, 64, 1000)","(28, 64, 1000)",1,234567,0.4702380952380952
6,Hand,Rest,51.38738298416138,0.5654761904761905,1.0,"(168, 64, 1000)","(28, 64, 1000)",1,234567,0.5595238095238095
6,Feet,Rest,51.81647777557373,0.6011904761904762,1.0,"(168, 64, 1000)","(28, 64, 1000)",1,234567,0.5654761904761905
6,Tongue,Rest,53.54177522659302,0.625,1.0,"(168, 64, 1000)","(28, 64, 1000)",1,234567,0.6190476190476191
6,Mis,Rest,54.4128303527832,0.5119047619047619,1.0,"(168, 64, 1000)","(28, 64, 1000)",1,234567,0.5178571428571428
7,Hand,Rest,51.11716914176941,0.6190476190476191,1.0,"(168, 64, 1000)","(28, 64, 1000)",1,234567,0.6369047619047619
7,Feet,Rest,52.231197118759155,0.5476190476190477,1.0,"(168, 64, 1000)","(28, 64, 1000)",1,234567,0.5476190476190477
7,Tongue,Rest,53.00100612640381,0.5119047619047619,1.0,"(168, 64, 1000)","(28, 64, 1000)",1,234567,0.5119047619047619
7,Mis,Rest,52.618797063827515,0.4880952380952381,1.0,"(168, 64, 1000)","(28, 64, 1000)",1,234567,0.5059523809523809
9,Hand,Rest,50.7478404045105,0.6369047619047619,1.0,"(168, 64, 1000)","(28, 64, 1000)",1,234567,0.6130952380952381
9,Feet,Rest,53.31204438209534,0.5535714285714286,1.0,"(168, 64, 1000)","(28, 64, 1000)",1,234567,0.5059523809523809
9,Tongue,Rest,55.69370889663696,0.5535714285714286,1.0,"(168, 64, 1000)","(28, 64, 1000)",1,234567,0.5
9,Mis,Rest,56.12435960769653,0.5119047619047619,1.0,"(168, 64, 1000)","(28, 64, 1000)",1,234567,0.4285714285714286
10,Hand,Rest,56.65224647521973,0.4761904761904761,1.0,"(168, 64, 1000)","(28, 64, 1000)",1,234567,0.4642857142857143
10,Feet,Rest,51.16205811500549,0.6309523809523809,1.0,"(168, 64, 1000)","(28, 64, 1000)",1,234567,0.5892857142857143
10,Tongue,Rest,52.64411520957947,0.5238095238095238,1.0,"(168, 64, 1000)","(28, 64, 1000)",1,234567,0.5119047619047619
10,Mis,Rest,52.47964572906494,0.6726190476190477,1.0,"(168, 64, 1000)","(28, 64, 1000)",1,234567,0.6428571428571428
11,Hand,Rest,51.55431008338928,0.4821428571428571,1.0,"(168, 64, 1000)","(28, 64, 1000)",1,234567,0.5119047619047619
11,Feet,Rest,51.46449613571167,0.4880952380952381,1.0,"(168, 64, 1000)","(28, 64, 1000)",1,234567,0.5059523809523809
11,Tongue,Rest,53.11392259597778,0.5476190476190477,1.0,"(168, 64, 1000)","(28, 64, 1000)",1,234567,0.5416666666666667
11,Mis,Rest,54.398757219314575,0.5,1.0,"(168, 64, 1000)","(28, 64, 1000)",1,234567,0.4880952380952381
13,Hand,Rest,51.39016079902649,0.6011904761904762,1.0,"(168, 64, 1000)","(28, 64, 1000)",1,234567,0.5773809523809523
13,Feet,Rest,51.561564445495605,0.6607142857142857,1.0,"(168, 64, 1000)","(28, 64, 1000)",1,234567,0.6071428571428572
13,Tongue,Rest,53.1453070640564,0.5892857142857143,1.0,"(168, 64, 1000)","(28, 64, 1000)",1,234567,0.6130952380952381
13,Mis,Rest,53.3356876373291,0.5654761904761905,1.0,"(168, 64, 1000)","(28, 64, 1000)",1,234567,0.5654761904761905
14,Hand,Rest,51.819005727767944,0.6011904761904762,1.0,"(168, 64, 1000)","(28, 64, 1000)",1,234567,0.5714285714285714
14,Feet,Rest,51.96870470046997,0.5,1.0,"(168, 64, 1000)","(28, 64, 1000)",1,234567,0.4702380952380952
14,Tongue,Rest,52.66446876525879,0.5059523809523809,1.0,"(168, 64, 1000)","(28, 64, 1000)",1,234567,0.5297619047619048
14,Mis,Rest,52.63367795944214,0.5833333333333334,1.0,"(168, 64, 1000)","(28, 64, 1000)",1,234567,0.5892857142857143
