participant,class1,class2,running_time,test_acc,train_acc,test_size,train_size,train_block,test_block,test_acc_vote
3,Hand,Rest,60.400779247283936,0.8571428571428571,1.0,"(84, 64, 1000)","(112, 64, 1000)",1234,567,0.8214285714285714
3,Feet,Rest,59.11928582191467,0.6190476190476191,0.9642857142857144,"(84, 64, 1000)","(112, 64, 1000)",1234,567,0.5714285714285714
3,Tongue,Rest,60.08260488510132,0.6428571428571429,1.0,"(84, 64, 1000)","(112, 64, 1000)",1234,567,0.5714285714285714
3,Mis,Rest,62.26031422615051,0.8571428571428571,1.0,"(84, 64, 1000)","(112, 64, 1000)",1234,567,0.8333333333333334
4,Hand,Rest,59.205458641052246,0.8928571428571429,1.0,"(84, 64, 1000)","(112, 64, 1000)",1234,567,0.8809523809523809
4,Feet,Rest,58.86694097518921,0.7976190476190477,0.9821428571428572,"(84, 64, 1000)","(112, 64, 1000)",1234,567,0.7619047619047619
4,Tongue,Rest,60.45046854019165,0.7976190476190477,1.0,"(84, 64, 1000)","(112, 64, 1000)",1234,567,0.7261904761904762
4,Mis,Rest,59.760117292404175,0.6666666666666666,0.9910714285714286,"(84, 64, 1000)","(112, 64, 1000)",1234,567,0.6666666666666667
5,Hand,Rest,60.37196373939514,0.6904761904761905,1.0,"(84, 64, 1000)","(112, 64, 1000)",1234,567,0.6904761904761905
5,Feet,Rest,60.002023458480835,0.8333333333333334,1.0,"(84, 64, 1000)","(112, 64, 1000)",1234,567,0.7619047619047619
5,Tongue,Rest,61.16378831863403,0.7976190476190477,1.0,"(84, 64, 1000)","(112, 64, 1000)",1234,567,0.7738095238095238
5,Mis,Rest,60.64112973213196,0.7619047619047619,1.0,"(84, 64, 1000)","(112, 64, 1000)",1234,567,0.7023809523809523
6,Hand,Rest,59.63051724433899,0.5833333333333334,1.0,"(84, 64, 1000)","(112, 64, 1000)",1234,567,0.4880952380952381
6,Feet,Rest,59.105618715286255,0.7738095238095238,0.9910714285714286,"(84, 64, 1000)","(112, 64, 1000)",1234,567,0.7738095238095238
6,Tongue,Rest,59.857179164886475,0.7976190476190477,1.0,"(84, 64, 1000)","(112, 64, 1000)",1234,567,0.7619047619047619
6,Mis,Rest,60.45224046707153,0.7261904761904762,0.9821428571428572,"(84, 64, 1000)","(112, 64, 1000)",1234,567,0.7619047619047619
7,Hand,Rest,58.73616981506348,0.8095238095238095,1.0,"(84, 64, 1000)","(112, 64, 1000)",1234,567,0.8095238095238095
