participant,class1,class2,running_time,test_acc,train_acc,test_size,train_size,train_block,test_block,test_acc_vote
3,Hand,Rest,54.96711730957031,0.7321428571428571,1.0,"(112, 64, 1000)","(84, 64, 1000)",123,4567,0.6785714285714286
3,Feet,Rest,56.50277805328369,0.6428571428571429,1.0,"(112, 64, 1000)","(84, 64, 1000)",123,4567,0.5982142857142857
3,Tongue,Rest,58.227457761764526,0.7053571428571429,1.0,"(112, 64, 1000)","(84, 64, 1000)",123,4567,0.6160714285714286
3,Mis,Rest,59.61629629135132,0.7857142857142857,1.0,"(112, 64, 1000)","(84, 64, 1000)",123,4567,0.75
4,Hand,Rest,55.99426078796387,0.9017857142857144,1.0,"(112, 64, 1000)","(84, 64, 1000)",123,4567,0.8928571428571429
4,Feet,Rest,55.99556040763855,0.7678571428571429,1.0,"(112, 64, 1000)","(84, 64, 1000)",123,4567,0.75
4,Tongue,Rest,58.299036741256714,0.8392857142857143,1.0,"(112, 64, 1000)","(84, 64, 1000)",123,4567,0.8035714285714286
4,Mis,Rest,57.919881105422974,0.6785714285714286,1.0,"(112, 64, 1000)","(84, 64, 1000)",123,4567,0.6160714285714286
5,Hand,Rest,57.20464015007019,0.5803571428571429,1.0,"(112, 64, 1000)","(84, 64, 1000)",123,4567,0.5982142857142857
5,Feet,Rest,58.08517289161682,0.7142857142857143,1.0,"(112, 64, 1000)","(84, 64, 1000)",123,4567,0.6696428571428572
5,Tongue,Rest,56.88894581794739,0.8125,1.0,"(112, 64, 1000)","(84, 64, 1000)",123,4567,0.7589285714285714
5,Mis,Rest,57.24073123931885,0.6517857142857143,1.0,"(112, 64, 1000)","(84, 64, 1000)",123,4567,0.5982142857142857
6,Hand,Rest,55.0193977355957,0.5982142857142857,1.0,"(112, 64, 1000)","(84, 64, 1000)",123,4567,0.5535714285714286
6,Feet,Rest,55.77649426460266,0.7232142857142857,1.0,"(112, 64, 1000)","(84, 64, 1000)",123,4567,0.7232142857142857
6,Tongue,Rest,57.709813594818115,0.7142857142857143,1.0,"(112, 64, 1000)","(84, 64, 1000)",123,4567,0.6607142857142857
6,Mis,Rest,58.58033180236816,0.6339285714285714,1.0,"(112, 64, 1000)","(84, 64, 1000)",123,4567,0.6071428571428572
7,Hand,Rest,56.921544313430786,0.75,1.0,"(112, 64, 1000)","(84, 64, 1000)",123,4567,0.7410714285714286
7,Feet,Rest,69.35962200164795,0.7767857142857143,1.0,"(112, 64, 1000)","(84, 64, 1000)",123,4567,0.7321428571428572
7,Tongue,Rest,69.28066062927246,0.7321428571428571,1.0,"(112, 64, 1000)","(84, 64, 1000)",123,4567,0.7321428571428572
7,Mis,Rest,73.58395838737488,0.6875,1.0,"(112, 64, 1000)","(84, 64, 1000)",123,4567,0.6696428571428572
9,Hand,Rest,56.2787139415741,0.9017857142857144,1.0,"(112, 64, 1000)","(84, 64, 1000)",123,4567,0.8660714285714286
9,Feet,Rest,56.91899275779724,0.9017857142857144,1.0,"(112, 64, 1000)","(84, 64, 1000)",123,4567,0.8928571428571429
9,Tongue,Rest,57.87312293052673,0.7410714285714286,1.0,"(112, 64, 1000)","(84, 64, 1000)",123,4567,0.6785714285714286
9,Mis,Rest,58.69754123687744,0.6964285714285714,1.0,"(112, 64, 1000)","(84, 64, 1000)",123,4567,0.7053571428571428
10,Hand,Rest,57.32101082801819,0.625,1.0,"(112, 64, 1000)","(84, 64, 1000)",123,4567,0.6160714285714286
10,Feet,Rest,56.587566614151,0.7232142857142857,1.0,"(112, 64, 1000)","(84, 64, 1000)",123,4567,0.6785714285714286
10,Tongue,Rest,71.45002388954163,0.625,1.0,"(112, 64, 1000)","(84, 64, 1000)",123,4567,0.625
10,Mis,Rest,71.99974465370178,0.6517857142857143,1.0,"(112, 64, 1000)","(84, 64, 1000)",123,4567,0.6071428571428572
11,Hand,Rest,65.1913321018219,0.8928571428571429,1.0,"(112, 64, 1000)","(84, 64, 1000)",123,4567,0.875
11,Feet,Rest,57.88592886924744,0.9196428571428572,1.0,"(112, 64, 1000)","(84, 64, 1000)",123,4567,0.9196428571428572
11,Tongue,Rest,58.000702142715454,0.6160714285714286,1.0,"(112, 64, 1000)","(84, 64, 1000)",123,4567,0.5714285714285714
11,Mis,Rest,57.7094669342041,0.7053571428571429,1.0,"(112, 64, 1000)","(84, 64, 1000)",123,4567,0.6607142857142857
13,Hand,Rest,56.44865679740906,0.75,0.9285714285714286,"(112, 64, 1000)","(84, 64, 1000)",123,4567,0.7053571428571428
13,Feet,Rest,58.23518443107605,0.75,1.0,"(112, 64, 1000)","(84, 64, 1000)",123,4567,0.7053571428571428
13,Tongue,Rest,58.498496294021606,0.8392857142857143,1.0,"(112, 64, 1000)","(84, 64, 1000)",123,4567,0.8035714285714286
13,Mis,Rest,58.62214922904968,0.7678571428571429,1.0,"(112, 64, 1000)","(84, 64, 1000)",123,4567,0.7678571428571428
14,Hand,Rest,56.076425313949585,0.7142857142857143,1.0,"(112, 64, 1000)","(84, 64, 1000)",123,4567,0.6517857142857143
14,Feet,Rest,56.13373875617981,0.6071428571428571,1.0,"(112, 64, 1000)","(84, 64, 1000)",123,4567,0.5982142857142857
14,Tongue,Rest,58.5351402759552,0.5178571428571429,1.0,"(112, 64, 1000)","(84, 64, 1000)",123,4567,0.5178571428571428
14,Mis,Rest,60.15875172615051,0.6875,1.0,"(112, 64, 1000)","(84, 64, 1000)",123,4567,0.6696428571428572
