participant,class1,class2,running_time,test_acc,train_acc,test_size,train_size,train_block,test_block,test_acc_vote
3,Hand,Rest,55.61762595176697,0.7053571428571429,1.0,"(112, 64, 1000)","(84, 64, 1000)",123,4567,0.6785714285714286
3,Feet,Rest,57.73478794097901,0.5892857142857143,1.0,"(112, 64, 1000)","(84, 64, 1000)",123,4567,0.5267857142857143
3,Tongue,Rest,59.577967166900635,0.7053571428571429,1.0,"(112, 64, 1000)","(84, 64, 1000)",123,4567,0.6160714285714286
3,Mis,Rest,57.38948392868042,0.8125,1.0,"(112, 64, 1000)","(84, 64, 1000)",123,4567,0.7946428571428572
4,Hand,Rest,56.17816424369812,0.9375,1.0,"(112, 64, 1000)","(84, 64, 1000)",123,4567,0.9464285714285714
4,Feet,Rest,55.144997119903564,0.6964285714285714,0.988095238095238,"(112, 64, 1000)","(84, 64, 1000)",123,4567,0.6517857142857143
4,Tongue,Rest,56.91035842895508,0.7678571428571429,1.0,"(112, 64, 1000)","(84, 64, 1000)",123,4567,0.7142857142857143
4,Mis,Rest,57.646531105041504,0.7678571428571429,0.988095238095238,"(112, 64, 1000)","(84, 64, 1000)",123,4567,0.7410714285714286
5,Hand,Rest,56.13126277923584,0.5714285714285714,1.0,"(112, 64, 1000)","(84, 64, 1000)",123,4567,0.5625
5,Feet,Rest,54.85450553894043,0.7321428571428571,1.0,"(112, 64, 1000)","(84, 64, 1000)",123,4567,0.7053571428571428
5,Tongue,Rest,57.91571116447449,0.7053571428571429,1.0,"(112, 64, 1000)","(84, 64, 1000)",123,4567,0.6696428571428572
5,Mis,Rest,57.11422109603882,0.5982142857142857,1.0,"(112, 64, 1000)","(84, 64, 1000)",123,4567,0.5803571428571428
6,Hand,Rest,56.03476881980896,0.5982142857142857,1.0,"(112, 64, 1000)","(84, 64, 1000)",123,4567,0.5982142857142857
6,Feet,Rest,54.9046196937561,0.6517857142857143,1.0,"(112, 64, 1000)","(84, 64, 1000)",123,4567,0.6875
6,Tongue,Rest,57.845346450805664,0.6517857142857143,1.0,"(112, 64, 1000)","(84, 64, 1000)",123,4567,0.6339285714285714
6,Mis,Rest,56.36904740333557,0.6428571428571429,0.988095238095238,"(112, 64, 1000)","(84, 64, 1000)",123,4567,0.6071428571428572
7,Hand,Rest,55.27712655067444,0.7410714285714286,1.0,"(112, 64, 1000)","(84, 64, 1000)",123,4567,0.6607142857142857
7,Feet,Rest,54.64552617073059,0.8214285714285714,1.0,"(112, 64, 1000)","(84, 64, 1000)",123,4567,0.7946428571428572
7,Tongue,Rest,58.09363913536072,0.7857142857142857,1.0,"(112, 64, 1000)","(84, 64, 1000)",123,4567,0.7857142857142857
7,Mis,Rest,57.51871347427368,0.6339285714285714,1.0,"(112, 64, 1000)","(84, 64, 1000)",123,4567,0.5625
9,Hand,Rest,55.088998317718506,0.8839285714285714,1.0,"(112, 64, 1000)","(84, 64, 1000)",123,4567,0.8482142857142857
9,Feet,Rest,55.06807041168213,0.875,1.0,"(112, 64, 1000)","(84, 64, 1000)",123,4567,0.875
9,Tongue,Rest,58.16481113433838,0.6785714285714286,1.0,"(112, 64, 1000)","(84, 64, 1000)",123,4567,0.6517857142857143
9,Mis,Rest,57.738614082336426,0.6517857142857143,1.0,"(112, 64, 1000)","(84, 64, 1000)",123,4567,0.6875
10,Hand,Rest,55.251755475997925,0.6875,1.0,"(112, 64, 1000)","(84, 64, 1000)",123,4567,0.6517857142857143
10,Feet,Rest,54.7230384349823,0.6875,1.0,"(112, 64, 1000)","(84, 64, 1000)",123,4567,0.6785714285714286
10,Tongue,Rest,56.538087129592896,0.6517857142857143,1.0,"(112, 64, 1000)","(84, 64, 1000)",123,4567,0.5625
10,Mis,Rest,57.05505990982056,0.75,1.0,"(112, 64, 1000)","(84, 64, 1000)",123,4567,0.6875
11,Hand,Rest,55.67011880874634,0.8392857142857143,1.0,"(112, 64, 1000)","(84, 64, 1000)",123,4567,0.8214285714285714
11,Feet,Rest,56.22547626495361,0.8928571428571429,1.0,"(112, 64, 1000)","(84, 64, 1000)",123,4567,0.8928571428571429
11,Tongue,Rest,59.72153615951538,0.625,1.0,"(112, 64, 1000)","(84, 64, 1000)",123,4567,0.5982142857142857
11,Mis,Rest,57.60312247276306,0.6964285714285714,1.0,"(112, 64, 1000)","(84, 64, 1000)",123,4567,0.6875
13,Hand,Rest,55.01189970970154,0.6517857142857143,0.988095238095238,"(112, 64, 1000)","(84, 64, 1000)",123,4567,0.6160714285714286
13,Feet,Rest,56.89770269393921,0.7946428571428571,1.0,"(112, 64, 1000)","(84, 64, 1000)",123,4567,0.8035714285714286
13,Tongue,Rest,58.82647347450256,0.8035714285714286,1.0,"(112, 64, 1000)","(84, 64, 1000)",123,4567,0.7767857142857143
13,Mis,Rest,56.77227187156677,0.7410714285714286,0.988095238095238,"(112, 64, 1000)","(84, 64, 1000)",123,4567,0.7232142857142857
14,Hand,Rest,55.73771643638611,0.8660714285714286,1.0,"(112, 64, 1000)","(84, 64, 1000)",123,4567,0.8392857142857143
14,Feet,Rest,55.054009199142456,0.5982142857142857,1.0,"(112, 64, 1000)","(84, 64, 1000)",123,4567,0.5892857142857143
14,Tongue,Rest,57.728692054748535,0.5714285714285714,1.0,"(112, 64, 1000)","(84, 64, 1000)",123,4567,0.5535714285714286
14,Mis,Rest,58.83511734008789,0.6339285714285714,1.0,"(112, 64, 1000)","(84, 64, 1000)",123,4567,0.6071428571428572
