participant,class1,class2,running_time,test_acc,train_acc,test_size,train_size,train_block,test_block,test_acc_vote
3,Hand,Rest,55.03251314163208,0.8452380952380952,0.9910714285714286,"(84, 64, 1000)","(112, 64, 1000)",1234,567,0.7976190476190477
3,Feet,Rest,55.02988600730896,0.5952380952380952,1.0,"(84, 64, 1000)","(112, 64, 1000)",1234,567,0.5595238095238095
3,Tongue,Rest,58.20673990249634,0.75,0.9910714285714286,"(84, 64, 1000)","(112, 64, 1000)",1234,567,0.7261904761904762
3,Mis,Rest,58.28089618682861,0.8214285714285714,0.9821428571428572,"(84, 64, 1000)","(112, 64, 1000)",1234,567,0.8095238095238095
4,Hand,Rest,55.00618863105774,0.8214285714285714,1.0,"(84, 64, 1000)","(112, 64, 1000)",1234,567,0.8095238095238095
4,Feet,Rest,55.234203815460205,0.7738095238095238,0.9910714285714286,"(84, 64, 1000)","(112, 64, 1000)",1234,567,0.7023809523809523
4,Tongue,Rest,57.898468017578125,0.8095238095238095,0.9910714285714286,"(84, 64, 1000)","(112, 64, 1000)",1234,567,0.8095238095238095
4,Mis,Rest,58.333693504333496,0.7142857142857143,0.9910714285714286,"(84, 64, 1000)","(112, 64, 1000)",1234,567,0.6785714285714286
5,Hand,Rest,55.41052722930908,0.5952380952380952,0.9910714285714286,"(84, 64, 1000)","(112, 64, 1000)",1234,567,0.5476190476190477
5,Feet,Rest,56.75231385231018,0.6547619047619048,0.9910714285714286,"(84, 64, 1000)","(112, 64, 1000)",1234,567,0.6190476190476191
5,Tongue,Rest,57.010520219802856,0.75,0.9910714285714286,"(84, 64, 1000)","(112, 64, 1000)",1234,567,0.7380952380952381
5,Mis,Rest,57.40379524230957,0.6190476190476191,0.9821428571428572,"(84, 64, 1000)","(112, 64, 1000)",1234,567,0.5952380952380952
6,Hand,Rest,55.940417528152466,0.7261904761904762,1.0,"(84, 64, 1000)","(112, 64, 1000)",1234,567,0.6904761904761905
6,Feet,Rest,55.20921158790589,0.8452380952380952,0.9910714285714286,"(84, 64, 1000)","(112, 64, 1000)",1234,567,0.8333333333333334
6,Tongue,Rest,57.01978421211243,0.7380952380952381,1.0,"(84, 64, 1000)","(112, 64, 1000)",1234,567,0.7380952380952381
6,Mis,Rest,57.80756211280823,0.6428571428571429,1.0,"(84, 64, 1000)","(112, 64, 1000)",1234,567,0.6071428571428572
7,Hand,Rest,56.72920656204224,0.8571428571428571,0.9910714285714286,"(84, 64, 1000)","(112, 64, 1000)",1234,567,0.8571428571428572
7,Feet,Rest,56.75688147544861,0.7976190476190477,0.9821428571428572,"(84, 64, 1000)","(112, 64, 1000)",1234,567,0.7619047619047619
7,Tongue,Rest,58.31296253204346,0.7142857142857143,1.0,"(84, 64, 1000)","(112, 64, 1000)",1234,567,0.7380952380952381
7,Mis,Rest,56.90970802307129,0.6666666666666666,1.0,"(84, 64, 1000)","(112, 64, 1000)",1234,567,0.6666666666666667
9,Hand,Rest,54.996456146240234,0.8452380952380952,0.9910714285714286,"(84, 64, 1000)","(112, 64, 1000)",1234,567,0.7857142857142857
9,Feet,Rest,56.62721014022827,0.9047619047619048,0.9910714285714286,"(84, 64, 1000)","(112, 64, 1000)",1234,567,0.8809523809523809
9,Tongue,Rest,56.92011570930481,0.6666666666666666,1.0,"(84, 64, 1000)","(112, 64, 1000)",1234,567,0.6547619047619048
9,Mis,Rest,57.00026035308838,0.6785714285714286,0.9910714285714286,"(84, 64, 1000)","(112, 64, 1000)",1234,567,0.6904761904761905
