participant,class1,class2,running_time,test_acc,train_acc,test_size,train_size,train_block,test_block,test_acc_vote
3,Hand,Rest,57.57085609436035,0.9285714285714286,1.0,"(56, 64, 1000)","(140, 64, 1000)",12345,67,0.9107142857142856
3,Feet,Rest,56.78588080406189,0.75,1.0,"(56, 64, 1000)","(140, 64, 1000)",12345,67,0.6607142857142857
3,Tongue,Rest,58.22287058830261,0.7857142857142857,1.0,"(56, 64, 1000)","(140, 64, 1000)",12345,67,0.7321428571428572
3,Mis,Rest,58.70489764213562,0.8928571428571429,1.0,"(56, 64, 1000)","(140, 64, 1000)",12345,67,0.9107142857142856
4,Hand,Rest,57.612228870391846,0.9464285714285714,1.0,"(56, 64, 1000)","(140, 64, 1000)",12345,67,0.9285714285714286
4,Feet,Rest,56.785924196243286,0.875,1.0,"(56, 64, 1000)","(140, 64, 1000)",12345,67,0.7857142857142857
4,Tongue,Rest,58.09789967536926,0.8035714285714286,1.0,"(56, 64, 1000)","(140, 64, 1000)",12345,67,0.7857142857142857
4,Mis,Rest,58.98570156097412,0.625,1.0,"(56, 64, 1000)","(140, 64, 1000)",12345,67,0.5535714285714286
5,Hand,Rest,58.344671964645386,0.8571428571428571,1.0,"(56, 64, 1000)","(140, 64, 1000)",12345,67,0.8928571428571429
5,Feet,Rest,57.445730447769165,0.7142857142857143,1.0,"(56, 64, 1000)","(140, 64, 1000)",12345,67,0.7321428571428572
5,Tongue,Rest,60.06018567085266,0.7678571428571429,1.0,"(56, 64, 1000)","(140, 64, 1000)",12345,67,0.8035714285714286
5,Mis,Rest,58.56938600540161,0.8035714285714286,1.0,"(56, 64, 1000)","(140, 64, 1000)",12345,67,0.8035714285714286
6,Hand,Rest,57.79113292694092,0.75,1.0,"(56, 64, 1000)","(140, 64, 1000)",12345,67,0.7142857142857143
6,Feet,Rest,57.341737270355225,0.7678571428571429,1.0,"(56, 64, 1000)","(140, 64, 1000)",12345,67,0.7678571428571428
6,Tongue,Rest,58.85816264152527,0.875,1.0,"(56, 64, 1000)","(140, 64, 1000)",12345,67,0.8392857142857143
6,Mis,Rest,59.841325998306274,0.75,1.0,"(56, 64, 1000)","(140, 64, 1000)",12345,67,0.7678571428571428
7,Hand,Rest,57.694108963012695,0.75,1.0,"(56, 64, 1000)","(140, 64, 1000)",12345,67,0.75
7,Feet,Rest,58.20090627670288,0.9107142857142856,1.0,"(56, 64, 1000)","(140, 64, 1000)",12345,67,0.9107142857142856
7,Tongue,Rest,59.073861837387085,0.6428571428571429,1.0,"(56, 64, 1000)","(140, 64, 1000)",12345,67,0.5892857142857143
7,Mis,Rest,58.842148542404175,0.6607142857142857,1.0,"(56, 64, 1000)","(140, 64, 1000)",12345,67,0.6607142857142857
9,Hand,Rest,58.46716260910034,0.9464285714285714,1.0,"(56, 64, 1000)","(140, 64, 1000)",12345,67,0.9285714285714286
9,Feet,Rest,57.583226919174194,0.9285714285714286,1.0,"(56, 64, 1000)","(140, 64, 1000)",12345,67,0.9464285714285714
9,Tongue,Rest,60.28980612754822,0.7678571428571429,1.0,"(56, 64, 1000)","(140, 64, 1000)",12345,67,0.7321428571428572
9,Mis,Rest,58.66734576225281,0.75,1.0,"(56, 64, 1000)","(140, 64, 1000)",12345,67,0.7142857142857143
10,Hand,Rest,58.14119577407837,0.7321428571428571,1.0,"(56, 64, 1000)","(140, 64, 1000)",12345,67,0.6964285714285714
10,Feet,Rest,58.12803387641907,0.7142857142857143,1.0,"(56, 64, 1000)","(140, 64, 1000)",12345,67,0.6964285714285714
10,Tongue,Rest,60.26305627822876,0.7321428571428571,1.0,"(56, 64, 1000)","(140, 64, 1000)",12345,67,0.6428571428571428
10,Mis,Rest,60.22177171707153,0.8392857142857143,1.0,"(56, 64, 1000)","(140, 64, 1000)",12345,67,0.8392857142857143
11,Hand,Rest,57.69655108451843,0.9107142857142856,1.0,"(56, 64, 1000)","(140, 64, 1000)",12345,67,0.9107142857142856
11,Feet,Rest,56.79511618614197,0.9464285714285714,1.0,"(56, 64, 1000)","(140, 64, 1000)",12345,67,0.9464285714285714
11,Tongue,Rest,59.3973708152771,0.6964285714285714,1.0,"(56, 64, 1000)","(140, 64, 1000)",12345,67,0.6785714285714286
11,Mis,Rest,59.64413809776306,0.6607142857142857,1.0,"(56, 64, 1000)","(140, 64, 1000)",12345,67,0.625
13,Hand,Rest,57.3753764629364,0.7321428571428571,1.0,"(56, 64, 1000)","(140, 64, 1000)",12345,67,0.6964285714285714
13,Feet,Rest,57.89408874511719,0.8214285714285714,1.0,"(56, 64, 1000)","(140, 64, 1000)",12345,67,0.7857142857142857
13,Tongue,Rest,59.310529470443726,0.7857142857142857,1.0,"(56, 64, 1000)","(140, 64, 1000)",12345,67,0.7321428571428572
13,Mis,Rest,59.03458857536316,0.7678571428571429,1.0,"(56, 64, 1000)","(140, 64, 1000)",12345,67,0.6785714285714286
14,Hand,Rest,56.81573534011841,0.9464285714285714,1.0,"(56, 64, 1000)","(140, 64, 1000)",12345,67,0.9285714285714286
14,Feet,Rest,58.24362230300903,0.8392857142857143,1.0,"(56, 64, 1000)","(140, 64, 1000)",12345,67,0.7857142857142857
14,Tongue,Rest,59.936888456344604,0.8214285714285714,1.0,"(56, 64, 1000)","(140, 64, 1000)",12345,67,0.8035714285714286
14,Mis,Rest,55.97621154785156,0.7678571428571429,1.0,"(56, 64, 1000)","(140, 64, 1000)",12345,67,0.7321428571428572
