participant,class1,class2,running_time,test_acc,train_acc,test_size,train_size,train_block,test_block,test_acc_vote
3,Hand,Rest,203.08407711982727,0.8226299694189603,1.0,"(327, 64, 1000)","(436, 64, 1000)",1234,567,0.8256880733944953
3,Feet,Rest,184.79117393493652,0.654434250764526,1.0,"(327, 64, 1000)","(436, 64, 1000)",1234,567,0.6788990825688073
3,Tongue,Rest,226.20375657081604,0.764525993883792,1.0,"(327, 64, 1000)","(436, 64, 1000)",1234,567,0.7584097859327217
3,Mis,Rest,167.78609991073608,0.7951070336391437,1.0,"(327, 64, 1000)","(436, 64, 1000)",1234,567,0.8042813455657493
4,Hand,Rest,149.64229345321655,0.8654434250764526,1.0,"(327, 64, 1000)","(436, 64, 1000)",1234,567,0.8746177370030581
4,Feet,Rest,179.02637696266174,0.8501529051987767,1.0,"(327, 64, 1000)","(436, 64, 1000)",1234,567,0.8562691131498471
4,Tongue,Rest,200.06159090995789,0.7614678899082569,1.0,"(327, 64, 1000)","(436, 64, 1000)",1234,567,0.764525993883792
4,Mis,Rest,184.69901728630063,0.6941896024464832,1.0,"(327, 64, 1000)","(436, 64, 1000)",1234,567,0.6880733944954128
5,Hand,Rest,180.26645016670227,0.7033639143730887,1.0,"(327, 64, 1000)","(436, 64, 1000)",1234,567,0.7186544342507646
5,Feet,Rest,208.50554728507996,0.7247706422018348,1.0,"(327, 64, 1000)","(436, 64, 1000)",1234,567,0.7308868501529052
5,Tongue,Rest,224.3464868068695,0.7155963302752294,1.0,"(327, 64, 1000)","(436, 64, 1000)",1234,567,0.7217125382262997
5,Mis,Rest,190.1457600593567,0.6880733944954128,1.0,"(327, 64, 1000)","(436, 64, 1000)",1234,567,0.6850152905198776
6,Hand,Rest,161.79369711875916,0.691131498470948,1.0,"(327, 64, 1000)","(436, 64, 1000)",1234,567,0.7033639143730888
6,Feet,Rest,173.8801786899567,0.7186544342507645,1.0,"(327, 64, 1000)","(436, 64, 1000)",1234,567,0.7339449541284404
6,Tongue,Rest,185.726557970047,0.7737003058103975,1.0,"(327, 64, 1000)","(436, 64, 1000)",1234,567,0.7981651376146789
6,Mis,Rest,195.54116296768188,0.6697247706422018,1.0,"(327, 64, 1000)","(436, 64, 1000)",1234,567,0.691131498470948
7,Hand,Rest,121.22054505348206,0.7889908256880734,1.0,"(327, 64, 1000)","(436, 64, 1000)",1234,567,0.8073394495412844
7,Feet,Rest,129.53421664237976,0.8134556574923547,1.0,"(327, 64, 1000)","(436, 64, 1000)",1234,567,0.8226299694189603
7,Tongue,Rest,265.9918637275696,0.7186544342507645,1.0,"(327, 64, 1000)","(436, 64, 1000)",1234,567,0.7339449541284404
7,Mis,Rest,265.57630443573,0.7737003058103975,1.0,"(327, 64, 1000)","(436, 64, 1000)",1234,567,0.8012232415902141
9,Hand,Rest,262.65107893943787,0.8348623853211009,1.0,"(327, 64, 1000)","(436, 64, 1000)",1234,567,0.8348623853211009
9,Feet,Rest,242.71344542503357,0.8654434250764526,1.0,"(327, 64, 1000)","(436, 64, 1000)",1234,567,0.8715596330275229
9,Tongue,Rest,214.9235932826996,0.7492354740061162,1.0,"(327, 64, 1000)","(436, 64, 1000)",1234,567,0.7584097859327217
9,Mis,Rest,207.50466585159305,0.7370030581039755,1.0,"(327, 64, 1000)","(436, 64, 1000)",1234,567,0.7584097859327217
10,Hand,Rest,173.04192757606506,0.6207951070336392,1.0,"(327, 64, 1000)","(436, 64, 1000)",1234,567,0.6330275229357798
10,Feet,Rest,211.2209918498993,0.6207951070336392,1.0,"(327, 64, 1000)","(436, 64, 1000)",1234,567,0.6238532110091743
10,Tongue,Rest,186.17214703559875,0.6605504587155964,1.0,"(327, 64, 1000)","(436, 64, 1000)",1234,567,0.6483180428134556
10,Mis,Rest,211.09526896476743,0.8103975535168195,1.0,"(327, 64, 1000)","(436, 64, 1000)",1234,567,0.8256880733944953
11,Hand,Rest,236.90607833862305,0.7951070336391437,1.0,"(327, 64, 1000)","(436, 64, 1000)",1234,567,0.8226299694189603
11,Feet,Rest,222.71777892112732,0.8807339449541285,1.0,"(327, 64, 1000)","(436, 64, 1000)",1234,567,0.8899082568807339
11,Tongue,Rest,234.1434855461121,0.7186544342507645,1.0,"(327, 64, 1000)","(436, 64, 1000)",1234,567,0.7247706422018348
11,Mis,Rest,218.17668104171753,0.7614678899082569,1.0,"(327, 64, 1000)","(436, 64, 1000)",1234,567,0.8042813455657493
13,Hand,Rest,137.08925461769104,0.7003058103975535,1.0,"(327, 64, 1000)","(436, 64, 1000)",1234,567,0.6972477064220184
13,Feet,Rest,189.077397108078,0.8501529051987767,1.0,"(327, 64, 1000)","(436, 64, 1000)",1234,567,0.8593272171253823
13,Tongue,Rest,230.3377799987793,0.7584097859327217,1.0,"(327, 64, 1000)","(436, 64, 1000)",1234,567,0.7767584097859327
13,Mis,Rest,218.6076521873474,0.7614678899082569,1.0,"(327, 64, 1000)","(436, 64, 1000)",1234,567,0.764525993883792
14,Hand,Rest,180.8645257949829,0.8470948012232415,1.0,"(327, 64, 1000)","(436, 64, 1000)",1234,567,0.8532110091743119
14,Feet,Rest,221.28782725334167,0.7492354740061162,1.0,"(327, 64, 1000)","(436, 64, 1000)",1234,567,0.7492354740061162
14,Tongue,Rest,208.5898883342743,0.6666666666666666,1.0,"(327, 64, 1000)","(436, 64, 1000)",1234,567,0.6850152905198776
14,Mis,Rest,143.79185795783997,0.7033639143730887,1.0,"(327, 64, 1000)","(436, 64, 1000)",1234,567,0.7217125382262997
