participant,class1,class2,running_time,test_acc,train_acc,test_size,train_size,train_block,test_block,test_acc_vote
3,Hand,Rest,62.20374417304993,0.9107142857142856,1.0,"(56, 32, 1000)","(140, 32, 1000)",12345,67,0.8928571428571429
3,Feet,Rest,64.56139492988586,0.6607142857142857,1.0,"(56, 32, 1000)","(140, 32, 1000)",12345,67,0.6428571428571428
3,Tongue,Rest,57.25879526138306,0.7142857142857143,1.0,"(56, 32, 1000)","(140, 32, 1000)",12345,67,0.6785714285714286
3,Mis,Rest,56.77515268325806,0.8035714285714286,1.0,"(56, 32, 1000)","(140, 32, 1000)",12345,67,0.7857142857142857
4,Hand,Rest,63.78487515449524,0.8392857142857143,1.0,"(56, 32, 1000)","(140, 32, 1000)",12345,67,0.7857142857142857
4,Feet,Rest,57.03404140472412,0.9107142857142856,1.0,"(56, 32, 1000)","(140, 32, 1000)",12345,67,0.8571428571428572
4,Tongue,Rest,55.411595821380615,0.7321428571428571,1.0,"(56, 32, 1000)","(140, 32, 1000)",12345,67,0.6785714285714286
4,Mis,Rest,57.448965549468994,0.6071428571428571,1.0,"(56, 32, 1000)","(140, 32, 1000)",12345,67,0.5357142857142857
5,Hand,Rest,55.120001554489136,0.8392857142857143,1.0,"(56, 32, 1000)","(140, 32, 1000)",12345,67,0.8035714285714286
5,Feet,Rest,59.424134969711304,0.8214285714285714,1.0,"(56, 32, 1000)","(140, 32, 1000)",12345,67,0.8035714285714286
5,Tongue,Rest,60.54751539230347,0.875,1.0,"(56, 32, 1000)","(140, 32, 1000)",12345,67,0.8392857142857143
5,Mis,Rest,62.14581298828125,0.875,1.0,"(56, 32, 1000)","(140, 32, 1000)",12345,67,0.8214285714285714
6,Hand,Rest,55.89469027519226,0.7142857142857143,1.0,"(56, 32, 1000)","(140, 32, 1000)",12345,67,0.6964285714285714
6,Feet,Rest,60.50724673271179,0.75,1.0,"(56, 32, 1000)","(140, 32, 1000)",12345,67,0.7678571428571428
6,Tongue,Rest,62.5511748790741,0.7321428571428571,1.0,"(56, 32, 1000)","(140, 32, 1000)",12345,67,0.7678571428571428
6,Mis,Rest,55.19410490989685,0.8035714285714286,1.0,"(56, 32, 1000)","(140, 32, 1000)",12345,67,0.8214285714285714
7,Hand,Rest,61.62837052345276,0.8035714285714286,1.0,"(56, 32, 1000)","(140, 32, 1000)",12345,67,0.8035714285714286
7,Feet,Rest,59.54312491416931,0.875,1.0,"(56, 32, 1000)","(140, 32, 1000)",12345,67,0.875
7,Tongue,Rest,54.35168123245239,0.7142857142857143,1.0,"(56, 32, 1000)","(140, 32, 1000)",12345,67,0.7142857142857143
7,Mis,Rest,55.238247871398926,0.6964285714285714,1.0,"(56, 32, 1000)","(140, 32, 1000)",12345,67,0.7142857142857143
9,Hand,Rest,61.96112966537475,0.9642857142857144,1.0,"(56, 32, 1000)","(140, 32, 1000)",12345,67,0.9642857142857144
9,Feet,Rest,59.82994198799133,0.9107142857142856,1.0,"(56, 32, 1000)","(140, 32, 1000)",12345,67,0.8928571428571429
9,Tongue,Rest,61.44853758811951,0.7321428571428571,1.0,"(56, 32, 1000)","(140, 32, 1000)",12345,67,0.6785714285714286
9,Mis,Rest,62.522451877593994,0.6785714285714286,1.0,"(56, 32, 1000)","(140, 32, 1000)",12345,67,0.6607142857142857
10,Hand,Rest,52.91621923446655,0.8571428571428571,1.0,"(56, 32, 1000)","(140, 32, 1000)",12345,67,0.875
10,Feet,Rest,56.96607732772827,0.7321428571428571,1.0,"(56, 32, 1000)","(140, 32, 1000)",12345,67,0.6964285714285714
10,Tongue,Rest,60.15966033935547,0.6964285714285714,1.0,"(56, 32, 1000)","(140, 32, 1000)",12345,67,0.6071428571428572
10,Mis,Rest,50.47401428222656,0.9285714285714286,1.0,"(56, 32, 1000)","(140, 32, 1000)",12345,67,0.9107142857142856
11,Hand,Rest,58.67186784744263,0.9642857142857144,1.0,"(56, 32, 1000)","(140, 32, 1000)",12345,67,0.9464285714285714
11,Feet,Rest,60.698469161987305,0.9464285714285714,1.0,"(56, 32, 1000)","(140, 32, 1000)",12345,67,0.9464285714285714
11,Tongue,Rest,55.69418525695801,0.6964285714285714,1.0,"(56, 32, 1000)","(140, 32, 1000)",12345,67,0.6964285714285714
11,Mis,Rest,60.01087784767151,0.6607142857142857,1.0,"(56, 32, 1000)","(140, 32, 1000)",12345,67,0.625
13,Hand,Rest,61.5752170085907,0.8214285714285714,1.0,"(56, 32, 1000)","(140, 32, 1000)",12345,67,0.75
13,Feet,Rest,62.657703161239624,0.8035714285714286,1.0,"(56, 32, 1000)","(140, 32, 1000)",12345,67,0.7857142857142857
13,Tongue,Rest,63.80535078048706,0.8214285714285714,1.0,"(56, 32, 1000)","(140, 32, 1000)",12345,67,0.8214285714285714
13,Mis,Rest,66.82844352722168,0.7857142857142857,1.0,"(56, 32, 1000)","(140, 32, 1000)",12345,67,0.7321428571428572
14,Hand,Rest,56.19905185699463,0.9464285714285714,1.0,"(56, 32, 1000)","(140, 32, 1000)",12345,67,0.9285714285714286
14,Feet,Rest,54.63191294670105,0.9107142857142856,1.0,"(56, 32, 1000)","(140, 32, 1000)",12345,67,0.9107142857142856
14,Tongue,Rest,51.51340222358704,0.7142857142857143,1.0,"(56, 32, 1000)","(140, 32, 1000)",12345,67,0.625
14,Mis,Rest,54.11691164970398,0.6964285714285714,1.0,"(56, 32, 1000)","(140, 32, 1000)",12345,67,0.7678571428571428
