participant,class1,class2,running_time,test_acc,train_acc,test_size,train_size,train_block,test_block,test_acc_vote
3,Hand,Rest,53.00246477127075,0.9285714285714286,1.0,"(56, 32, 1000)","(140, 32, 1000)",12345,67,0.9285714285714286
3,Feet,Rest,58.82886505126953,0.6428571428571429,1.0,"(56, 32, 1000)","(140, 32, 1000)",12345,67,0.6428571428571428
3,Tongue,Rest,66.78734922409058,0.7321428571428571,1.0,"(56, 32, 1000)","(140, 32, 1000)",12345,67,0.6428571428571428
3,Mis,Rest,51.95008325576782,0.8392857142857143,1.0,"(56, 32, 1000)","(140, 32, 1000)",12345,67,0.8035714285714286
4,Hand,Rest,52.09787726402283,0.8928571428571429,1.0,"(56, 32, 1000)","(140, 32, 1000)",12345,67,0.8928571428571429
4,Feet,Rest,53.17162203788757,0.875,1.0,"(56, 32, 1000)","(140, 32, 1000)",12345,67,0.8392857142857143
4,Tongue,Rest,56.79715394973755,0.6785714285714286,1.0,"(56, 32, 1000)","(140, 32, 1000)",12345,67,0.625
4,Mis,Rest,61.07470989227295,0.5535714285714286,1.0,"(56, 32, 1000)","(140, 32, 1000)",12345,67,0.5357142857142857
5,Hand,Rest,65.07753443717957,0.6785714285714286,1.0,"(56, 32, 1000)","(140, 32, 1000)",12345,67,0.5892857142857143
5,Feet,Rest,56.12315535545349,0.7678571428571429,1.0,"(56, 32, 1000)","(140, 32, 1000)",12345,67,0.6964285714285714
5,Tongue,Rest,53.57769227027893,0.7678571428571429,1.0,"(56, 32, 1000)","(140, 32, 1000)",12345,67,0.7857142857142857
5,Mis,Rest,61.30819487571716,0.875,1.0,"(56, 32, 1000)","(140, 32, 1000)",12345,67,0.8392857142857143
6,Hand,Rest,51.96434307098389,0.7678571428571429,1.0,"(56, 32, 1000)","(140, 32, 1000)",12345,67,0.75
6,Feet,Rest,47.98398160934448,0.7321428571428571,1.0,"(56, 32, 1000)","(140, 32, 1000)",12345,67,0.7142857142857143
6,Tongue,Rest,53.48346948623657,0.6428571428571429,1.0,"(56, 32, 1000)","(140, 32, 1000)",12345,67,0.6785714285714286
6,Mis,Rest,62.41497468948364,0.7678571428571429,1.0,"(56, 32, 1000)","(140, 32, 1000)",12345,67,0.7321428571428572
7,Hand,Rest,61.78364133834839,0.8571428571428571,1.0,"(56, 32, 1000)","(140, 32, 1000)",12345,67,0.8571428571428572
7,Feet,Rest,55.742502212524414,0.8928571428571429,1.0,"(56, 32, 1000)","(140, 32, 1000)",12345,67,0.8571428571428572
7,Tongue,Rest,59.65052032470703,0.7321428571428571,1.0,"(56, 32, 1000)","(140, 32, 1000)",12345,67,0.7321428571428572
7,Mis,Rest,58.14408755302429,0.7142857142857143,1.0,"(56, 32, 1000)","(140, 32, 1000)",12345,67,0.7321428571428572
9,Hand,Rest,57.66838574409485,0.9464285714285714,1.0,"(56, 32, 1000)","(140, 32, 1000)",12345,67,0.9285714285714286
9,Feet,Rest,53.282166481018066,0.8928571428571429,1.0,"(56, 32, 1000)","(140, 32, 1000)",12345,67,0.875
9,Tongue,Rest,58.364474058151245,0.7321428571428571,1.0,"(56, 32, 1000)","(140, 32, 1000)",12345,67,0.75
9,Mis,Rest,63.217549324035645,0.75,1.0,"(56, 32, 1000)","(140, 32, 1000)",12345,67,0.75
10,Hand,Rest,61.184000730514526,0.7857142857142857,1.0,"(56, 32, 1000)","(140, 32, 1000)",12345,67,0.7142857142857143
10,Feet,Rest,61.11001801490784,0.6428571428571429,1.0,"(56, 32, 1000)","(140, 32, 1000)",12345,67,0.5714285714285714
10,Tongue,Rest,52.30573582649231,0.7678571428571429,1.0,"(56, 32, 1000)","(140, 32, 1000)",12345,67,0.7678571428571428
10,Mis,Rest,60.740835189819336,0.9464285714285714,1.0,"(56, 32, 1000)","(140, 32, 1000)",12345,67,0.9464285714285714
11,Hand,Rest,57.04935789108277,0.9285714285714286,1.0,"(56, 32, 1000)","(140, 32, 1000)",12345,67,0.9285714285714286
11,Feet,Rest,54.82499933242798,0.9464285714285714,1.0,"(56, 32, 1000)","(140, 32, 1000)",12345,67,0.9464285714285714
11,Tongue,Rest,61.75216817855835,0.7142857142857143,1.0,"(56, 32, 1000)","(140, 32, 1000)",12345,67,0.6964285714285714
11,Mis,Rest,54.13663148880005,0.6785714285714286,1.0,"(56, 32, 1000)","(140, 32, 1000)",12345,67,0.6428571428571428
13,Hand,Rest,60.74324035644531,0.8392857142857143,1.0,"(56, 32, 1000)","(140, 32, 1000)",12345,67,0.75
13,Feet,Rest,49.91247797012329,0.875,1.0,"(56, 32, 1000)","(140, 32, 1000)",12345,67,0.875
13,Tongue,Rest,62.41067981719971,0.7857142857142857,1.0,"(56, 32, 1000)","(140, 32, 1000)",12345,67,0.7678571428571428
13,Mis,Rest,58.67519688606262,0.7857142857142857,1.0,"(56, 32, 1000)","(140, 32, 1000)",12345,67,0.7321428571428572
14,Hand,Rest,55.1315484046936,0.9107142857142856,1.0,"(56, 32, 1000)","(140, 32, 1000)",12345,67,0.8928571428571429
14,Feet,Rest,60.89795660972595,0.9107142857142856,1.0,"(56, 32, 1000)","(140, 32, 1000)",12345,67,0.8928571428571429
14,Tongue,Rest,61.41738557815552,0.8214285714285714,1.0,"(56, 32, 1000)","(140, 32, 1000)",12345,67,0.7678571428571428
14,Mis,Rest,63.43229579925537,0.7142857142857143,1.0,"(56, 32, 1000)","(140, 32, 1000)",12345,67,0.6785714285714286
