participant,class1,class2,running_time,test_acc,train_acc,test_size,train_size,train_block,test_block,test_acc_vote
3,Hand,Rest,61.67339825630188,0.875,1.0,"(56, 31, 1000)","(140, 31, 1000)",12345,67,0.8571428571428572
3,Feet,Rest,57.578805685043335,0.6785714285714286,1.0,"(56, 31, 1000)","(140, 31, 1000)",12345,67,0.6785714285714286
3,Tongue,Rest,52.26346158981323,0.8214285714285714,1.0,"(56, 31, 1000)","(140, 31, 1000)",12345,67,0.8214285714285714
3,Mis,Rest,61.31800413131714,0.8214285714285714,1.0,"(56, 31, 1000)","(140, 31, 1000)",12345,67,0.7857142857142857
4,Hand,Rest,62.612592935562134,0.8928571428571429,1.0,"(56, 31, 1000)","(140, 31, 1000)",12345,67,0.875
4,Feet,Rest,53.59111213684082,0.8928571428571429,1.0,"(56, 31, 1000)","(140, 31, 1000)",12345,67,0.8392857142857143
4,Tongue,Rest,60.83534550666809,0.7321428571428571,0.9928571428571428,"(56, 31, 1000)","(140, 31, 1000)",12345,67,0.6964285714285714
4,Mis,Rest,48.30705547332764,0.6071428571428571,1.0,"(56, 31, 1000)","(140, 31, 1000)",12345,67,0.5714285714285714
5,Hand,Rest,54.595027685165405,0.8571428571428571,1.0,"(56, 31, 1000)","(140, 31, 1000)",12345,67,0.8571428571428572
5,Feet,Rest,59.01454854011536,0.8214285714285714,1.0,"(56, 31, 1000)","(140, 31, 1000)",12345,67,0.8035714285714286
5,Tongue,Rest,63.01141119003296,0.75,1.0,"(56, 31, 1000)","(140, 31, 1000)",12345,67,0.7142857142857143
5,Mis,Rest,59.16724586486816,0.625,1.0,"(56, 31, 1000)","(140, 31, 1000)",12345,67,0.5714285714285714
6,Hand,Rest,55.75642657279968,0.7857142857142857,1.0,"(56, 31, 1000)","(140, 31, 1000)",12345,67,0.75
6,Feet,Rest,63.73396682739258,0.8214285714285714,1.0,"(56, 31, 1000)","(140, 31, 1000)",12345,67,0.7142857142857143
6,Tongue,Rest,60.829601764678955,0.6428571428571429,1.0,"(56, 31, 1000)","(140, 31, 1000)",12345,67,0.5892857142857143
6,Mis,Rest,54.1277813911438,0.7321428571428571,1.0,"(56, 31, 1000)","(140, 31, 1000)",12345,67,0.6607142857142857
7,Hand,Rest,61.96682405471802,0.8571428571428571,1.0,"(56, 31, 1000)","(140, 31, 1000)",12345,67,0.8571428571428572
7,Feet,Rest,62.426762342453,0.8392857142857143,1.0,"(56, 31, 1000)","(140, 31, 1000)",12345,67,0.875
7,Tongue,Rest,62.395533084869385,0.7142857142857143,1.0,"(56, 31, 1000)","(140, 31, 1000)",12345,67,0.625
7,Mis,Rest,52.62613129615784,0.6428571428571429,1.0,"(56, 31, 1000)","(140, 31, 1000)",12345,67,0.6607142857142857
9,Hand,Rest,62.37075996398926,0.8928571428571429,1.0,"(56, 31, 1000)","(140, 31, 1000)",12345,67,0.8214285714285714
9,Feet,Rest,60.14790654182434,0.8571428571428571,1.0,"(56, 31, 1000)","(140, 31, 1000)",12345,67,0.8392857142857143
9,Tongue,Rest,56.60390377044678,0.8035714285714286,1.0,"(56, 31, 1000)","(140, 31, 1000)",12345,67,0.7857142857142857
9,Mis,Rest,55.06885290145874,0.8214285714285714,1.0,"(56, 31, 1000)","(140, 31, 1000)",12345,67,0.8214285714285714
10,Hand,Rest,50.37119126319885,0.8214285714285714,1.0,"(56, 31, 1000)","(140, 31, 1000)",12345,67,0.7857142857142857
10,Feet,Rest,54.46604013442993,0.7321428571428571,1.0,"(56, 31, 1000)","(140, 31, 1000)",12345,67,0.6428571428571428
10,Tongue,Rest,63.75039196014404,0.7321428571428571,1.0,"(56, 31, 1000)","(140, 31, 1000)",12345,67,0.7321428571428572
10,Mis,Rest,52.40462064743042,0.8571428571428571,1.0,"(56, 31, 1000)","(140, 31, 1000)",12345,67,0.8571428571428572
11,Hand,Rest,61.59162521362305,0.8928571428571429,1.0,"(56, 31, 1000)","(140, 31, 1000)",12345,67,0.875
11,Feet,Rest,49.57713747024536,0.9464285714285714,0.9928571428571428,"(56, 31, 1000)","(140, 31, 1000)",12345,67,0.9464285714285714
11,Tongue,Rest,55.598225355148315,0.6071428571428571,1.0,"(56, 31, 1000)","(140, 31, 1000)",12345,67,0.6071428571428572
11,Mis,Rest,52.276310205459595,0.6964285714285714,1.0,"(56, 31, 1000)","(140, 31, 1000)",12345,67,0.625
13,Hand,Rest,62.86298632621765,0.625,1.0,"(56, 31, 1000)","(140, 31, 1000)",12345,67,0.5892857142857143
13,Feet,Rest,62.17745614051819,0.7142857142857143,1.0,"(56, 31, 1000)","(140, 31, 1000)",12345,67,0.6607142857142857
13,Tongue,Rest,62.62787389755249,0.7678571428571429,1.0,"(56, 31, 1000)","(140, 31, 1000)",12345,67,0.7857142857142857
13,Mis,Rest,62.42861580848694,0.8214285714285714,1.0,"(56, 31, 1000)","(140, 31, 1000)",12345,67,0.75
14,Hand,Rest,60.448713302612305,0.9464285714285714,1.0,"(56, 31, 1000)","(140, 31, 1000)",12345,67,0.9285714285714286
14,Feet,Rest,61.77839779853821,0.8214285714285714,1.0,"(56, 31, 1000)","(140, 31, 1000)",12345,67,0.7678571428571428
14,Tongue,Rest,60.14346694946289,0.6607142857142857,1.0,"(56, 31, 1000)","(140, 31, 1000)",12345,67,0.5892857142857143
14,Mis,Rest,62.012312173843384,0.75,1.0,"(56, 31, 1000)","(140, 31, 1000)",12345,67,0.7321428571428572
