participant,class1,class2,running_time,test_acc,train_acc,test_size,train_size,train_block,test_block,test_acc_vote
3,Hand,Rest,60.99238157272339,0.9107142857142856,1.0,"(56, 31, 1000)","(140, 31, 1000)",12345,67,0.9107142857142856
3,Feet,Rest,61.8726589679718,0.7142857142857143,1.0,"(56, 31, 1000)","(140, 31, 1000)",12345,67,0.6607142857142857
3,Tongue,Rest,55.87582230567932,0.7678571428571429,1.0,"(56, 31, 1000)","(140, 31, 1000)",12345,67,0.7321428571428572
3,Mis,Rest,62.558051109313965,0.8214285714285714,1.0,"(56, 31, 1000)","(140, 31, 1000)",12345,67,0.7678571428571428
4,Hand,Rest,62.11794304847717,0.875,0.9928571428571428,"(56, 31, 1000)","(140, 31, 1000)",12345,67,0.8571428571428572
4,Feet,Rest,61.79272556304931,0.8392857142857143,1.0,"(56, 31, 1000)","(140, 31, 1000)",12345,67,0.7857142857142857
4,Tongue,Rest,60.60145616531372,0.6964285714285714,1.0,"(56, 31, 1000)","(140, 31, 1000)",12345,67,0.6964285714285714
4,Mis,Rest,61.91685461997986,0.5357142857142857,1.0,"(56, 31, 1000)","(140, 31, 1000)",12345,67,0.5178571428571428
5,Hand,Rest,57.34615445137024,0.8035714285714286,1.0,"(56, 31, 1000)","(140, 31, 1000)",12345,67,0.8214285714285714
5,Feet,Rest,56.201181173324585,0.8035714285714286,1.0,"(56, 31, 1000)","(140, 31, 1000)",12345,67,0.7321428571428572
5,Tongue,Rest,57.82948803901672,0.7678571428571429,1.0,"(56, 31, 1000)","(140, 31, 1000)",12345,67,0.7142857142857143
5,Mis,Rest,51.083354234695435,0.8035714285714286,1.0,"(56, 31, 1000)","(140, 31, 1000)",12345,67,0.7321428571428572
6,Hand,Rest,61.75470209121704,0.7857142857142857,1.0,"(56, 31, 1000)","(140, 31, 1000)",12345,67,0.7857142857142857
6,Feet,Rest,61.37661957740784,0.7678571428571429,1.0,"(56, 31, 1000)","(140, 31, 1000)",12345,67,0.6964285714285714
6,Tongue,Rest,59.76707696914673,0.6428571428571429,1.0,"(56, 31, 1000)","(140, 31, 1000)",12345,67,0.6428571428571428
6,Mis,Rest,52.574175119400024,0.7142857142857143,1.0,"(56, 31, 1000)","(140, 31, 1000)",12345,67,0.6785714285714286
7,Hand,Rest,55.63447308540344,0.8214285714285714,1.0,"(56, 31, 1000)","(140, 31, 1000)",12345,67,0.8214285714285714
7,Feet,Rest,62.99682068824768,0.7321428571428571,1.0,"(56, 31, 1000)","(140, 31, 1000)",12345,67,0.75
7,Tongue,Rest,58.82463884353638,0.7321428571428571,1.0,"(56, 31, 1000)","(140, 31, 1000)",12345,67,0.75
7,Mis,Rest,55.188926458358765,0.5178571428571429,1.0,"(56, 31, 1000)","(140, 31, 1000)",12345,67,0.5
9,Hand,Rest,61.33225727081299,0.8392857142857143,1.0,"(56, 31, 1000)","(140, 31, 1000)",12345,67,0.7857142857142857
9,Feet,Rest,52.60425853729248,0.875,1.0,"(56, 31, 1000)","(140, 31, 1000)",12345,67,0.8571428571428572
9,Tongue,Rest,59.82461500167847,0.7678571428571429,1.0,"(56, 31, 1000)","(140, 31, 1000)",12345,67,0.8035714285714286
9,Mis,Rest,55.696189641952515,0.7678571428571429,1.0,"(56, 31, 1000)","(140, 31, 1000)",12345,67,0.7678571428571428
10,Hand,Rest,63.42856025695801,0.7678571428571429,1.0,"(56, 31, 1000)","(140, 31, 1000)",12345,67,0.6964285714285714
10,Feet,Rest,61.04620552062988,0.6607142857142857,1.0,"(56, 31, 1000)","(140, 31, 1000)",12345,67,0.5892857142857143
10,Tongue,Rest,61.375598430633545,0.6964285714285714,1.0,"(56, 31, 1000)","(140, 31, 1000)",12345,67,0.7142857142857143
10,Mis,Rest,61.15695858001709,0.9107142857142856,1.0,"(56, 31, 1000)","(140, 31, 1000)",12345,67,0.9285714285714286
11,Hand,Rest,57.83367872238159,0.9642857142857144,1.0,"(56, 31, 1000)","(140, 31, 1000)",12345,67,0.9642857142857144
11,Feet,Rest,52.97654938697815,0.9285714285714286,0.9928571428571428,"(56, 31, 1000)","(140, 31, 1000)",12345,67,0.9285714285714286
11,Tongue,Rest,62.23953866958618,0.7321428571428571,1.0,"(56, 31, 1000)","(140, 31, 1000)",12345,67,0.7142857142857143
11,Mis,Rest,61.50877499580383,0.6785714285714286,1.0,"(56, 31, 1000)","(140, 31, 1000)",12345,67,0.6428571428571428
13,Hand,Rest,53.01555347442627,0.7321428571428571,1.0,"(56, 31, 1000)","(140, 31, 1000)",12345,67,0.6607142857142857
13,Feet,Rest,60.61743497848511,0.75,1.0,"(56, 31, 1000)","(140, 31, 1000)",12345,67,0.7142857142857143
13,Tongue,Rest,55.18930888175965,0.8035714285714286,1.0,"(56, 31, 1000)","(140, 31, 1000)",12345,67,0.8571428571428572
13,Mis,Rest,54.56059145927429,0.7678571428571429,1.0,"(56, 31, 1000)","(140, 31, 1000)",12345,67,0.7678571428571428
14,Hand,Rest,59.17239332199097,0.9285714285714286,1.0,"(56, 31, 1000)","(140, 31, 1000)",12345,67,0.9107142857142856
14,Feet,Rest,51.509586572647095,0.7857142857142857,1.0,"(56, 31, 1000)","(140, 31, 1000)",12345,67,0.75
14,Tongue,Rest,58.82745671272278,0.6071428571428571,1.0,"(56, 31, 1000)","(140, 31, 1000)",12345,67,0.5535714285714286
14,Mis,Rest,56.3452672958374,0.7321428571428571,1.0,"(56, 31, 1000)","(140, 31, 1000)",12345,67,0.7321428571428572
