participant,class1,class2,running_time,test_acc,train_acc,test_size,train_size,train_block,test_block,test_acc_vote
3,Hand,Rest,54.00987243652344,0.8928571428571429,1.0,"(56, 32, 1000)","(140, 32, 1000)",12345,67,0.875
3,Feet,Rest,56.80930280685425,0.6964285714285714,1.0,"(56, 32, 1000)","(140, 32, 1000)",12345,67,0.6607142857142857
3,Tongue,Rest,53.09245085716248,0.7857142857142857,1.0,"(56, 32, 1000)","(140, 32, 1000)",12345,67,0.7142857142857143
3,Mis,Rest,60.310428857803345,0.875,1.0,"(56, 32, 1000)","(140, 32, 1000)",12345,67,0.8571428571428572
4,Hand,Rest,60.10097980499267,0.875,0.9928571428571428,"(56, 32, 1000)","(140, 32, 1000)",12345,67,0.8571428571428572
4,Feet,Rest,57.11868596076965,0.875,1.0,"(56, 32, 1000)","(140, 32, 1000)",12345,67,0.8392857142857143
4,Tongue,Rest,61.04910588264465,0.6785714285714286,1.0,"(56, 32, 1000)","(140, 32, 1000)",12345,67,0.625
4,Mis,Rest,61.85357904434204,0.5535714285714286,1.0,"(56, 32, 1000)","(140, 32, 1000)",12345,67,0.5
5,Hand,Rest,63.644690990448,0.7321428571428571,1.0,"(56, 32, 1000)","(140, 32, 1000)",12345,67,0.6428571428571428
5,Feet,Rest,62.064574241638184,0.6785714285714286,1.0,"(56, 32, 1000)","(140, 32, 1000)",12345,67,0.5892857142857143
5,Tongue,Rest,58.9702570438385,0.7321428571428571,1.0,"(56, 32, 1000)","(140, 32, 1000)",12345,67,0.7857142857142857
5,Mis,Rest,60.49928689002991,0.7142857142857143,1.0,"(56, 32, 1000)","(140, 32, 1000)",12345,67,0.6428571428571428
6,Hand,Rest,56.77023959159851,0.8035714285714286,1.0,"(56, 32, 1000)","(140, 32, 1000)",12345,67,0.75
6,Feet,Rest,57.34187459945679,0.7321428571428571,1.0,"(56, 32, 1000)","(140, 32, 1000)",12345,67,0.7321428571428572
6,Tongue,Rest,61.16526746749878,0.7678571428571429,1.0,"(56, 32, 1000)","(140, 32, 1000)",12345,67,0.7321428571428572
6,Mis,Rest,54.25110459327698,0.6964285714285714,1.0,"(56, 32, 1000)","(140, 32, 1000)",12345,67,0.6964285714285714
7,Hand,Rest,63.90367484092712,0.7678571428571429,1.0,"(56, 32, 1000)","(140, 32, 1000)",12345,67,0.7678571428571428
7,Feet,Rest,52.57974696159363,0.8214285714285714,1.0,"(56, 32, 1000)","(140, 32, 1000)",12345,67,0.8214285714285714
7,Tongue,Rest,58.89194178581238,0.6607142857142857,1.0,"(56, 32, 1000)","(140, 32, 1000)",12345,67,0.5892857142857143
7,Mis,Rest,58.41219139099121,0.7321428571428571,1.0,"(56, 32, 1000)","(140, 32, 1000)",12345,67,0.7678571428571428
9,Hand,Rest,58.901493072509766,0.8928571428571429,1.0,"(56, 32, 1000)","(140, 32, 1000)",12345,67,0.8392857142857143
9,Feet,Rest,50.57174110412598,0.875,1.0,"(56, 32, 1000)","(140, 32, 1000)",12345,67,0.8571428571428572
9,Tongue,Rest,54.05931544303894,0.7678571428571429,1.0,"(56, 32, 1000)","(140, 32, 1000)",12345,67,0.7678571428571428
9,Mis,Rest,61.58313035964966,0.75,1.0,"(56, 32, 1000)","(140, 32, 1000)",12345,67,0.75
10,Hand,Rest,60.23433017730713,0.75,1.0,"(56, 32, 1000)","(140, 32, 1000)",12345,67,0.7678571428571428
10,Feet,Rest,62.87637209892273,0.5357142857142857,1.0,"(56, 32, 1000)","(140, 32, 1000)",12345,67,0.5714285714285714
10,Tongue,Rest,62.785245418548584,0.7142857142857143,1.0,"(56, 32, 1000)","(140, 32, 1000)",12345,67,0.6785714285714286
10,Mis,Rest,59.669212102890015,0.875,1.0,"(56, 32, 1000)","(140, 32, 1000)",12345,67,0.8392857142857143
11,Hand,Rest,54.11975455284119,0.875,1.0,"(56, 32, 1000)","(140, 32, 1000)",12345,67,0.9107142857142856
11,Feet,Rest,62.0847761631012,0.8928571428571429,1.0,"(56, 32, 1000)","(140, 32, 1000)",12345,67,0.8928571428571429
11,Tongue,Rest,58.63336443901062,0.7142857142857143,1.0,"(56, 32, 1000)","(140, 32, 1000)",12345,67,0.6607142857142857
11,Mis,Rest,51.26272797584534,0.7321428571428571,1.0,"(56, 32, 1000)","(140, 32, 1000)",12345,67,0.7321428571428572
13,Hand,Rest,62.09973359107971,0.8035714285714286,1.0,"(56, 32, 1000)","(140, 32, 1000)",12345,67,0.75
13,Feet,Rest,60.26174736022949,0.7857142857142857,1.0,"(56, 32, 1000)","(140, 32, 1000)",12345,67,0.7857142857142857
13,Tongue,Rest,61.70859098434448,0.7321428571428571,1.0,"(56, 32, 1000)","(140, 32, 1000)",12345,67,0.7321428571428572
13,Mis,Rest,53.12736225128174,0.8392857142857143,1.0,"(56, 32, 1000)","(140, 32, 1000)",12345,67,0.7857142857142857
14,Hand,Rest,60.04254937171936,0.9107142857142856,1.0,"(56, 32, 1000)","(140, 32, 1000)",12345,67,0.875
14,Feet,Rest,61.31067895889282,0.875,1.0,"(56, 32, 1000)","(140, 32, 1000)",12345,67,0.8392857142857143
14,Tongue,Rest,62.15828990936279,0.75,1.0,"(56, 32, 1000)","(140, 32, 1000)",12345,67,0.6071428571428572
14,Mis,Rest,58.056586027145386,0.625,1.0,"(56, 32, 1000)","(140, 32, 1000)",12345,67,0.625
