participant,class1,class2,running_time,test_acc,train_acc,test_size,train_size,train_block,test_block,test_acc_vote
3,Hand,Rest,57.25773859024048,0.9107142857142856,1.0,"(56, 32, 1000)","(140, 32, 1000)",12345,67,0.8928571428571429
3,Feet,Rest,65.59701490402222,0.6428571428571429,1.0,"(56, 32, 1000)","(140, 32, 1000)",12345,67,0.625
3,Tongue,Rest,62.05676031112671,0.7321428571428571,1.0,"(56, 32, 1000)","(140, 32, 1000)",12345,67,0.7321428571428572
3,Mis,Rest,61.87728500366211,0.9107142857142856,1.0,"(56, 32, 1000)","(140, 32, 1000)",12345,67,0.9107142857142856
4,Hand,Rest,57.4055278301239,0.8928571428571429,0.9928571428571428,"(56, 32, 1000)","(140, 32, 1000)",12345,67,0.8571428571428572
4,Feet,Rest,61.64950489997864,0.8214285714285714,1.0,"(56, 32, 1000)","(140, 32, 1000)",12345,67,0.7857142857142857
4,Tongue,Rest,56.399163246154785,0.75,1.0,"(56, 32, 1000)","(140, 32, 1000)",12345,67,0.7321428571428572
4,Mis,Rest,60.795541286468506,0.6607142857142857,1.0,"(56, 32, 1000)","(140, 32, 1000)",12345,67,0.6428571428571428
5,Hand,Rest,61.41083788871765,0.75,1.0,"(56, 32, 1000)","(140, 32, 1000)",12345,67,0.7321428571428572
5,Feet,Rest,61.3724639415741,0.6607142857142857,1.0,"(56, 32, 1000)","(140, 32, 1000)",12345,67,0.6428571428571428
5,Tongue,Rest,61.290231466293335,0.6785714285714286,1.0,"(56, 32, 1000)","(140, 32, 1000)",12345,67,0.6428571428571428
5,Mis,Rest,60.69679880142212,0.8392857142857143,1.0,"(56, 32, 1000)","(140, 32, 1000)",12345,67,0.8035714285714286
6,Hand,Rest,57.44065284729004,0.7857142857142857,1.0,"(56, 32, 1000)","(140, 32, 1000)",12345,67,0.7142857142857143
6,Feet,Rest,54.04930782318115,0.8035714285714286,1.0,"(56, 32, 1000)","(140, 32, 1000)",12345,67,0.8214285714285714
6,Tongue,Rest,58.48357462882995,0.6785714285714286,1.0,"(56, 32, 1000)","(140, 32, 1000)",12345,67,0.6071428571428572
6,Mis,Rest,62.15822982788086,0.7142857142857143,1.0,"(56, 32, 1000)","(140, 32, 1000)",12345,67,0.6607142857142857
7,Hand,Rest,60.44852089881897,0.7678571428571429,1.0,"(56, 32, 1000)","(140, 32, 1000)",12345,67,0.7321428571428572
7,Feet,Rest,61.104424715042114,0.8392857142857143,1.0,"(56, 32, 1000)","(140, 32, 1000)",12345,67,0.8035714285714286
7,Tongue,Rest,62.54360818862915,0.7678571428571429,1.0,"(56, 32, 1000)","(140, 32, 1000)",12345,67,0.7142857142857143
7,Mis,Rest,62.46668314933777,0.7142857142857143,1.0,"(56, 32, 1000)","(140, 32, 1000)",12345,67,0.7142857142857143
9,Hand,Rest,62.043025732040405,0.9107142857142856,1.0,"(56, 32, 1000)","(140, 32, 1000)",12345,67,0.875
9,Feet,Rest,55.91964912414551,0.9285714285714286,1.0,"(56, 32, 1000)","(140, 32, 1000)",12345,67,0.9285714285714286
9,Tongue,Rest,55.66411089897156,0.7857142857142857,1.0,"(56, 32, 1000)","(140, 32, 1000)",12345,67,0.7678571428571428
9,Mis,Rest,55.83280038833618,0.7678571428571429,1.0,"(56, 32, 1000)","(140, 32, 1000)",12345,67,0.7678571428571428
10,Hand,Rest,61.99349570274353,0.7857142857142857,1.0,"(56, 32, 1000)","(140, 32, 1000)",12345,67,0.7857142857142857
10,Feet,Rest,62.75929927825928,0.6785714285714286,1.0,"(56, 32, 1000)","(140, 32, 1000)",12345,67,0.7321428571428572
10,Tongue,Rest,57.7691490650177,0.7321428571428571,1.0,"(56, 32, 1000)","(140, 32, 1000)",12345,67,0.7321428571428572
10,Mis,Rest,53.869139432907104,0.875,1.0,"(56, 32, 1000)","(140, 32, 1000)",12345,67,0.8571428571428572
11,Hand,Rest,53.2493896484375,0.9107142857142856,1.0,"(56, 32, 1000)","(140, 32, 1000)",12345,67,0.9107142857142856
11,Feet,Rest,55.553879737854,0.8928571428571429,1.0,"(56, 32, 1000)","(140, 32, 1000)",12345,67,0.8928571428571429
11,Tongue,Rest,50.91751742362976,0.7321428571428571,1.0,"(56, 32, 1000)","(140, 32, 1000)",12345,67,0.625
11,Mis,Rest,60.93940806388855,0.7142857142857143,1.0,"(56, 32, 1000)","(140, 32, 1000)",12345,67,0.7857142857142857
13,Hand,Rest,49.800936222076416,0.6607142857142857,1.0,"(56, 32, 1000)","(140, 32, 1000)",12345,67,0.6428571428571428
13,Feet,Rest,64.54632687568665,0.7678571428571429,1.0,"(56, 32, 1000)","(140, 32, 1000)",12345,67,0.7321428571428572
13,Tongue,Rest,62.32865858078003,0.7142857142857143,1.0,"(56, 32, 1000)","(140, 32, 1000)",12345,67,0.7321428571428572
13,Mis,Rest,54.495283365249634,0.7857142857142857,1.0,"(56, 32, 1000)","(140, 32, 1000)",12345,67,0.75
14,Hand,Rest,58.61751317977905,0.8928571428571429,1.0,"(56, 32, 1000)","(140, 32, 1000)",12345,67,0.8214285714285714
14,Feet,Rest,61.83920764923096,0.8392857142857143,1.0,"(56, 32, 1000)","(140, 32, 1000)",12345,67,0.8214285714285714
14,Tongue,Rest,61.41648721694946,0.75,1.0,"(56, 32, 1000)","(140, 32, 1000)",12345,67,0.7321428571428572
14,Mis,Rest,60.67884659767151,0.6964285714285714,1.0,"(56, 32, 1000)","(140, 32, 1000)",12345,67,0.6785714285714286
