participant,class1,class2,running_time,test_acc,train_acc,test_size,train_size,train_block,test_block,test_acc_vote
3,Hand,Rest,65.39247727394104,0.9107142857142856,1.0,"(56, 64, 1000)","(140, 64, 1000)",12345,67,0.9107142857142856
3,Feet,Rest,64.49614071846008,0.7321428571428571,1.0,"(56, 64, 1000)","(140, 64, 1000)",12345,67,0.625
3,Tongue,Rest,66.23442363739014,0.8214285714285714,1.0,"(56, 64, 1000)","(140, 64, 1000)",12345,67,0.7678571428571428
3,Mis,Rest,68.59155297279358,0.9107142857142856,1.0,"(56, 64, 1000)","(140, 64, 1000)",12345,67,0.9107142857142856
4,Hand,Rest,66.79185914993286,0.9285714285714286,1.0,"(56, 64, 1000)","(140, 64, 1000)",12345,67,0.8928571428571429
4,Feet,Rest,67.19598269462585,0.8571428571428571,1.0,"(56, 64, 1000)","(140, 64, 1000)",12345,67,0.7857142857142857
4,Tongue,Rest,68.7605528831482,0.75,1.0,"(56, 64, 1000)","(140, 64, 1000)",12345,67,0.7321428571428572
4,Mis,Rest,71.51147055625916,0.6071428571428571,1.0,"(56, 64, 1000)","(140, 64, 1000)",12345,67,0.5535714285714286
5,Hand,Rest,66.3071882724762,0.8571428571428571,1.0,"(56, 64, 1000)","(140, 64, 1000)",12345,67,0.8392857142857143
5,Feet,Rest,64.03204345703125,0.7857142857142857,1.0,"(56, 64, 1000)","(140, 64, 1000)",12345,67,0.8392857142857143
5,Tongue,Rest,66.6339271068573,0.8035714285714286,1.0,"(56, 64, 1000)","(140, 64, 1000)",12345,67,0.8035714285714286
5,Mis,Rest,69.86091136932373,0.875,1.0,"(56, 64, 1000)","(140, 64, 1000)",12345,67,0.8571428571428572
6,Hand,Rest,68.30015707015991,0.7142857142857143,1.0,"(56, 64, 1000)","(140, 64, 1000)",12345,67,0.7321428571428572
6,Feet,Rest,64.21133589744568,0.8571428571428571,1.0,"(56, 64, 1000)","(140, 64, 1000)",12345,67,0.8571428571428572
6,Tongue,Rest,65.7902193069458,0.8928571428571429,1.0,"(56, 64, 1000)","(140, 64, 1000)",12345,67,0.875
6,Mis,Rest,65.42769455909729,0.75,1.0,"(56, 64, 1000)","(140, 64, 1000)",12345,67,0.7142857142857143
7,Hand,Rest,62.39253902435303,0.75,1.0,"(56, 64, 1000)","(140, 64, 1000)",12345,67,0.7142857142857143
7,Feet,Rest,62.51981043815613,0.9107142857142856,1.0,"(56, 64, 1000)","(140, 64, 1000)",12345,67,0.9285714285714286
7,Tongue,Rest,62.377381324768066,0.6607142857142857,1.0,"(56, 64, 1000)","(140, 64, 1000)",12345,67,0.625
7,Mis,Rest,62.050172328948975,0.75,1.0,"(56, 64, 1000)","(140, 64, 1000)",12345,67,0.75
9,Hand,Rest,63.625465869903564,0.9285714285714286,1.0,"(56, 64, 1000)","(140, 64, 1000)",12345,67,0.8928571428571429
9,Feet,Rest,64.08222317695618,0.9464285714285714,1.0,"(56, 64, 1000)","(140, 64, 1000)",12345,67,0.9642857142857144
9,Tongue,Rest,63.26647067070007,0.875,1.0,"(56, 64, 1000)","(140, 64, 1000)",12345,67,0.8392857142857143
9,Mis,Rest,64.87456703186035,0.7857142857142857,1.0,"(56, 64, 1000)","(140, 64, 1000)",12345,67,0.7857142857142857
10,Hand,Rest,64.58997750282288,0.7321428571428571,1.0,"(56, 64, 1000)","(140, 64, 1000)",12345,67,0.75
10,Feet,Rest,64.72477602958679,0.5714285714285714,1.0,"(56, 64, 1000)","(140, 64, 1000)",12345,67,0.5892857142857143
10,Tongue,Rest,63.99202919006348,0.7321428571428571,1.0,"(56, 64, 1000)","(140, 64, 1000)",12345,67,0.6607142857142857
10,Mis,Rest,64.4370174407959,0.875,1.0,"(56, 64, 1000)","(140, 64, 1000)",12345,67,0.875
11,Hand,Rest,63.26068472862244,0.9642857142857144,1.0,"(56, 64, 1000)","(140, 64, 1000)",12345,67,0.9821428571428572
11,Feet,Rest,63.462706565856934,0.9464285714285714,1.0,"(56, 64, 1000)","(140, 64, 1000)",12345,67,0.9464285714285714
11,Tongue,Rest,63.491095304489136,0.6607142857142857,1.0,"(56, 64, 1000)","(140, 64, 1000)",12345,67,0.625
11,Mis,Rest,62.31910586357117,0.7321428571428571,1.0,"(56, 64, 1000)","(140, 64, 1000)",12345,67,0.6785714285714286
13,Hand,Rest,62.0719735622406,0.6607142857142857,1.0,"(56, 64, 1000)","(140, 64, 1000)",12345,67,0.6428571428571428
13,Feet,Rest,63.047741651535034,0.8392857142857143,1.0,"(56, 64, 1000)","(140, 64, 1000)",12345,67,0.8214285714285714
13,Tongue,Rest,62.67955446243286,0.8214285714285714,1.0,"(56, 64, 1000)","(140, 64, 1000)",12345,67,0.7678571428571428
13,Mis,Rest,62.46030902862549,0.8035714285714286,1.0,"(56, 64, 1000)","(140, 64, 1000)",12345,67,0.7321428571428572
14,Hand,Rest,62.406447410583496,0.9464285714285714,1.0,"(56, 64, 1000)","(140, 64, 1000)",12345,67,0.9285714285714286
14,Feet,Rest,61.97763705253601,0.8571428571428571,1.0,"(56, 64, 1000)","(140, 64, 1000)",12345,67,0.8214285714285714
14,Tongue,Rest,64.53194451332092,0.8571428571428571,1.0,"(56, 64, 1000)","(140, 64, 1000)",12345,67,0.8035714285714286
14,Mis,Rest,61.90402841567993,0.6964285714285714,1.0,"(56, 64, 1000)","(140, 64, 1000)",12345,67,0.6964285714285714
