participant,class1,class2,running_time,test_acc,train_acc,test_size,train_size,train_block,test_block,test_acc_vote
3,Hand,Rest,36.76684355735779,0.75,1.0,"(56, 64, 1000)","(140, 64, 1000)",12345,67,0.7142857142857143
3,Feet,Rest,36.94907760620117,0.6428571428571429,1.0,"(56, 64, 1000)","(140, 64, 1000)",12345,67,0.5535714285714286
3,Tongue,Rest,37.88957595825195,0.7678571428571429,1.0,"(56, 64, 1000)","(140, 64, 1000)",12345,67,0.6964285714285714
3,Mis,Rest,37.724928855896,0.8392857142857143,1.0,"(56, 64, 1000)","(140, 64, 1000)",12345,67,0.8214285714285714
4,Hand,Rest,36.677863359451294,0.5535714285714286,1.0,"(56, 64, 1000)","(140, 64, 1000)",12345,67,0.5535714285714286
4,Feet,Rest,37.819836139678955,0.8035714285714286,1.0,"(56, 64, 1000)","(140, 64, 1000)",12345,67,0.75
4,Tongue,Rest,42.35281324386597,0.6428571428571429,1.0,"(56, 64, 1000)","(140, 64, 1000)",12345,67,0.5714285714285714
4,Mis,Rest,41.28757047653198,0.6964285714285714,1.0,"(56, 64, 1000)","(140, 64, 1000)",12345,67,0.6785714285714286
5,Hand,Rest,43.93401312828064,0.8035714285714286,1.0,"(56, 64, 1000)","(140, 64, 1000)",12345,67,0.8035714285714286
5,Feet,Rest,39.97335362434387,0.5892857142857143,1.0,"(56, 64, 1000)","(140, 64, 1000)",12345,67,0.5357142857142857
5,Tongue,Rest,45.93035674095154,0.75,1.0,"(56, 64, 1000)","(140, 64, 1000)",12345,67,0.7678571428571428
5,Mis,Rest,44.44639277458191,0.8035714285714286,1.0,"(56, 64, 1000)","(140, 64, 1000)",12345,67,0.8035714285714286
6,Hand,Rest,40.74047207832336,0.7142857142857143,1.0,"(56, 64, 1000)","(140, 64, 1000)",12345,67,0.6607142857142857
6,Feet,Rest,41.14090180397034,0.7678571428571429,1.0,"(56, 64, 1000)","(140, 64, 1000)",12345,67,0.7857142857142857
6,Tongue,Rest,40.95728850364685,0.8392857142857143,1.0,"(56, 64, 1000)","(140, 64, 1000)",12345,67,0.8392857142857143
6,Mis,Rest,41.61794090270996,0.7678571428571429,1.0,"(56, 64, 1000)","(140, 64, 1000)",12345,67,0.6785714285714286
7,Hand,Rest,39.37032604217529,0.9107142857142856,1.0,"(56, 64, 1000)","(140, 64, 1000)",12345,67,0.8928571428571429
7,Feet,Rest,40.3663330078125,0.7857142857142857,1.0,"(56, 64, 1000)","(140, 64, 1000)",12345,67,0.8035714285714286
7,Tongue,Rest,41.87471318244934,0.6071428571428571,1.0,"(56, 64, 1000)","(140, 64, 1000)",12345,67,0.5892857142857143
7,Mis,Rest,39.89364504814148,0.5,0.9928571428571428,"(56, 64, 1000)","(140, 64, 1000)",12345,67,0.5357142857142857
9,Hand,Rest,43.51517701148987,0.75,0.9928571428571428,"(56, 64, 1000)","(140, 64, 1000)",12345,67,0.6607142857142857
9,Feet,Rest,40.82689142227173,0.9107142857142856,1.0,"(56, 64, 1000)","(140, 64, 1000)",12345,67,0.875
9,Tongue,Rest,40.42779278755188,0.625,1.0,"(56, 64, 1000)","(140, 64, 1000)",12345,67,0.6071428571428572
9,Mis,Rest,46.23915100097656,0.5535714285714286,1.0,"(56, 64, 1000)","(140, 64, 1000)",12345,67,0.5535714285714286
10,Hand,Rest,46.53703689575195,0.6785714285714286,1.0,"(56, 64, 1000)","(140, 64, 1000)",12345,67,0.6785714285714286
10,Feet,Rest,40.45910382270813,0.6607142857142857,1.0,"(56, 64, 1000)","(140, 64, 1000)",12345,67,0.625
10,Tongue,Rest,48.03892779350281,0.7142857142857143,1.0,"(56, 64, 1000)","(140, 64, 1000)",12345,67,0.6607142857142857
10,Mis,Rest,42.82429504394531,0.5535714285714286,1.0,"(56, 64, 1000)","(140, 64, 1000)",12345,67,0.5178571428571428
11,Hand,Rest,63.90601229667664,0.8392857142857143,1.0,"(56, 64, 1000)","(140, 64, 1000)",12345,67,0.8571428571428572
11,Feet,Rest,40.16237020492554,0.9464285714285714,0.9928571428571428,"(56, 64, 1000)","(140, 64, 1000)",12345,67,0.9464285714285714
11,Tongue,Rest,50.65171241760254,0.7678571428571429,1.0,"(56, 64, 1000)","(140, 64, 1000)",12345,67,0.8214285714285714
11,Mis,Rest,58.76118516921997,0.625,1.0,"(56, 64, 1000)","(140, 64, 1000)",12345,67,0.5357142857142857
13,Hand,Rest,39.13643741607666,0.625,1.0,"(56, 64, 1000)","(140, 64, 1000)",12345,67,0.5714285714285714
13,Feet,Rest,50.129643201828,0.75,1.0,"(56, 64, 1000)","(140, 64, 1000)",12345,67,0.75
13,Tongue,Rest,40.67848038673401,0.7857142857142857,1.0,"(56, 64, 1000)","(140, 64, 1000)",12345,67,0.7678571428571428
13,Mis,Rest,41.65708899497986,0.7321428571428571,0.9928571428571428,"(56, 64, 1000)","(140, 64, 1000)",12345,67,0.6607142857142857
14,Hand,Rest,50.58593225479126,0.9285714285714286,0.9928571428571428,"(56, 64, 1000)","(140, 64, 1000)",12345,67,0.9107142857142856
14,Feet,Rest,41.01124906539917,0.8392857142857143,1.0,"(56, 64, 1000)","(140, 64, 1000)",12345,67,0.8035714285714286
14,Tongue,Rest,48.94597411155701,0.6964285714285714,1.0,"(56, 64, 1000)","(140, 64, 1000)",12345,67,0.6785714285714286
14,Mis,Rest,41.99496555328369,0.5535714285714286,1.0,"(56, 64, 1000)","(140, 64, 1000)",12345,67,0.5535714285714286
