participant,class1,class2,running_time,test_acc,train_acc,test_size,train_size,train_block,test_block,test_acc_vote
9,Hand,Rest,97.71526265144348,0.875,0.9785714285714284,"(56, 64, 1000)","(140, 64, 1000)",12345,67,0.8571428571428572
9,Feet,Rest,97.13988757133484,0.9285714285714286,1.0,"(56, 64, 1000)","(140, 64, 1000)",12345,67,0.9464285714285714
9,Tongue,Rest,122.47768092155457,0.8035714285714286,1.0,"(56, 64, 1000)","(140, 64, 1000)",12345,67,0.7678571428571428
9,Mis,Rest,120.41226387023926,0.7321428571428571,0.9714285714285714,"(56, 64, 1000)","(140, 64, 1000)",12345,67,0.6964285714285714
9,Hand,Rest,54.97098779678345,0.9464285714285714,1.0,"(56, 64, 1000)","(140, 64, 1000)",12345,67,0.9285714285714286
9,Feet,Rest,47.117804527282715,0.9285714285714286,1.0,"(56, 64, 1000)","(140, 64, 1000)",12345,67,0.9464285714285714
9,Tongue,Rest,60.28945469856262,0.8035714285714286,1.0,"(56, 64, 1000)","(140, 64, 1000)",12345,67,0.7678571428571428
9,Mis,Rest,60.28553915023804,0.7678571428571429,1.0,"(56, 64, 1000)","(140, 64, 1000)",12345,67,0.7142857142857143
9,Hand,Rest,91.24737215042114,0.9464285714285714,1.0,"(56, 64, 1000)","(140, 64, 1000)",12345,67,0.9285714285714286
9,Feet,Rest,90.87780928611755,0.9285714285714286,1.0,"(56, 64, 1000)","(140, 64, 1000)",12345,67,0.9464285714285714
9,Tongue,Rest,73.69186329841614,0.8035714285714286,1.0,"(56, 64, 1000)","(140, 64, 1000)",12345,67,0.7678571428571428
9,Mis,Rest,63.11633634567261,0.7678571428571429,1.0,"(56, 64, 1000)","(140, 64, 1000)",12345,67,0.7142857142857143
9,Hand,Rest,128.74247407913208,0.9642857142857144,1.0,"(56, 64, 1000)","(140, 64, 1000)",12345,67,0.9464285714285714
9,Feet,Rest,122.23775148391724,0.9642857142857144,1.0,"(56, 64, 1000)","(140, 64, 1000)",12345,67,0.9821428571428572
9,Tongue,Rest,132.03907752037048,0.7142857142857143,1.0,"(56, 64, 1000)","(140, 64, 1000)",12345,67,0.6607142857142857
9,Mis,Rest,133.86501622200012,0.7678571428571429,1.0,"(56, 64, 1000)","(140, 64, 1000)",12345,67,0.75
9,Tongue,Rest,149.12334752082825,0.7142857142857143,1.0,"(56, 64, 1000)","(140, 64, 1000)",12345,67,0.6607142857142857
