participant,class1,class2,running_time,test_acc,train_acc,test_size,train_size,train_block,test_block,test_acc_vote
3,Hand,Rest,39.87583804130554,0.6,1.0,"(140, 64, 1000)","(56, 64, 1000)",12,34567,0.55
3,Feet,Rest,40.25881791114807,0.6071428571428571,1.0,"(140, 64, 1000)","(56, 64, 1000)",12,34567,0.5928571428571429
3,Tongue,Rest,41.298096895217896,0.6142857142857143,1.0,"(140, 64, 1000)","(56, 64, 1000)",12,34567,0.5785714285714285
3,Mis,Rest,41.4835102558136,0.6785714285714286,1.0,"(140, 64, 1000)","(56, 64, 1000)",12,34567,0.6357142857142857
4,Hand,Rest,39.63885712623596,0.8571428571428571,1.0,"(140, 64, 1000)","(56, 64, 1000)",12,34567,0.8428571428571429
4,Feet,Rest,40.126487731933594,0.7928571428571428,1.0,"(140, 64, 1000)","(56, 64, 1000)",12,34567,0.7428571428571429
4,Tongue,Rest,40.98694109916687,0.8142857142857143,1.0,"(140, 64, 1000)","(56, 64, 1000)",12,34567,0.7857142857142857
4,Mis,Rest,41.269025802612305,0.7642857142857142,1.0,"(140, 64, 1000)","(56, 64, 1000)",12,34567,0.7071428571428571
5,Hand,Rest,40.27673268318176,0.5285714285714286,1.0,"(140, 64, 1000)","(56, 64, 1000)",12,34567,0.5214285714285714
5,Feet,Rest,39.94176077842712,0.7714285714285715,1.0,"(140, 64, 1000)","(56, 64, 1000)",12,34567,0.7357142857142858
5,Tongue,Rest,41.04338359832764,0.7642857142857142,1.0,"(140, 64, 1000)","(56, 64, 1000)",12,34567,0.7357142857142858
5,Mis,Rest,41.112074851989746,0.5642857142857143,1.0,"(140, 64, 1000)","(56, 64, 1000)",12,34567,0.5571428571428572
6,Hand,Rest,40.475937604904175,0.6714285714285714,1.0,"(140, 64, 1000)","(56, 64, 1000)",12,34567,0.6285714285714286
6,Feet,Rest,39.99727964401245,0.7928571428571428,1.0,"(140, 64, 1000)","(56, 64, 1000)",12,34567,0.7357142857142858
6,Tongue,Rest,41.029370069503784,0.5357142857142857,1.0,"(140, 64, 1000)","(56, 64, 1000)",12,34567,0.5428571428571429
6,Mis,Rest,41.63197422027588,0.5214285714285715,1.0,"(140, 64, 1000)","(56, 64, 1000)",12,34567,0.5214285714285714
7,Hand,Rest,40.04191780090332,0.8785714285714286,1.0,"(140, 64, 1000)","(56, 64, 1000)",12,34567,0.8571428571428572
7,Feet,Rest,40.21762371063232,0.8,1.0,"(140, 64, 1000)","(56, 64, 1000)",12,34567,0.7714285714285715
7,Tongue,Rest,41.05229616165161,0.6642857142857143,1.0,"(140, 64, 1000)","(56, 64, 1000)",12,34567,0.6071428571428572
7,Mis,Rest,41.313074350357056,0.7142857142857143,1.0,"(140, 64, 1000)","(56, 64, 1000)",12,34567,0.7142857142857143
9,Hand,Rest,39.71346831321716,0.8642857142857143,1.0,"(140, 64, 1000)","(56, 64, 1000)",12,34567,0.8357142857142857
9,Feet,Rest,39.672664165496826,0.8142857142857143,1.0,"(140, 64, 1000)","(56, 64, 1000)",12,34567,0.7857142857142857
9,Tongue,Rest,41.23058867454529,0.7214285714285714,1.0,"(140, 64, 1000)","(56, 64, 1000)",12,34567,0.7
9,Mis,Rest,41.21011137962341,0.3785714285714285,1.0,"(140, 64, 1000)","(56, 64, 1000)",12,34567,0.3571428571428571
10,Hand,Rest,40.118014097213745,0.6214285714285714,1.0,"(140, 64, 1000)","(56, 64, 1000)",12,34567,0.5642857142857143
10,Feet,Rest,39.76455569267273,0.6142857142857143,1.0,"(140, 64, 1000)","(56, 64, 1000)",12,34567,0.5928571428571429
10,Tongue,Rest,41.39350986480713,0.6642857142857143,1.0,"(140, 64, 1000)","(56, 64, 1000)",12,34567,0.6285714285714286
10,Mis,Rest,41.290544509887695,0.6571428571428571,1.0,"(140, 64, 1000)","(56, 64, 1000)",12,34567,0.6285714285714286
11,Hand,Rest,40.067885398864746,0.7928571428571428,1.0,"(140, 64, 1000)","(56, 64, 1000)",12,34567,0.7571428571428571
11,Feet,Rest,40.07471680641174,0.95,1.0,"(140, 64, 1000)","(56, 64, 1000)",12,34567,0.9357142857142856
11,Tongue,Rest,41.03379774093628,0.6142857142857143,1.0,"(140, 64, 1000)","(56, 64, 1000)",12,34567,0.5928571428571429
11,Mis,Rest,41.76228880882263,0.5928571428571429,1.0,"(140, 64, 1000)","(56, 64, 1000)",12,34567,0.5571428571428572
13,Hand,Rest,39.88404583930969,0.6642857142857143,1.0,"(140, 64, 1000)","(56, 64, 1000)",12,34567,0.6428571428571428
13,Feet,Rest,40.125792264938354,0.6285714285714286,1.0,"(140, 64, 1000)","(56, 64, 1000)",12,34567,0.6
13,Tongue,Rest,41.483741998672485,0.7214285714285714,1.0,"(140, 64, 1000)","(56, 64, 1000)",12,34567,0.6571428571428571
13,Mis,Rest,41.430763244628906,0.6142857142857143,1.0,"(140, 64, 1000)","(56, 64, 1000)",12,34567,0.5785714285714285
14,Hand,Rest,39.89541339874267,0.7928571428571428,1.0,"(140, 64, 1000)","(56, 64, 1000)",12,34567,0.7285714285714286
14,Feet,Rest,40.032111167907715,0.6,1.0,"(140, 64, 1000)","(56, 64, 1000)",12,34567,0.5857142857142856
14,Tongue,Rest,41.83730053901672,0.6785714285714286,1.0,"(140, 64, 1000)","(56, 64, 1000)",12,34567,0.6785714285714286
14,Mis,Rest,41.297266721725464,0.5357142857142857,1.0,"(140, 64, 1000)","(56, 64, 1000)",12,34567,0.5285714285714286
