participant,class1,class2,running_time,test_acc,train_acc,test_size,train_size,train_block,test_block,test_acc_vote
3,Hand,Rest,38.50845241546631,0.5119047619047619,1.0,"(168, 64, 1000)","(28, 64, 1000)",1,234567,0.5
3,Feet,Rest,38.54703402519226,0.5297619047619048,1.0,"(168, 64, 1000)","(28, 64, 1000)",1,234567,0.5178571428571428
3,Tongue,Rest,40.036874294281006,0.5476190476190477,1.0,"(168, 64, 1000)","(28, 64, 1000)",1,234567,0.5416666666666667
3,Mis,Rest,39.76566410064697,0.5297619047619048,1.0,"(168, 64, 1000)","(28, 64, 1000)",1,234567,0.5297619047619048
4,Hand,Rest,38.37578058242798,0.7976190476190477,1.0,"(168, 64, 1000)","(28, 64, 1000)",1,234567,0.7738095238095238
4,Feet,Rest,38.673677921295166,0.6547619047619048,1.0,"(168, 64, 1000)","(28, 64, 1000)",1,234567,0.5952380952380952
4,Tongue,Rest,39.858123540878296,0.5297619047619048,1.0,"(168, 64, 1000)","(28, 64, 1000)",1,234567,0.5178571428571428
4,Mis,Rest,40.16491270065307,0.6190476190476191,1.0,"(168, 64, 1000)","(28, 64, 1000)",1,234567,0.5892857142857143
5,Hand,Rest,38.906760454177856,0.5952380952380952,1.0,"(168, 64, 1000)","(28, 64, 1000)",1,234567,0.6071428571428572
5,Feet,Rest,38.727004528045654,0.5119047619047619,1.0,"(168, 64, 1000)","(28, 64, 1000)",1,234567,0.494047619047619
5,Tongue,Rest,39.76790189743042,0.5833333333333334,1.0,"(168, 64, 1000)","(28, 64, 1000)",1,234567,0.5833333333333333
5,Mis,Rest,40.09085655212402,0.5476190476190477,1.0,"(168, 64, 1000)","(28, 64, 1000)",1,234567,0.5178571428571428
6,Hand,Rest,38.63234281539917,0.5833333333333334,1.0,"(168, 64, 1000)","(28, 64, 1000)",1,234567,0.5238095238095238
6,Feet,Rest,38.55047941207886,0.5714285714285714,1.0,"(168, 64, 1000)","(28, 64, 1000)",1,234567,0.5892857142857143
6,Tongue,Rest,39.464173316955566,0.5416666666666666,1.0,"(168, 64, 1000)","(28, 64, 1000)",1,234567,0.5357142857142857
6,Mis,Rest,39.87847900390625,0.6428571428571429,1.0,"(168, 64, 1000)","(28, 64, 1000)",1,234567,0.6190476190476191
7,Hand,Rest,38.596349000930786,0.6369047619047619,1.0,"(168, 64, 1000)","(28, 64, 1000)",1,234567,0.5773809523809523
7,Feet,Rest,38.62248992919922,0.5952380952380952,1.0,"(168, 64, 1000)","(28, 64, 1000)",1,234567,0.5476190476190477
7,Tongue,Rest,39.739399433135986,0.5357142857142857,1.0,"(168, 64, 1000)","(28, 64, 1000)",1,234567,0.5773809523809523
7,Mis,Rest,39.93431568145752,0.5,1.0,"(168, 64, 1000)","(28, 64, 1000)",1,234567,0.5
9,Hand,Rest,39.36348605155945,0.6428571428571429,1.0,"(168, 64, 1000)","(28, 64, 1000)",1,234567,0.6547619047619048
9,Feet,Rest,38.54827642440796,0.5892857142857143,1.0,"(168, 64, 1000)","(28, 64, 1000)",1,234567,0.5595238095238095
9,Tongue,Rest,39.853243350982666,0.5476190476190477,1.0,"(168, 64, 1000)","(28, 64, 1000)",1,234567,0.4821428571428571
9,Mis,Rest,40.08102560043335,0.494047619047619,1.0,"(168, 64, 1000)","(28, 64, 1000)",1,234567,0.5178571428571428
10,Hand,Rest,38.4207980632782,0.5892857142857143,1.0,"(168, 64, 1000)","(28, 64, 1000)",1,234567,0.5714285714285714
10,Feet,Rest,38.58054089546203,0.6369047619047619,1.0,"(168, 64, 1000)","(28, 64, 1000)",1,234567,0.6130952380952381
10,Tongue,Rest,39.69181442260742,0.6071428571428571,1.0,"(168, 64, 1000)","(28, 64, 1000)",1,234567,0.5357142857142857
10,Mis,Rest,40.05684232711792,0.625,1.0,"(168, 64, 1000)","(28, 64, 1000)",1,234567,0.5595238095238095
11,Hand,Rest,38.63569521903992,0.6130952380952381,1.0,"(168, 64, 1000)","(28, 64, 1000)",1,234567,0.5952380952380952
11,Feet,Rest,38.42404079437256,0.4642857142857143,1.0,"(168, 64, 1000)","(28, 64, 1000)",1,234567,0.4642857142857143
11,Tongue,Rest,39.86902379989624,0.5357142857142857,1.0,"(168, 64, 1000)","(28, 64, 1000)",1,234567,0.5357142857142857
11,Mis,Rest,39.658997774124146,0.4821428571428571,1.0,"(168, 64, 1000)","(28, 64, 1000)",1,234567,0.5
13,Hand,Rest,38.61438322067261,0.5714285714285714,1.0,"(168, 64, 1000)","(28, 64, 1000)",1,234567,0.5297619047619048
13,Feet,Rest,38.647296667099,0.6190476190476191,1.0,"(168, 64, 1000)","(28, 64, 1000)",1,234567,0.5773809523809523
13,Tongue,Rest,40.01853680610657,0.5297619047619048,1.0,"(168, 64, 1000)","(28, 64, 1000)",1,234567,0.5297619047619048
13,Mis,Rest,39.721088886260986,0.5714285714285714,1.0,"(168, 64, 1000)","(28, 64, 1000)",1,234567,0.5357142857142857
14,Hand,Rest,38.83088731765747,0.5892857142857143,1.0,"(168, 64, 1000)","(28, 64, 1000)",1,234567,0.5714285714285714
14,Feet,Rest,38.45396709442139,0.5416666666666666,1.0,"(168, 64, 1000)","(28, 64, 1000)",1,234567,0.5416666666666667
14,Tongue,Rest,40.03458786010742,0.5238095238095238,1.0,"(168, 64, 1000)","(28, 64, 1000)",1,234567,0.5238095238095238
14,Mis,Rest,39.911131143569946,0.5654761904761905,1.0,"(168, 64, 1000)","(28, 64, 1000)",1,234567,0.5595238095238095
