participant,class1,class2,running_time,test_acc,train_acc,test_size,train_size,train_block,test_block,test_acc_vote
3,Hand,Rest,56.10471153259277,0.8214285714285714,1.0,"(112, 64, 500)","(224, 64, 500)",1234,67,0.8482142857142857
3,Feet,Rest,55.3704948425293,0.5714285714285714,0.9910714285714286,"(112, 64, 500)","(224, 64, 500)",1234,67,0.5982142857142857
3,Tongue,Rest,54.91563034057617,0.625,1.0,"(112, 64, 500)","(224, 64, 500)",1234,67,0.5803571428571428
3,Mis,Rest,56.45041704177856,0.7589285714285714,1.0,"(112, 64, 500)","(224, 64, 500)",1234,67,0.7678571428571428
4,Hand,Rest,56.62741732597351,0.8303571428571429,1.0,"(112, 64, 500)","(224, 64, 500)",1234,67,0.8392857142857143
4,Feet,Rest,55.19854736328125,0.7232142857142857,0.9910714285714286,"(112, 64, 500)","(224, 64, 500)",1234,67,0.7410714285714286
4,Tongue,Rest,56.25422739982605,0.75,0.9866071428571428,"(112, 64, 500)","(224, 64, 500)",1234,67,0.7767857142857143
4,Mis,Rest,55.061659812927246,0.6875,1.0,"(112, 64, 500)","(224, 64, 500)",1234,67,0.6696428571428572
5,Hand,Rest,54.936418294906616,0.6339285714285714,1.0,"(112, 64, 500)","(224, 64, 500)",1234,67,0.5714285714285714
5,Feet,Rest,54.99389743804931,0.6964285714285714,1.0,"(112, 64, 500)","(224, 64, 500)",1234,67,0.7232142857142857
5,Tongue,Rest,55.22147846221924,0.7232142857142857,1.0,"(112, 64, 500)","(224, 64, 500)",1234,67,0.7410714285714286
5,Mis,Rest,56.24515652656555,0.7767857142857143,1.0,"(112, 64, 500)","(224, 64, 500)",1234,67,0.7946428571428572
6,Hand,Rest,56.32188677787781,0.5982142857142857,1.0,"(112, 64, 500)","(224, 64, 500)",1234,67,0.6071428571428572
6,Feet,Rest,54.96842384338379,0.75,0.9955357142857144,"(112, 64, 500)","(224, 64, 500)",1234,67,0.7321428571428572
6,Tongue,Rest,54.654104471206665,0.625,0.9821428571428572,"(112, 64, 500)","(224, 64, 500)",1234,67,0.625
6,Mis,Rest,54.99425220489502,0.6964285714285714,0.9955357142857144,"(112, 64, 500)","(224, 64, 500)",1234,67,0.7053571428571428
7,Hand,Rest,56.2279007434845,0.6071428571428571,1.0,"(112, 64, 500)","(224, 64, 500)",1234,67,0.5803571428571428
7,Feet,Rest,54.911524295806885,0.6696428571428571,1.0,"(112, 64, 500)","(224, 64, 500)",1234,67,0.6785714285714286
7,Tongue,Rest,55.708712339401245,0.5892857142857143,1.0,"(112, 64, 500)","(224, 64, 500)",1234,67,0.6607142857142857
7,Mis,Rest,56.61319828033447,0.5803571428571429,0.9910714285714286,"(112, 64, 500)","(224, 64, 500)",1234,67,0.5625
