participant,class1,class2,running_time,test_acc,train_acc,test_size,train_size,train_block,test_block,test_acc_vote
3,Hand,Rest,48.65634059906006,0.5779816513761468,1.0,"(218, 64, 1000)","(109, 64, 1000)",1,67,0.5642201834862386
3,Feet,Rest,47.8141508102417,0.5091743119266054,1.0,"(218, 64, 1000)","(109, 64, 1000)",1,67,0.5045871559633027
3,Tongue,Rest,47.809733390808105,0.4174311926605504,0.981651376146789,"(218, 64, 1000)","(109, 64, 1000)",1,67,0.3944954128440366
3,Mis,Rest,48.09529089927673,0.7201834862385321,0.9724770642201837,"(218, 64, 1000)","(109, 64, 1000)",1,67,0.7293577981651376
4,Hand,Rest,48.02603077888489,0.7752293577981652,1.0,"(218, 64, 1000)","(109, 64, 1000)",1,67,0.7981651376146789
4,Feet,Rest,48.81743383407593,0.5963302752293578,0.9908256880733946,"(218, 64, 1000)","(109, 64, 1000)",1,67,0.591743119266055
4,Tongue,Rest,48.5548951625824,0.6834862385321101,0.9908256880733946,"(218, 64, 1000)","(109, 64, 1000)",1,67,0.6788990825688073
4,Mis,Rest,48.27516341209411,0.6513761467889908,0.9908256880733946,"(218, 64, 1000)","(109, 64, 1000)",1,67,0.6559633027522935
5,Hand,Rest,48.094066858291626,0.5871559633027523,1.0,"(218, 64, 1000)","(109, 64, 1000)",1,67,0.6055045871559632
5,Feet,Rest,47.94430994987488,0.4908256880733945,1.0,"(218, 64, 1000)","(109, 64, 1000)",1,67,0.4770642201834862
5,Tongue,Rest,48.65265893936157,0.5275229357798165,1.0,"(218, 64, 1000)","(109, 64, 1000)",1,67,0.5321100917431192
5,Mis,Rest,48.6110954284668,0.5045871559633027,1.0,"(218, 64, 1000)","(109, 64, 1000)",1,67,0.5
6,Hand,Rest,48.1420476436615,0.6422018348623854,0.9724770642201837,"(218, 64, 1000)","(109, 64, 1000)",1,67,0.6697247706422018
6,Feet,Rest,48.29204034805298,0.5412844036697247,0.9908256880733946,"(218, 64, 1000)","(109, 64, 1000)",1,67,0.536697247706422
6,Tongue,Rest,48.559266090393066,0.6055045871559633,0.981651376146789,"(218, 64, 1000)","(109, 64, 1000)",1,67,0.6009174311926606
6,Mis,Rest,48.6625542640686,0.5825688073394495,0.981651376146789,"(218, 64, 1000)","(109, 64, 1000)",1,67,0.5871559633027523
7,Hand,Rest,48.59439563751221,0.7706422018348624,1.0,"(218, 64, 1000)","(109, 64, 1000)",1,67,0.7798165137614679
7,Feet,Rest,48.768465995788574,0.6238532110091743,0.9908256880733946,"(218, 64, 1000)","(109, 64, 1000)",1,67,0.6238532110091743
7,Tongue,Rest,48.58198523521423,0.4954128440366973,1.0,"(218, 64, 1000)","(109, 64, 1000)",1,67,0.5
7,Mis,Rest,48.27991080284119,0.5688073394495413,1.0,"(218, 64, 1000)","(109, 64, 1000)",1,67,0.5504587155963303
9,Hand,Rest,49.0115602016449,0.8715596330275229,0.9724770642201837,"(218, 64, 1000)","(109, 64, 1000)",1,67,0.8715596330275229
9,Feet,Rest,48.781423568725586,0.6330275229357798,1.0,"(218, 64, 1000)","(109, 64, 1000)",1,67,0.6146788990825688
9,Tongue,Rest,48.278815507888794,0.5045871559633027,1.0,"(218, 64, 1000)","(109, 64, 1000)",1,67,0.5091743119266054
9,Mis,Rest,48.94418239593506,0.481651376146789,0.9908256880733946,"(218, 64, 1000)","(109, 64, 1000)",1,67,0.4678899082568807
10,Hand,Rest,48.89586305618286,0.6467889908256881,0.9908256880733946,"(218, 64, 1000)","(109, 64, 1000)",1,67,0.6559633027522935
10,Feet,Rest,48.45345711708069,0.6055045871559633,1.0,"(218, 64, 1000)","(109, 64, 1000)",1,67,0.6100917431192661
10,Tongue,Rest,48.326092004776,0.5,0.9908256880733946,"(218, 64, 1000)","(109, 64, 1000)",1,67,0.4908256880733945
10,Mis,Rest,48.77833914756775,0.5412844036697247,1.0,"(218, 64, 1000)","(109, 64, 1000)",1,67,0.5458715596330275
11,Hand,Rest,48.19077181816101,0.6146788990825688,1.0,"(218, 64, 1000)","(109, 64, 1000)",1,67,0.6238532110091743
11,Feet,Rest,48.32396936416626,0.7522935779816514,1.0,"(218, 64, 1000)","(109, 64, 1000)",1,67,0.7522935779816513
11,Tongue,Rest,48.69339156150818,0.518348623853211,1.0,"(218, 64, 1000)","(109, 64, 1000)",1,67,0.5137614678899083
11,Mis,Rest,48.181599617004395,0.5137614678899083,0.9908256880733946,"(218, 64, 1000)","(109, 64, 1000)",1,67,0.518348623853211
13,Hand,Rest,48.395058155059814,0.5412844036697247,0.9908256880733946,"(218, 64, 1000)","(109, 64, 1000)",1,67,0.5321100917431192
13,Feet,Rest,48.21535277366638,0.7247706422018348,1.0,"(218, 64, 1000)","(109, 64, 1000)",1,67,0.7247706422018348
13,Tongue,Rest,47.93995833396912,0.5596330275229358,1.0,"(218, 64, 1000)","(109, 64, 1000)",1,67,0.555045871559633
13,Mis,Rest,48.65511918067932,0.6192660550458715,0.9908256880733946,"(218, 64, 1000)","(109, 64, 1000)",1,67,0.6192660550458715
14,Hand,Rest,48.13598585128784,0.6972477064220184,1.0,"(218, 64, 1000)","(109, 64, 1000)",1,67,0.7018348623853211
