participant,class1,class2,running_time,test_acc,train_acc,test_size,train_size,train_block,test_block,test_acc_vote
3,Hand,Rest,52.09134459495544,0.581081081081081,0.9954954954954957,"(222, 64, 500)","(222, 64, 500)",12,67,0.5675675675675675
3,Feet,Rest,53.61427187919617,0.6441441441441441,0.954954954954955,"(222, 64, 500)","(222, 64, 500)",12,67,0.6441441441441442
3,Tongue,Rest,52.899219036102295,0.5675675675675675,0.9864864864864864,"(222, 64, 500)","(222, 64, 500)",12,67,0.5405405405405406
3,Mis,Rest,53.50018548965454,0.5945945945945946,0.9954954954954957,"(222, 64, 500)","(222, 64, 500)",12,67,0.5765765765765766
4,Hand,Rest,53.26305603981018,0.8018018018018018,0.990990990990991,"(222, 64, 500)","(222, 64, 500)",12,67,0.8153153153153153
4,Feet,Rest,52.64058995246887,0.6801801801801802,0.963963963963964,"(222, 64, 500)","(222, 64, 500)",12,67,0.7072072072072072
4,Tongue,Rest,53.1684672832489,0.6801801801801802,0.972972972972973,"(222, 64, 500)","(222, 64, 500)",12,67,0.7027027027027026
4,Mis,Rest,53.890408754348755,0.6621621621621622,0.9684684684684683,"(222, 64, 500)","(222, 64, 500)",12,67,0.6801801801801801
5,Hand,Rest,53.63576006889343,0.5045045045045045,1.0,"(222, 64, 500)","(222, 64, 500)",12,67,0.509009009009009
5,Feet,Rest,53.424986362457275,0.6981981981981982,1.0,"(222, 64, 500)","(222, 64, 500)",12,67,0.6891891891891893
5,Tongue,Rest,52.89405393600464,0.6981981981981982,1.0,"(222, 64, 500)","(222, 64, 500)",12,67,0.6936936936936937
5,Mis,Rest,52.79276609420776,0.7387387387387387,1.0,"(222, 64, 500)","(222, 64, 500)",12,67,0.7477477477477478
6,Hand,Rest,52.73049807548523,0.6621621621621622,1.0,"(222, 64, 500)","(222, 64, 500)",12,67,0.6711711711711712
6,Feet,Rest,52.97735643386841,0.5585585585585585,0.990990990990991,"(222, 64, 500)","(222, 64, 500)",12,67,0.5585585585585586
