participant,class1,class2,running_time,test_acc,train_acc,test_size,train_size,train_block,test_block,test_acc_vote
3,Hand,Rest,26.11368227005005,0.4732142857142857,1.0,"(112, 64, 500)","(56, 64, 500)",1,67,0.4375
3,Feet,Rest,26.394352197647095,0.5446428571428571,1.0,"(112, 64, 500)","(56, 64, 500)",1,67,0.5178571428571428
3,Tongue,Rest,26.324316263198853,0.4821428571428571,1.0,"(112, 64, 500)","(56, 64, 500)",1,67,0.4910714285714286
3,Mis,Rest,26.04944682121277,0.5892857142857143,1.0,"(112, 64, 500)","(56, 64, 500)",1,67,0.5803571428571428
4,Hand,Rest,26.257495880126953,0.7053571428571429,1.0,"(112, 64, 500)","(56, 64, 500)",1,67,0.7053571428571428
4,Feet,Rest,26.216575622558594,0.7410714285714286,1.0,"(112, 64, 500)","(56, 64, 500)",1,67,0.7857142857142857
4,Tongue,Rest,26.861766815185547,0.6607142857142857,1.0,"(112, 64, 500)","(56, 64, 500)",1,67,0.6607142857142857
4,Mis,Rest,26.57928228378296,0.5714285714285714,1.0,"(112, 64, 500)","(56, 64, 500)",1,67,0.5714285714285714
5,Hand,Rest,26.987475872039795,0.4910714285714285,1.0,"(112, 64, 500)","(56, 64, 500)",1,67,0.4910714285714286
5,Feet,Rest,26.91451382637024,0.5267857142857143,1.0,"(112, 64, 500)","(56, 64, 500)",1,67,0.5089285714285714
5,Tongue,Rest,26.869470596313477,0.4821428571428571,1.0,"(112, 64, 500)","(56, 64, 500)",1,67,0.4910714285714286
5,Mis,Rest,26.89355444908142,0.5089285714285714,1.0,"(112, 64, 500)","(56, 64, 500)",1,67,0.5089285714285714
6,Hand,Rest,26.536541223526,0.4910714285714285,1.0,"(112, 64, 500)","(56, 64, 500)",1,67,0.5357142857142857
6,Feet,Rest,26.437471389770508,0.5714285714285714,1.0,"(112, 64, 500)","(56, 64, 500)",1,67,0.5357142857142857
6,Tongue,Rest,26.37640643119812,0.5357142857142857,1.0,"(112, 64, 500)","(56, 64, 500)",1,67,0.5446428571428572
6,Mis,Rest,26.26829481124878,0.5714285714285714,1.0,"(112, 64, 500)","(56, 64, 500)",1,67,0.5892857142857143
7,Hand,Rest,26.176167249679565,0.5892857142857143,1.0,"(112, 64, 500)","(56, 64, 500)",1,67,0.5982142857142857
7,Feet,Rest,26.399086713790897,0.5446428571428571,1.0,"(112, 64, 500)","(56, 64, 500)",1,67,0.625
7,Tongue,Rest,26.056389808654785,0.5,1.0,"(112, 64, 500)","(56, 64, 500)",1,67,0.5089285714285714
7,Mis,Rest,26.299142599105835,0.5714285714285714,1.0,"(112, 64, 500)","(56, 64, 500)",1,67,0.5892857142857143
9,Hand,Rest,26.347786903381348,0.7232142857142857,1.0,"(112, 64, 500)","(56, 64, 500)",1,67,0.75
9,Feet,Rest,27.119245290756226,0.5178571428571429,1.0,"(112, 64, 500)","(56, 64, 500)",1,67,0.5
9,Tongue,Rest,27.151402473449707,0.5,1.0,"(112, 64, 500)","(56, 64, 500)",1,67,0.5178571428571428
9,Mis,Rest,26.872830152511597,0.4107142857142857,1.0,"(112, 64, 500)","(56, 64, 500)",1,67,0.4285714285714286
10,Hand,Rest,26.910974502563477,0.4732142857142857,1.0,"(112, 64, 500)","(56, 64, 500)",1,67,0.4642857142857143
10,Feet,Rest,27.080871105194092,0.5267857142857143,1.0,"(112, 64, 500)","(56, 64, 500)",1,67,0.5446428571428572
10,Tongue,Rest,26.719918727874756,0.5357142857142857,1.0,"(112, 64, 500)","(56, 64, 500)",1,67,0.5089285714285714
10,Mis,Rest,26.46371626853943,0.5446428571428571,1.0,"(112, 64, 500)","(56, 64, 500)",1,67,0.5357142857142857
11,Hand,Rest,26.56471085548401,0.6517857142857143,1.0,"(112, 64, 500)","(56, 64, 500)",1,67,0.6339285714285714
11,Feet,Rest,26.567312717437744,0.8214285714285714,1.0,"(112, 64, 500)","(56, 64, 500)",1,67,0.8660714285714286
11,Tongue,Rest,26.45838499069214,0.5446428571428571,1.0,"(112, 64, 500)","(56, 64, 500)",1,67,0.5267857142857143
11,Mis,Rest,26.71485066413879,0.5178571428571429,1.0,"(112, 64, 500)","(56, 64, 500)",1,67,0.5
13,Hand,Rest,26.710284948349,0.5892857142857143,1.0,"(112, 64, 500)","(56, 64, 500)",1,67,0.5892857142857143
13,Feet,Rest,26.408421754837036,0.5803571428571429,1.0,"(112, 64, 500)","(56, 64, 500)",1,67,0.5714285714285714
