participant,class1,class2,running_time,test_acc,train_acc,test_size,train_size,train_block,test_block,test_acc_vote
3,Hand,Rest,54.681944608688354,0.8482142857142857,1.0,"(112, 64, 500)","(224, 64, 500)",1234,67,0.9196428571428572
3,Feet,Rest,55.20221447944641,0.6339285714285714,1.0,"(112, 64, 500)","(224, 64, 500)",1234,67,0.6607142857142857
3,Tongue,Rest,55.208566665649414,0.6875,1.0,"(112, 64, 500)","(224, 64, 500)",1234,67,0.6875
3,Mis,Rest,54.82980442047119,0.7678571428571429,1.0,"(112, 64, 500)","(224, 64, 500)",1234,67,0.7857142857142857
4,Hand,Rest,55.27368187904358,0.8660714285714286,1.0,"(112, 64, 500)","(224, 64, 500)",1234,67,0.875
4,Feet,Rest,55.55235171318054,0.7321428571428571,1.0,"(112, 64, 500)","(224, 64, 500)",1234,67,0.7053571428571428
4,Tongue,Rest,55.10546803474426,0.7946428571428571,1.0,"(112, 64, 500)","(224, 64, 500)",1234,67,0.7946428571428572
4,Mis,Rest,55.1419780254364,0.7678571428571429,1.0,"(112, 64, 500)","(224, 64, 500)",1234,67,0.7767857142857143
5,Hand,Rest,55.12241554260254,0.75,1.0,"(112, 64, 500)","(224, 64, 500)",1234,67,0.75
5,Feet,Rest,55.56177711486816,0.625,1.0,"(112, 64, 500)","(224, 64, 500)",1234,67,0.6160714285714286
5,Tongue,Rest,56.258843421936035,0.7232142857142857,1.0,"(112, 64, 500)","(224, 64, 500)",1234,67,0.75
5,Mis,Rest,56.586313009262085,0.6785714285714286,1.0,"(112, 64, 500)","(224, 64, 500)",1234,67,0.6517857142857143
6,Hand,Rest,56.53606867790222,0.6964285714285714,1.0,"(112, 64, 500)","(224, 64, 500)",1234,67,0.7410714285714286
6,Feet,Rest,56.45465683937073,0.7053571428571429,1.0,"(112, 64, 500)","(224, 64, 500)",1234,67,0.6785714285714286
6,Tongue,Rest,55.74563717842102,0.6607142857142857,1.0,"(112, 64, 500)","(224, 64, 500)",1234,67,0.6964285714285714
6,Mis,Rest,55.842954874038696,0.6785714285714286,1.0,"(112, 64, 500)","(224, 64, 500)",1234,67,0.7410714285714286
7,Hand,Rest,55.71779179573059,0.7767857142857143,1.0,"(112, 64, 500)","(224, 64, 500)",1234,67,0.8303571428571428
7,Feet,Rest,55.89187049865723,0.8125,1.0,"(112, 64, 500)","(224, 64, 500)",1234,67,0.8303571428571428
7,Tongue,Rest,56.68782377243042,0.6607142857142857,1.0,"(112, 64, 500)","(224, 64, 500)",1234,67,0.6785714285714286
7,Mis,Rest,56.796870946884155,0.75,1.0,"(112, 64, 500)","(224, 64, 500)",1234,67,0.7678571428571428
9,Hand,Rest,55.59498143196106,0.8214285714285714,1.0,"(112, 64, 500)","(224, 64, 500)",1234,67,0.8571428571428572
9,Feet,Rest,56.92419648170471,0.8571428571428571,1.0,"(112, 64, 500)","(224, 64, 500)",1234,67,0.8571428571428572
9,Tongue,Rest,56.92634844779968,0.7857142857142857,1.0,"(112, 64, 500)","(224, 64, 500)",1234,67,0.8392857142857143
9,Mis,Rest,56.66694951057434,0.7142857142857143,1.0,"(112, 64, 500)","(224, 64, 500)",1234,67,0.7321428571428572
10,Hand,Rest,57.04212260246277,0.7053571428571429,1.0,"(112, 64, 500)","(224, 64, 500)",1234,67,0.6696428571428572
10,Feet,Rest,56.59726810455322,0.6607142857142857,1.0,"(112, 64, 500)","(224, 64, 500)",1234,67,0.6607142857142857
10,Tongue,Rest,57.708165884017944,0.6428571428571429,1.0,"(112, 64, 500)","(224, 64, 500)",1234,67,0.6160714285714286
10,Mis,Rest,56.05743932723999,0.7321428571428571,1.0,"(112, 64, 500)","(224, 64, 500)",1234,67,0.7232142857142857
11,Hand,Rest,57.00709319114685,0.7946428571428571,1.0,"(112, 64, 500)","(224, 64, 500)",1234,67,0.8214285714285714
11,Feet,Rest,55.67282032966614,0.9285714285714286,1.0,"(112, 64, 500)","(224, 64, 500)",1234,67,0.9285714285714286
11,Tongue,Rest,55.542847633361816,0.6696428571428571,1.0,"(112, 64, 500)","(224, 64, 500)",1234,67,0.6428571428571428
11,Mis,Rest,55.967663526535034,0.625,1.0,"(112, 64, 500)","(224, 64, 500)",1234,67,0.625
13,Hand,Rest,55.91509771347046,0.75,1.0,"(112, 64, 500)","(224, 64, 500)",1234,67,0.8035714285714286
13,Feet,Rest,56.76413154602051,0.75,1.0,"(112, 64, 500)","(224, 64, 500)",1234,67,0.75
13,Tongue,Rest,57.02767777442932,0.7142857142857143,1.0,"(112, 64, 500)","(224, 64, 500)",1234,67,0.6964285714285714
13,Mis,Rest,55.72693610191345,0.7321428571428571,1.0,"(112, 64, 500)","(224, 64, 500)",1234,67,0.7232142857142857
14,Hand,Rest,56.69024300575256,0.8392857142857143,1.0,"(112, 64, 500)","(224, 64, 500)",1234,67,0.8303571428571428
14,Feet,Rest,55.68625068664551,0.7142857142857143,1.0,"(112, 64, 500)","(224, 64, 500)",1234,67,0.7053571428571428
14,Tongue,Rest,56.12179207801819,0.6875,1.0,"(112, 64, 500)","(224, 64, 500)",1234,67,0.7321428571428572
14,Mis,Rest,57.17132353782654,0.6517857142857143,1.0,"(112, 64, 500)","(224, 64, 500)",1234,67,0.6875
15,Hand,Rest,54.666476249694824,0.8214285714285714,1.0,"(112, 64, 500)","(206, 64, 500)",1234,67,0.8482142857142857
15,Feet,Rest,56.35975193977356,0.7232142857142857,1.0,"(112, 64, 500)","(224, 64, 500)",1234,67,0.7589285714285714
15,Tongue,Rest,56.87165069580078,0.7410714285714286,1.0,"(112, 64, 500)","(224, 64, 500)",1234,67,0.7589285714285714
15,Mis,Rest,56.65855836868286,0.6517857142857143,1.0,"(112, 64, 500)","(224, 64, 500)",1234,67,0.6339285714285714
16,Hand,Rest,56.02025079727173,0.6071428571428571,1.0,"(112, 64, 500)","(224, 64, 500)",1234,67,0.6785714285714286
16,Feet,Rest,55.808850049972534,0.6964285714285714,1.0,"(112, 64, 500)","(224, 64, 500)",1234,67,0.7053571428571428
16,Tongue,Rest,56.10972356796265,0.75,1.0,"(112, 64, 500)","(224, 64, 500)",1234,67,0.8303571428571428
16,Mis,Rest,57.634501934051514,0.7857142857142857,1.0,"(112, 64, 500)","(224, 64, 500)",1234,67,0.8035714285714286
17,Hand,Rest,56.89603900909424,0.7678571428571429,1.0,"(112, 64, 500)","(224, 64, 500)",1234,67,0.8035714285714286
17,Feet,Rest,56.108771085739136,0.6785714285714286,1.0,"(112, 64, 500)","(224, 64, 500)",1234,67,0.6428571428571428
17,Tongue,Rest,55.91063499450683,0.7142857142857143,1.0,"(112, 64, 500)","(224, 64, 500)",1234,67,0.6875
17,Mis,Rest,56.939375162124634,0.7857142857142857,1.0,"(112, 64, 500)","(224, 64, 500)",1234,67,0.8125
18,Hand,Rest,57.03765940666199,0.6517857142857143,1.0,"(112, 64, 500)","(224, 64, 500)",1234,67,0.6517857142857143
18,Feet,Rest,57.088382720947266,0.7678571428571429,1.0,"(112, 64, 500)","(224, 64, 500)",1234,67,0.8214285714285714
18,Tongue,Rest,56.76366686820984,0.7767857142857143,1.0,"(112, 64, 500)","(224, 64, 500)",1234,67,0.7678571428571428
18,Mis,Rest,57.0732057094574,0.7142857142857143,1.0,"(112, 64, 500)","(224, 64, 500)",1234,67,0.7410714285714286
19,Hand,Rest,56.69574952125549,0.8571428571428571,1.0,"(112, 64, 500)","(224, 64, 500)",1234,67,0.875
19,Feet,Rest,56.084635734558105,0.6160714285714286,1.0,"(112, 64, 500)","(224, 64, 500)",1234,67,0.6071428571428572
19,Tongue,Rest,57.21530795097351,0.8303571428571429,1.0,"(112, 64, 500)","(224, 64, 500)",1234,67,0.8571428571428572
19,Mis,Rest,56.38790345191955,0.7678571428571429,1.0,"(112, 64, 500)","(224, 64, 500)",1234,67,0.8125
