participant,class1,class2,running_time,test_acc,train_acc,test_size,train_size,train_block,test_block,test_acc_vote
3,Hand,Rest,77.41778421401978,0.8636363636363636,1.0,"(110, 64, 1000)","(275, 64, 1000)",1234,56,0.8909090909090909
3,Feet,Rest,154.5789988040924,0.7,1.0,"(110, 64, 1000)","(275, 64, 1000)",1234,56,0.6818181818181819
3,Tongue,Rest,233.02754592895508,0.7090909090909091,1.0,"(110, 64, 1000)","(275, 64, 1000)",1234,56,0.6636363636363636
3,Mis,Rest,311.08638167381287,0.7454545454545455,1.0,"(110, 64, 1000)","(275, 64, 1000)",1234,56,0.7727272727272727
4,Hand,Rest,77.42316031455994,0.8272727272727273,1.0,"(110, 64, 1000)","(275, 64, 1000)",1234,56,0.8545454545454545
4,Feet,Rest,154.82640838623047,0.8181818181818182,1.0,"(110, 64, 1000)","(275, 64, 1000)",1234,56,0.8
4,Tongue,Rest,232.6042411327362,0.7363636363636363,1.0,"(110, 64, 1000)","(275, 64, 1000)",1234,56,0.7636363636363637
4,Mis,Rest,310.7978274822235,0.6090909090909091,1.0,"(110, 64, 1000)","(275, 64, 1000)",1234,56,0.5909090909090908
5,Hand,Rest,77.8519377708435,0.6818181818181818,1.0,"(110, 64, 1000)","(275, 64, 1000)",1234,56,0.6727272727272727
5,Feet,Rest,155.00535607337952,0.7181818181818181,1.0,"(110, 64, 1000)","(275, 64, 1000)",1234,56,0.7090909090909091
5,Tongue,Rest,233.3461706638336,0.7454545454545455,1.0,"(110, 64, 1000)","(275, 64, 1000)",1234,56,0.7818181818181819
5,Mis,Rest,310.86862111091614,0.7545454545454545,1.0,"(110, 64, 1000)","(275, 64, 1000)",1234,56,0.7818181818181819
6,Hand,Rest,76.68351197242737,0.4909090909090909,1.0,"(110, 64, 1000)","(275, 64, 1000)",1234,56,0.4818181818181818
6,Feet,Rest,153.20152187347412,0.6818181818181818,1.0,"(110, 64, 1000)","(275, 64, 1000)",1234,56,0.6727272727272727
6,Tongue,Rest,231.51238250732425,0.7181818181818181,1.0,"(110, 64, 1000)","(275, 64, 1000)",1234,56,0.7181818181818183
6,Mis,Rest,308.95963430404663,0.6727272727272727,1.0,"(110, 64, 1000)","(275, 64, 1000)",1234,56,0.6909090909090909
7,Hand,Rest,77.7574372291565,0.8272727272727273,1.0,"(110, 64, 1000)","(275, 64, 1000)",1234,56,0.8727272727272728
7,Feet,Rest,155.50797820091248,0.8181818181818182,1.0,"(110, 64, 1000)","(275, 64, 1000)",1234,56,0.8909090909090909
7,Tongue,Rest,234.17735624313352,0.6545454545454545,1.0,"(110, 64, 1000)","(275, 64, 1000)",1234,56,0.6363636363636364
7,Mis,Rest,313.0103120803833,0.6090909090909091,1.0,"(110, 64, 1000)","(275, 64, 1000)",1234,56,0.6090909090909091
9,Hand,Rest,77.33021783828735,0.6272727272727273,1.0,"(110, 64, 1000)","(275, 64, 1000)",1234,56,0.6636363636363636
9,Feet,Rest,154.92201733589172,0.5818181818181818,1.0,"(110, 64, 1000)","(275, 64, 1000)",1234,56,0.5181818181818182
9,Tongue,Rest,232.54845118522644,0.7727272727272727,1.0,"(110, 64, 1000)","(275, 64, 1000)",1234,56,0.7636363636363637
9,Mis,Rest,311.0488362312317,0.5818181818181818,1.0,"(110, 64, 1000)","(275, 64, 1000)",1234,56,0.5363636363636364
10,Hand,Rest,76.74984073638916,0.8454545454545455,1.0,"(110, 64, 1000)","(275, 64, 1000)",1234,56,0.8727272727272728
10,Feet,Rest,152.8458640575409,0.8909090909090909,1.0,"(110, 64, 1000)","(275, 64, 1000)",1234,56,0.9363636363636364
10,Tongue,Rest,231.0264949798584,0.6818181818181818,1.0,"(110, 64, 1000)","(275, 64, 1000)",1234,56,0.7090909090909091
10,Mis,Rest,309.5646336078644,0.7727272727272727,1.0,"(110, 64, 1000)","(275, 64, 1000)",1234,56,0.7636363636363637
11,Hand,Rest,77.82488679885864,0.6636363636363637,1.0,"(110, 64, 1000)","(275, 64, 1000)",1234,56,0.6545454545454545
11,Feet,Rest,155.08886313438416,0.6272727272727273,1.0,"(110, 64, 1000)","(275, 64, 1000)",1234,56,0.6636363636363636
11,Tongue,Rest,233.4665849208832,0.6090909090909091,1.0,"(110, 64, 1000)","(275, 64, 1000)",1234,56,0.6181818181818182
11,Mis,Rest,311.80141282081604,0.8090909090909091,1.0,"(110, 64, 1000)","(275, 64, 1000)",1234,56,0.8181818181818181
13,Hand,Rest,76.66846323013306,0.8272727272727273,1.0,"(110, 64, 1000)","(275, 64, 1000)",1234,56,0.8454545454545455
13,Feet,Rest,153.57022643089294,0.8454545454545455,1.0,"(110, 64, 1000)","(275, 64, 1000)",1234,56,0.8545454545454545
13,Tongue,Rest,231.75742769241333,0.6818181818181818,1.0,"(110, 64, 1000)","(275, 64, 1000)",1234,56,0.6727272727272727
13,Mis,Rest,309.5737545490265,0.6818181818181818,1.0,"(110, 64, 1000)","(275, 64, 1000)",1234,56,0.6636363636363636
14,Hand,Rest,78.4163122177124,0.8636363636363636,1.0,"(110, 64, 1000)","(275, 64, 1000)",1234,56,0.8909090909090909
14,Feet,Rest,154.2885196208954,0.7,1.0,"(110, 64, 1000)","(275, 64, 1000)",1234,56,0.6818181818181819
14,Tongue,Rest,231.21868515014648,0.7090909090909091,1.0,"(110, 64, 1000)","(275, 64, 1000)",1234,56,0.6636363636363636
14,Mis,Rest,308.94947266578674,0.7454545454545455,1.0,"(110, 64, 1000)","(275, 64, 1000)",1234,56,0.7727272727272727
