Participant Number,Hand,Feet,Tongue,Mis
3,0.862385321,0.637614679,0.729357798,0.80733945
4,0.899082569,0.733944954,0.747706422,0.711009174
5,0.756880734,0.674311927,0.825688073,0.825688073
6,0.706422018,0.646788991,0.78440367,0.646788991
7,0.78440367,0.853211009,0.701834862,0.733944954
9,0.889908257,0.894495413,0.756880734,0.743119266
10,0.706422018,0.536697248,0.688073394,0.756880734
11,0.908256881,0.899082569,0.665137615,0.701834862
13,0.614678899,0.839449541,0.71559633,0.697247706
14,0.848623853,0.788990826,0.71559633,0.701834862
15,0.844036697,0.798165138,0.605504587,0.678899083
16,0.619266055,0.724770642,0.775229358,0.825688073
17,0.766055046,0.706422018,0.798165138,0.76146789
18,0.688073394,0.701834862,0.844036697,0.825688073
19,0.862385321,0.674311927,0.830275229,0.69266055
