Participant Number,All Features,10 Features
3,0.6546402238575404,0.6798342789053797
4,0.7102135236481566,0.7323472719114922
5,0.6362494539100044,0.6475322180798099
6,0.635785432385203,0.6532312760007714
7,0.6486044387277186,0.6770586596590037
9,0.708193544133911,0.7224339427894474
10,0.6322339668469256,0.6528210369609452
11,0.7004399935649936,0.7278749990160541
13,0.6706480550832614,0.6811382409604886
14,0.6536741217790529,0.6821918010736817
15,0.6720396387540882,0.6864040650250512
16,0.6674056715627817,0.6723535679355633
17,0.7023736601116188,0.707536578190248
18,0.6590536432566251,0.6949356757642309
19,0.6813515321514175,0.6949366670897634
