,Participant,Hand,Feet,Tongue,Mis,Paradigm
0,P1,0.7547619047619047,0.6279761904761905,0.6888392857142858,0.7193452380952382,Continuous
1,P2,0.8687499999999999,0.7596726190476191,0.7720238095238094,0.7232142857142857,Continuous
2,P3,0.6444940476190477,0.7602678571428572,0.6998511904761905,0.6052083333333333,Continuous
3,P4,0.6757440476190476,0.7041666666666666,0.6947916666666667,0.639732142857143,Continuous
4,P5,0.7739583333333334,0.7421130952380952,0.6819940476190477,0.6444940476190476,Continuous
5,P6,0.8572916666666667,0.8331845238095239,0.6574404761904762,0.6464285714285714,Continuous
6,P7,0.6202380952380953,0.674404761904762,0.6404761904761904,0.7407738095238094,Continuous
7,P8,0.7793154761904761,0.9211309523809523,0.6257440476190476,0.6748511904761905,Continuous
8,P9,0.6806547619047618,0.7635416666666666,0.7688988095238096,0.7665178571428571,Continuous
9,P10,0.8482142857142857,0.6626488095238096,0.5833333333333333,0.6876488095238096,Continuous
10,P11,0.8649178946003016,0.6333333333333333,0.6473214285714286,0.6455357142857143,Continuous
11,P12,0.6272321428571428,0.6424107142857143,0.734375,0.7188988095238096,Continuous
12,P13,0.7827380952380952,0.6956845238095238,0.8072916666666666,0.7848214285714286,Continuous
13,P14,0.6647321428571429,0.6831845238095238,0.6916666666666667,0.7090773809523809,Continuous
14,P15,0.7366071428571429,0.7034226190476189,0.7619047619047619,0.7650297619047619,Continuous
15,_P1,0.9620535714285714,0.8802083333333333,0.9077380952380953,0.7827380952380952,Switch
16,_P2,0.8526785714285714,0.8077721752420548,0.7455357142857143,0.8110119047619048,Switch
17,_P3,0.6502976190476191,0.6175595238095238,0.6480654761904762,0.6927083333333334,Switch
18,_P4,0.7313988095238095,0.8296130952380952,0.7328869047619047,0.8563988095238095,Switch
19,_P5,0.8221726190476191,0.8467261904761905,0.7053571428571428,0.8102678571428572,Switch
20,_P6,0.9174107142857143,0.9360119047619048,0.8824404761904763,0.9315476190476191,Switch
21,_P7,0.71875,0.7217261904761905,0.6919642857142857,0.8898809523809524,Switch
22,_P8,0.597470238095238,0.5967261904761905,0.5290178571428571,0.6264880952380952,Switch
23,_P9,0.6748511904761906,0.6629464285714285,0.6540178571428571,0.5751488095238095,Switch
24,_P10,0.7336309523809523,0.715029761904762,0.7321428571428572,0.7418154761904762,Switch
25,_P11,0.9427083333333334,0.9642857142857143,0.9275143708878648,0.91073855893133,Switch
26,_P12,1.0,0.9159226190476191,0.9732142857142858,0.9717261904761905,Switch
27,_P13,0.6495535714285715,0.7061011904761905,0.828125,0.6465773809523809,Switch
