,Participant,Hand,Feet,Tongue,Mis,Paradigm
0,P1,0.6934523809523809,0.6025297619047619,0.740922619047619,0.7392857142857142,Continuous
1,P2,0.8571428571428572,0.7839285714285714,0.7938988095238095,0.7267857142857144,Continuous
2,P3,0.603720238095238,0.7330357142857142,0.7809523809523811,0.5803571428571428,Continuous
3,P4,0.6819940476190476,0.6974702380952381,0.680952380952381,0.6273809523809524,Continuous
4,P5,0.8180059523809525,0.7642857142857142,0.6885416666666667,0.6558035714285715,Continuous
5,P6,0.83125,0.9040178571428572,0.6761904761904761,0.628422619047619,Continuous
6,P7,0.6614583333333333,0.6599702380952381,0.6366071428571429,0.727827380952381,Continuous
7,P8,0.7866071428571428,0.9065476190476192,0.6337797619047619,0.6712797619047619,Continuous
8,P9,0.6577380952380952,0.7511904761904762,0.7849702380952381,0.7325892857142857,Continuous
9,P10,0.7845238095238095,0.6686011904761905,0.5633928571428571,0.6148809523809524,Continuous
10,P11,0.8536670523446686,0.6665178571428572,0.6730654761904762,0.6641369047619048,Continuous
11,P12,0.6273809523809524,0.6726190476190477,0.7537202380952381,0.7108630952380952,Continuous
12,P13,0.7846726190476191,0.6839285714285714,0.6886904761904762,0.7995535714285714,Continuous
13,P14,0.6857142857142857,0.65,0.7623511904761904,0.7124999999999999,Continuous
14,P15,0.8285714285714285,0.7180059523809524,0.7174107142857143,0.7919642857142857,Continuous
15,_P1,0.9761904761904762,0.9151785714285714,0.9263392857142858,0.8191964285714286,Switch
16,_P2,0.9032738095238095,0.7896313071011867,0.7886904761904762,0.8303571428571429,Switch
17,_P3,0.6525297619047619,0.6123511904761905,0.6785714285714286,0.71875,Switch
18,_P4,0.7373511904761906,0.8028273809523809,0.7544642857142857,0.8638392857142858,Switch
19,_P5,0.8616071428571428,0.8325892857142857,0.7425595238095237,0.8095238095238095,Switch
20,_P6,0.8809523809523809,0.9285714285714286,0.8950892857142858,0.890625,Switch
21,_P7,0.7120535714285715,0.7477678571428572,0.7105654761904762,0.8630952380952381,Switch
22,_P8,0.5900297619047619,0.6822916666666666,0.5833333333333334,0.6770833333333333,Switch
23,_P9,0.6532738095238095,0.6279761904761905,0.6294642857142857,0.6078869047619048,Switch
24,_P10,0.7574404761904763,0.7284226190476191,0.7686011904761905,0.7976190476190476,Switch
25,_P11,0.9791666666666666,0.9709821428571428,0.9169310054852222,0.8804082834203316,Switch
26,_P12,1.0,0.9895833333333334,0.9665178571428572,0.9680059523809523,Switch
27,_P13,0.6592261904761905,0.7090773809523809,0.8385416666666665,0.6659226190476191,Switch
