,Participant,Hand,Feet,Tongue,Mis,Paradigm
0,P3,1.428571429,2,1.714285714,1.285714286,Continuous
1,P4,1,1.571428571,2.571428571,2.714285714,Continuous
2,P5,3.285714286,3.142857143,1.714285714,1.571428571,Continuous
3,P6,1.428571429,2,3,2.142857143,Continuous
4,P7,3.714285714,3.428571429,3.142857143,3.714285714,Continuous
5,P9,1.142857143,1,1.571428571,1.285714286,Continuous
6,P10,1,1.571428571,3,2.857142857,Continuous
7,P11,1,1,1.142857143,1,Continuous
8,P13,3.571428571,2.857142857,2.428571429,2.428571429,Continuous
9,P14,2,2.428571429,2.571428571,1.857142857,Continuous
10,P15,2.428571429,1.714285714,1.285714286,4,Continuous
11,P16,3.428571429,3.714285714,3.142857143,3.714285714,Continuous
12,P17,1.428571429,1.571428571,2.142857143,1.714285714,Continuous
13,P18,3.142857143,3.285714286,3.285714286,3.285714286,Continuous
14,P19,2.714285714,3.142857143,4.142857143,4.142857143,Continuous
15,_P1,2,3,2.33,1.33,Switch
16,_P2,2.66,1.33,4,1,Switch
17,_P3,2.33,2,3.66,3.66,Switch
18,_P4,1,1,1,2,Switch
19,_P5,2,2,3,2,Switch
20,_P6,2,1.66,3.33,4.33,Switch
21,_P7,2.66,2,4,3,Switch
22,_P8,2.33,2,2,2,Switch
23,_P9,2.33,2,2.66,4.33,Switch
24,_P10,1.66,3,3,3,Switch
25,_P11,2.33,1.33,3.66,1.33,Switch
26,_P12,3.33,3,4,5,Switch
27,_P13,1,1,1,1,Switch
