,Participant,Hand,Feet,Tongue,Mis,Paradigm
0,P1,0.7044642857142858,0.6125,0.6705357142857142,0.7208333333333333,Continuous
1,P2,0.8736607142857143,0.7648809523809524,0.7328869047619048,0.6590773809523809,Continuous
2,P3,0.5566964285714285,0.6724702380952381,0.6550595238095238,0.5805059523809524,Continuous
3,P4,0.6541666666666667,0.6495535714285714,0.634672619047619,0.6336309523809524,Continuous
4,P5,0.687797619047619,0.7050595238095237,0.6434523809523809,0.5776785714285714,Continuous
5,P6,0.7876488095238096,0.740625,0.6254464285714285,0.6505952380952381,Continuous
6,P7,0.6513392857142857,0.625,0.5574404761904762,0.6830357142857142,Continuous
7,P8,0.700595238095238,0.8672619047619048,0.6025297619047619,0.6708333333333334,Continuous
8,P9,0.635267857142857,0.6778273809523809,0.6897321428571429,0.7223214285714286,Continuous
9,P10,0.8733630952380952,0.6623511904761905,0.5550595238095238,0.6041666666666666,Continuous
10,P11,0.8269531407886517,0.6555059523809524,0.6150297619047618,0.658779761904762,Continuous
11,P12,0.5866071428571429,0.6007440476190475,0.6869047619047619,0.6647321428571429,Continuous
12,P13,0.7927083333333333,0.6696428571428572,0.6327380952380952,0.7315476190476191,Continuous
13,P14,0.6650297619047619,0.6541666666666667,0.7111607142857144,0.6604166666666667,Continuous
14,P15,0.7595238095238096,0.6632440476190476,0.6604166666666667,0.7479166666666666,Continuous
15,_P1,0.9330357142857142,0.7857142857142858,0.7976190476190477,0.7328869047619047,Switch
16,_P2,0.8251488095238095,0.7480945348415228,0.7641369047619048,0.8422619047619048,Switch
17,_P3,0.6227678571428572,0.5766369047619048,0.6398809523809523,0.671875,Switch
18,_P4,0.6242559523809523,0.7961309523809524,0.6584821428571428,0.8028273809523809,Switch
19,_P5,0.7901785714285714,0.6644345238095237,0.7038690476190477,0.7425595238095237,Switch
20,_P6,0.8883928571428572,0.8757440476190477,0.8973214285714286,0.8720238095238095,Switch
21,_P7,0.703125,0.6763392857142858,0.6800595238095237,0.8229166666666667,Switch
22,_P8,0.6212797619047619,0.6108630952380952,0.5342261904761905,0.6130952380952381,Switch
23,_P9,0.6287202380952381,0.65625,0.6636904761904762,0.5595238095238095,Switch
24,_P10,0.7299107142857143,0.6614583333333333,0.7254464285714286,0.7619047619047619,Switch
25,_P11,0.8936011904761905,0.9315476190476191,0.8671767057309225,0.8993953975881687,Switch
26,_P12,1.0,0.9501488095238095,0.8936011904761905,0.8727678571428572,Switch
27,_P13,0.6160714285714286,0.6056547619047619,0.7269345238095237,0.6294642857142857,Switch
