Participant Number,4s-0%,4s-75%,2s-0%,2s-50%,1s-0%
3,0.6907738095238095,0.6758409785932723,0.6711309523809523,0.6545045045045046,0.6439360119047618
4,0.7507440476190477,0.7218654434250763,0.7325892857142857,0.6889264264264265,0.7122767857142857
5,0.6583333333333333,0.6480886850152906,0.6444940476190476,0.6354354354354356,0.6231026785714284
6,0.678422619047619,0.6426605504587156,0.6473958333333333,0.63003003003003,0.6240327380952381
7,0.678125,0.6862385321100918,0.6619791666666667,0.6602852852852853,0.627529761904762
9,0.7361607142857144,0.7295489296636084,0.7161458333333334,0.6995495495495496,0.6951636904761905
10,0.6544642857142856,0.6370030581039754,0.6514136904761905,0.6293918918918919,0.6403645833333333
11,0.7331845238095238,0.7105504587155963,0.7220982142857142,0.6965465465465466,0.7084077380952382
13,0.6861607142857143,0.6745412844036697,0.6860863095238094,0.6682057057057058,0.6644717261904761
14,0.6947916666666667,0.6806192660550459,0.6765624999999998,0.6506006006006007,0.6370907738095238
15,0.6910714285714284,0.6835244648318043,0.69375,0.6636636636636637,0.6640997023809524
16,0.6873511904761905,0.6785550458715597,0.6669642857142857,0.6635885885885886,0.652938988095238
17,0.7202380952380952,0.6954510703363915,0.7126488095238095,0.7010135135135135,0.6954241071428571
18,0.6712797619047619,0.6903669724770641,0.6740327380952381,0.6709084084084083,0.6783854166666666
19,0.7013392857142856,0.6923165137614679,0.6870535714285715,0.6879129129129128,0.6720982142857143
